uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617764985","07 Apr 2021, 03:09","Drake","","Scary Hours 2","15952108-93aa-4b77-8dc2-2344c6e5923d","Lemon Pepper Freestyle (feat. Rick Ross)",""
"1617764792","07 Apr 2021, 03:06","Drake","","Scary Hours 2","15952108-93aa-4b77-8dc2-2344c6e5923d","Wants and Needs (feat. Lil Baby)",""
"1617764620","07 Apr 2021, 03:03","Billie Eilish","f4abc0b5-3f7a-4eff-8f78-ac078dbce533","everything i wanted","19a54c1f-07af-48db-8990-62a2208e18d4","everything i wanted","0a1ee416-3b05-4dd0-938f-14ea5e2f70bb"
"1617764449","07 Apr 2021, 03:00","Billie Eilish","","ilomilo (Live From The Film - Billie Eilish: The World’s A Little Blurry)","","ilomilo - Live From The Film - Billie Eilish: The World’s A Little Blurry",""
"1617715719","06 Apr 2021, 13:28","Janelle Monáe","ee190f6b-7d98-43ec-b924-da5f8018eca0","The ArchAndroid","0579c05b-3cc2-40ef-8a32-fee6e3be90f6","Locked Inside","1a7b6eab-12ae-4e82-8989-4316833faccc"
"1617715519","06 Apr 2021, 13:25","Janelle Monáe","ee190f6b-7d98-43ec-b924-da5f8018eca0","The ArchAndroid","0579c05b-3cc2-40ef-8a32-fee6e3be90f6","Faster","251628db-ff24-364b-80da-53335be016a6"
"1617715328","06 Apr 2021, 13:22","Janelle Monáe","ee190f6b-7d98-43ec-b924-da5f8018eca0","The ArchAndroid","0579c05b-3cc2-40ef-8a32-fee6e3be90f6","Dance or Die (feat. Saul Williams)",""
"1617715268","06 Apr 2021, 13:21","404vincent","","F**k School!","","F**k School!",""
"1617715144","06 Apr 2021, 13:19","404vincent","","Talk a Lot","","Talk a Lot",""
"1617714999","06 Apr 2021, 13:16","404vincent","","Girlfriend","","Girlfriend",""
"1617714687","06 Apr 2021, 13:11","J. Cole","","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","1985 - Intro to “The Fall Off”",""
"1617714400","06 Apr 2021, 13:06","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Window Pain - Outro",""
"1617714142","06 Apr 2021, 13:02","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","FRIENDS (feat. kiLL edward)",""
"1617713945","06 Apr 2021, 12:59","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Once an Addict - Interlude",""
"1617713629","06 Apr 2021, 12:53","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","BRACKETS","105c3ad3-3411-465b-9ceb-5412fb7f67f7"
"1617712853","06 Apr 2021, 12:40","J. Cole","","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Kevin’s Heart",""
"1617712719","06 Apr 2021, 12:38","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Motiv8","0a83873f-b7b0-4481-8d5d-1c892e68f022"
"1617712520","06 Apr 2021, 12:35","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","ATM","3cfeaa0f-3f1a-451e-aacd-5b83a007fc61"
"1617712257","06 Apr 2021, 12:30","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","The Cut Off (feat. kiLL edward)",""
"1617712038","06 Apr 2021, 12:27","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Photograph","48bbef08-9166-42d5-b293-01ccd9937485"
"1617711847","06 Apr 2021, 12:24","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","KOD","22e8fc74-3d25-4f9e-8ec8-f00fa649d875"
"1617711718","06 Apr 2021, 12:21","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Intro","11c04df7-2e9d-40bc-90b0-8014b96ab59d"
"1617711491","06 Apr 2021, 12:18","J. Cole","","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","1985 - Intro to “The Fall Off”",""
"1617711204","06 Apr 2021, 12:13","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Window Pain - Outro",""
"1617710947","06 Apr 2021, 12:09","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","FRIENDS (feat. kiLL edward)",""
"1617710749","06 Apr 2021, 12:05","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Once an Addict - Interlude",""
"1617710433","06 Apr 2021, 12:00","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","BRACKETS","105c3ad3-3411-465b-9ceb-5412fb7f67f7"
"1617710233","06 Apr 2021, 11:57","J. Cole","","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Kevin’s Heart",""
"1617710099","06 Apr 2021, 11:54","J. Cole","875203e1-8e58-4b86-8dcb-7190faf411c5","KOD","04eb758b-00ef-4ea7-98ee-635581bdadd2","Motiv8","0a83873f-b7b0-4481-8d5d-1c892e68f022"
