uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617763012","07 Apr 2021, 02:36","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Real Estate","ab9d849a-943f-45b6-b3c0-e3d32bab5f35","Fake Blues","563f8ea4-def1-30c7-a89c-77a76f8f48de"
"1617762834","07 Apr 2021, 02:33","DIIV","b5ff61dd-0154-4e80-b46b-c733f87db602","Oshin","15fc821b-feed-4fd7-9f01-12f8463a1c1e","Human","069fae90-5632-3c0d-bd12-0babc5920abe"
"1617762520","07 Apr 2021, 02:28","Harvey Touch","","Archipiélago","","You Bring Peace to This World - Sumluv Remix",""
"1617761992","07 Apr 2021, 02:19","Pinkshinyultrablast","81f2db60-ea05-4d2f-8188-985046e4a97a","Everything Else Matters","34b8453e-ab3d-4cf6-bb0f-13ac52661fe9","Marigold","0674bd97-111d-45de-9be3-36db0bf56d13"
"1617761796","07 Apr 2021, 02:16","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Atlas","766ae166-be58-4fba-ab39-499c8353a63b","Crime","380ec30e-a5c9-4e2c-b4db-79b14340c36c"
"1617761562","07 Apr 2021, 02:12","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Days","122259c2-d41f-434f-b319-fb31d560af86","Easy","01fefb0a-cd66-3324-9b1e-1324660b3b66"
"1617761217","07 Apr 2021, 02:06","Sault","23b19bc5-813e-4456-bbae-ac3ca118f535","5","42306580-ccf0-4e50-917d-762fe5507701","Masterpiece","68936354-c4d4-43a3-9646-d965630f0c76"
"1617761035","07 Apr 2021, 02:03","Cheatahs","d425b86a-fbdf-4c77-ac94-500d2c2385ba","Extended plays","c8b03b9e-578c-409d-93a0-d0607469906a","Froshed","5ba42c5d-c987-4152-b0f7-ef5246ccb618"
"1617760866","07 Apr 2021, 02:01","Current Joys","","Wild Heart","53bbb2b4-6ffc-4791-8817-6cf9e2943f25","New Flesh","33dff105-d698-4c28-8b5d-28b8aa1f42c4"
"1617760678","07 Apr 2021, 01:57","Dream, Ivory","","Dream, Ivory","f899186c-5203-4e3a-a2c7-f2b43f67c3db","Dream, Ivory","c843a752-a659-4a3d-b547-aa4242e917e1"
"1617760409","07 Apr 2021, 01:53","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Real Estate","ab9d849a-943f-45b6-b3c0-e3d32bab5f35","Beach Comber","4dc04e57-ee95-3354-b2f2-711cde6e055d"
"1617760178","07 Apr 2021, 01:49","Martin Courtney","d39ac5ff-2f90-4a7d-9268-28b1965833e9","Many Moons","aea268c4-4fbe-47dc-bf98-f448e35c9f04","Before We Begin","69c5af0e-9f56-43a4-b51e-023d27cddc1b"
"1617759825","07 Apr 2021, 01:43","Harvey Touch","","Archipiélago","","Freedom And Pride",""
"1617759595","07 Apr 2021, 01:39","Cheatahs","d425b86a-fbdf-4c77-ac94-500d2c2385ba","Extended plays","c8b03b9e-578c-409d-93a0-d0607469906a","Coared","5bc595bd-6293-4dbd-8c6a-b46907abbf11"
"1617759329","07 Apr 2021, 01:35","Washed Out","74a30f2a-dae6-4e99-8a75-cb0f93b31aa6","Within and Without","4ff522b1-cc4b-4663-8012-08536b427366","Amor Fati","374dd536-b3ef-4b69-9599-e99bbc0d47a7"
"1617759142","07 Apr 2021, 01:32","Alex Bleeker & The Freaks","","Sealong Hair - Single","","Sealong Hair",""
"1617758900","07 Apr 2021, 01:28","Martin Courtney","d39ac5ff-2f90-4a7d-9268-28b1965833e9","Many Moons","aea268c4-4fbe-47dc-bf98-f448e35c9f04","Northern Highway","436b16dc-a267-4cac-af4c-d8db3a50b6ba"
"1617758700","07 Apr 2021, 01:25","Julian Lynch","3d494165-5456-4c9d-8fa2-180511946152","Rat’s Spit","","Meridian","35936d24-4714-4dc7-8876-cfef4d3251c7"
"1617758376","07 Apr 2021, 01:19","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","The Main Thing","135b292c-6bb9-4ee9-942b-ed499efeb021","Also A But","1645ca2d-2d76-4689-823c-f2c3947a1305"
"1617758121","07 Apr 2021, 01:15","Julian Lynch","3d494165-5456-4c9d-8fa2-180511946152","Terra","43ccd7c3-ef13-4ffa-ba1a-11fa6aa90bd0","Terra","3fe6f3ab-c93b-389d-a315-0071fea24139"
"1617758010","07 Apr 2021, 01:13","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Real Estate","ab9d849a-943f-45b6-b3c0-e3d32bab5f35","Atlantic City","17c3cc8d-64e0-33c3-955a-0b49a89090d1"
"1617757780","07 Apr 2021, 01:09","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","In Mind","5ed47763-d080-4370-8864-2966c7956457","Time","2417dedb-eb7c-41c6-a197-b18c539fcf0d"
"1617757604","07 Apr 2021, 01:06","Beach Fossils","3df3818e-7984-4c62-bee3-81f95f8c6651","Beach Fossils","1093c31a-f66f-391c-9ef5-3332e6b6129d","Sometimes","06ed7803-4068-42c1-bd83-ab1d219e68e4"
"1617757268","07 Apr 2021, 01:01","Cocteau Twins","000fc734-b7e1-4a01-92d1-f544261b43f5","Treasure","14ec0698-18fa-3395-b203-b5c3c8c2cc51","Pandora (For Cindy)","4ac1626f-ee0d-39fa-bbb5-a54fed578dee"
"1617757028","07 Apr 2021, 00:57","Alex Bleeker & The Freaks","","The Rest - Single","","The Rest",""
"1617756856","07 Apr 2021, 00:54","Julian Lynch","3d494165-5456-4c9d-8fa2-180511946152","Mare","1e2f6fe4-ce6f-4708-a1a0-525b26e76052","Still Racing","3779274f-7b8a-47e0-975a-c48b34f1e7f8"
"1617756445","07 Apr 2021, 00:47","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","In Mind","5ed47763-d080-4370-8864-2966c7956457","Two Arrows","0af388ae-e636-4d50-a799-84a4e8453cf0"
"1617756115","07 Apr 2021, 00:41","Harvey Touch","","Archipiélago","","Could Ever Happen",""
"1617755931","07 Apr 2021, 00:38","Beach Fossils","3df3818e-7984-4c62-bee3-81f95f8c6651","Beach Fossils","1093c31a-f66f-391c-9ef5-3332e6b6129d","Daydream","07bd7baa-ab9d-4906-ab9a-1e5286357803"
"1617755657","07 Apr 2021, 00:34","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Atlas","766ae166-be58-4fba-ab39-499c8353a63b","Past Lives","76685a4a-e6e4-4826-81ff-e6ea8a5620a5"
"1617755356","07 Apr 2021, 00:29","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Days","122259c2-d41f-434f-b319-fb31d560af86","Green Aisles","0771a8ef-ab20-3838-a8d6-06b5b4ec8a23"
"1617755057","07 Apr 2021, 00:24","Martin Courtney","d39ac5ff-2f90-4a7d-9268-28b1965833e9","Many Moons","aea268c4-4fbe-47dc-bf98-f448e35c9f04","Vestiges","06301fb9-de6a-4f7e-8203-0c6ff1727b77"
"1617754885","07 Apr 2021, 00:21","Julian Lynch","3d494165-5456-4c9d-8fa2-180511946152","Terra","43ccd7c3-ef13-4ffa-ba1a-11fa6aa90bd0","Clay Horses","25272a09-261f-3529-97f0-5f961d7e8e20"
"1617754674","07 Apr 2021, 00:17","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","The Main Thing","135b292c-6bb9-4ee9-942b-ed499efeb021","Procession","113f6b32-3f3f-41fd-9efe-89e2ac92f5bd"
"1617754447","07 Apr 2021, 00:14","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","In Mind","5ed47763-d080-4370-8864-2966c7956457","Holding Pattern","03112870-e896-44a6-9beb-5c15fd5575e0"
"1617754197","07 Apr 2021, 00:09","Cheatahs","d425b86a-fbdf-4c77-ac94-500d2c2385ba","Cheatahs","e5351545-49b0-4491-8b49-bf81c63a7f3c","Cut The Grass","54fc6b1e-fec9-4f51-b7df-8416efdbbe91"
"1617753994","07 Apr 2021, 00:06","Cheatahs","d425b86a-fbdf-4c77-ac94-500d2c2385ba","Cheatahs","e5351545-49b0-4491-8b49-bf81c63a7f3c","Fall","62fe1a7c-6baa-4990-a702-48eaa9e0513b"
"1617753806","07 Apr 2021, 00:03","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Atlas","766ae166-be58-4fba-ab39-499c8353a63b","Talking Backwards","0c1c9a28-0a91-4800-9cfa-a749b43345ab"
"1617753534","06 Apr 2021, 23:58","Black Marble","fd7d4ed7-1a14-4b5b-b8f2-074888187ebc","A Different Arrangement","a108c85a-336e-4d7e-993b-e266e878b39d","A Great Design","2bf83e61-96df-3824-aa9f-be2ffecdb60c"
"1617753258","06 Apr 2021, 23:54","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Real Estate","ab9d849a-943f-45b6-b3c0-e3d32bab5f35","Suburban Dogs","06eccafa-621b-48fc-a2ab-275d5278bdd2"
"1617752887","06 Apr 2021, 23:48","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Real Estate","ab9d849a-943f-45b6-b3c0-e3d32bab5f35","Suburban Beverage","3c99d92c-4608-3c9c-8012-454e0b4fa294"
"1617752651","06 Apr 2021, 23:44","Pinkshinyultrablast","81f2db60-ea05-4d2f-8188-985046e4a97a","Everything Else Matters","34b8453e-ab3d-4cf6-bb0f-13ac52661fe9","Ravestar Supreme","051f6e05-7e01-4087-8c97-7345a7608499"
"1617752418","06 Apr 2021, 23:40","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","The Main Thing","135b292c-6bb9-4ee9-942b-ed499efeb021","You","15e62833-f105-474d-a9eb-27aef8f7282c"
"1617752260","06 Apr 2021, 23:37","Twin Peaks","","Sunken","7c1f6165-156f-4e51-811a-bf1c39159eb4","Irene","ff2da6ca-2192-41e9-b40e-755679017c32"
"1617751997","06 Apr 2021, 23:33","Real Estate","2ff0dfc6-0542-4bbc-a44a-60605c074ba6","Real Estate","ab9d849a-943f-45b6-b3c0-e3d32bab5f35","Snow Days","8fa1b3fc-892e-459c-a0e4-ac88a5f00c97"
