uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617551604","04 Apr 2021, 15:53","Parov Stelar","fe1a873d-2000-4789-a895-4187fe756203","The Princess","0cd5ece7-68c1-461d-82ac-b10ab32b37a0","All Night","0f30af69-aac4-4be0-aec6-dc03b9ce3cec"
"1617551434","04 Apr 2021, 15:50","Shirley Bassey","05ec70a5-3858-4346-a649-fda0a297b8c1","Goldfinger","25e79d07-476a-4124-a265-7c51d024b64a","Goldfinger","0036270f-d793-4dd8-a9bf-e01970514a90"
"1617551433","04 Apr 2021, 15:50","Domenico Modugno","b8e60837-e646-4f18-8f92-27d1173511b0","La strada dei successi","","Nel blu dipinto di blu","013587f0-8b32-49fb-af70-6f0e1f44cd56"
"1617551204","04 Apr 2021, 15:46","David Bowie","5441c29d-3602-4898-b1a1-b77fa23b8e50","Let's Dance","0075b936-1031-4464-99c5-73b3ebea6e04","Modern Love","008c363a-8f1f-3482-bbc6-447c1547b41d"
"1617551204","04 Apr 2021, 15:46","Domenico Modugno","b8e60837-e646-4f18-8f92-27d1173511b0","La strada dei successi","","Nel blu dipinto di blu","013587f0-8b32-49fb-af70-6f0e1f44cd56"
"1617550966","04 Apr 2021, 15:42","David Bowie","5441c29d-3602-4898-b1a1-b77fa23b8e50","Let's Dance","0075b936-1031-4464-99c5-73b3ebea6e04","Modern Love","008c363a-8f1f-3482-bbc6-447c1547b41d"
"1617550800","04 Apr 2021, 15:40","Josephine Baker","549dc0da-d165-4bff-839e-dca65cf51c0c","... En La Habana","","Quando Quando",""
"1617385216","02 Apr 2021, 17:40","ABBA","1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef","ABBA The Album","","Take a Chance on Me","015907ab-4add-3352-aff8-833358e241ef"
"1617384979","02 Apr 2021, 17:36","ABBA","1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef","Abba The Movie","","Medley","f67bf3fc-b7c4-44f0-82d9-8ae2dba8a730"
"1617384717","02 Apr 2021, 17:31","T. Rex","c842d29f-a297-48cd-bb71-4f77fd672b16","Tanx","256362a7-a49f-42be-a50c-bfa8b671586b","Children Of The Revolution","0065e7da-dcd4-4ffe-b5fd-bd43d50cc06c"
"1617384567","02 Apr 2021, 17:29","The Beatles","b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d","Let It Be","009ad634-e278-47e2-8c9b-8b5c154e1677","Get Back","00827fcd-52e8-36de-a01b-b0e538522da3"
"1617384376","02 Apr 2021, 17:26","Electric Light Orchestra","0c502791-4ee9-4c5f-9696-0602b721ff3b","Out of the Blue","36594124-8097-3af9-891a-8a03b154c79b","Mr. Blue Sky","036b00d3-2443-3307-87bd-9d1165b85de9"
"1617384072","02 Apr 2021, 17:21","ABBA","1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef","ABBA","057efeed-09d9-4af9-b3c8-5a9fa3658451","S.O.S.","017e3d77-9bab-36a6-bddc-79d892602e54"
"1617379486","02 Apr 2021, 16:04","Glen Campbell","57976431-1a5c-4968-a422-b92c5e9b0d4f","Southern Nights","834a05ec-4bbc-4276-b797-2ccdf625d648","Southern Nights","025a19d4-71c9-3822-bf9f-ebc430ee6077"
"1617379304","02 Apr 2021, 16:01","Gladys Knight","68f644b2-42ed-4d11-8bc7-633d5250721b","Imagination","","Midnight Train To Georgia","0a5e4a5f-cba8-3932-8f3b-0a0fb0c54cae"
"1617379032","02 Apr 2021, 15:57","Bill Withers","fd1a2d9d-9bb6-44de-83a3-41560658aba9","Menagerie","1fd22d2f-83df-408b-ac8a-01d97b65f551","Lovely Day","0123400e-4077-3a4c-9969-4b1b122cdbf4"
"1617378785","02 Apr 2021, 15:53","Jim Croce","fcfa9543-e113-4ef9-9ef6-455ba4cbe7af","You Don't Mess Around with Jim","3d5af9ad-3865-32e7-b6ad-e028b6cffd03","Time in a Bottle","0390fd56-89e4-4eff-936d-8b12e3f8b7bf"
"1617319787","01 Apr 2021, 23:29","Fréhel","2843222d-ac45-4ec9-9309-db95624ac2ec","Fréhel","ceaaeee1-7773-41bf-863d-cc6dbf4767f2","Si tu n'étais pas là","005f3c0f-9a80-341e-b200-86a428bc90b1"
"1617146692","30 Mar 2021, 23:24","Louis Armstrong","","jubilee","","Just One of Those Things",""
"1617146450","30 Mar 2021, 23:20","Barbra Streisand","56cd15a1-0d74-438b-8244-c96ffe1cae03","The Second Barbra Streisand Album","1c501e61-571f-33d7-aed5-c88eff6704a5","Lover, Come Back to Me","041d445b-4be9-43c0-bbd2-418680223e2a"
"1617146311","30 Mar 2021, 23:18","Amy Winehouse","dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3","Back to Black","0164ea1e-5587-4396-ac9d-8611f608b2da","Tears Dry on Their Own","06808887-b11c-391d-bcb9-ec18725e17d4"
"1617146124","30 Mar 2021, 23:15","Martha Reeves & The Vandellas","9d1bc10a-24fe-4b41-8338-ea92d8101a09","Heat Wave","97e12202-9098-45ee-93a0-b0292e277564","(Love Is Like A) Heat Wave","748c6401-b6fe-3faa-b9f1-e84b05ab9165"
"1617145962","30 Mar 2021, 23:12","Roy Orbison","0bbbc496-c7b5-4b3f-bb6d-bd312827d6e5","Orbisongs","35fe42ac-b473-4455-84f9-bad2462e750b","Oh, Pretty Woman","005a9420-6dd4-3391-9954-7ae14f6312e1"
"1617145783","30 Mar 2021, 23:09","Bette Midler","ed333e8b-d18a-49fc-b361-4ec9731dfdba","Sings the Rosemary Clooney Songbook","","Hey There","27ba80ef-2ce9-3212-a369-b8e306eb7df2"
"1617145573","30 Mar 2021, 23:06","The Crew Cuts","68db4a20-974e-463a-b5e0-2b62a7590092","Crew Cuts","","Sh-Boom","01829b73-76f5-4a3c-970c-443fe6ec6b14"
"1617145406","30 Mar 2021, 23:03","Loudon Wainwright III","3ddc1fe4-0abb-4af0-9392-e36720386842","Loudon Wainwright III","1d579524-6452-44e9-add3-973f66291840","After You've Gone","5ddb70b9-2f69-3228-8d96-00ce78c8bfba"
"1617145216","30 Mar 2021, 23:00","Shirley Bassey","05ec70a5-3858-4346-a649-fda0a297b8c1","And We Were Lovers","3a8f890f-c53c-4db8-9dd0-6658bc86a15f","Big Spender","020af086-cc3a-4d48-a742-a038248ceda5"
"1617145095","30 Mar 2021, 22:58","Mark Ronson","c3c82bdc-d9e7-4836-9746-c24ead47ca19","Version","1e2dc5b4-ffaf-4ca3-8818-31a6919e15f8","Stop Me","006d782a-4d9f-4024-a5f7-5fc17e1b2eac"
"1617144856","30 Mar 2021, 22:54","Rosemary Clooney","b6f69ada-cb4f-4083-913f-a00f47bfbe4b","Rosemary Clooney","","Botch-a-Me (Ba-Ba-Baciami Piccina)","02e84fa7-6a70-46e0-b3d8-98920eeafe7b"
"1617144716","30 Mar 2021, 22:51","Annie Lennox & Al Green","3e30aebd-0557-4cfd-8fb9-3945afa5d72b","Red Hot + Blue","","Put a Little Love in Your Heart","2a947cb1-772a-4535-b34a-fde6ef39c365"
"1617144487","30 Mar 2021, 22:48","Bill Haley & His Comets","","Bill Haley & His Comets","07c7c1d8-9c6d-4a6b-9eb7-ed4bd09310b0","Rock Around the Clock","003d234b-b6f7-3137-b17c-e50314fb7f13"
