uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617721490","06 Apr 2021, 15:04","The Avalanches","","We Will Always Love You","","Overcome",""
"1617721190","06 Apr 2021, 14:59","The Avalanches","","We Will Always Love You","","Take Care In Your Dreaming",""
"1617720977","06 Apr 2021, 14:56","The Avalanches","","We Will Always Love You","","Music Makes Me High",""
"1617720626","06 Apr 2021, 14:50","The Avalanches","","We Will Always Love You","","Wherever You Go",""
"1617720478","06 Apr 2021, 14:47","The Avalanches","","We Will Always Love You","","Until Daylight Comes",""
"1617720227","06 Apr 2021, 14:43","The Avalanches","","We Will Always Love You","","We Go On",""
"1617720088","06 Apr 2021, 14:41","The Avalanches","","We Will Always Love You","","Oh the Sunn!",""
"1617720031","06 Apr 2021, 14:40","The Avalanches","","We Will Always Love You","","Carrier Waves",""
"1617719769","06 Apr 2021, 14:36","The Avalanches","","We Will Always Love You","","Reflecting Light",""
"1617719694","06 Apr 2021, 14:34","The Avalanches","","We Will Always Love You","","Ghost Story Pt. 2",""
"1617719476","06 Apr 2021, 14:31","The Avalanches","","We Will Always Love You","","Interstellar Love",""
"1617719402","06 Apr 2021, 14:30","The Avalanches","","We Will Always Love You","","Solitary Ceremonies",""
"1617719214","06 Apr 2021, 14:26","The Avalanches","","We Will Always Love You","","The Divine Chord",""
"1617719042","06 Apr 2021, 14:24","The Avalanches","","We Will Always Love You","","We Will Always Love You",""
"1617718940","06 Apr 2021, 14:22","The Avalanches","","We Will Always Love You","","Song For Barbara Payton",""
"1617718857","06 Apr 2021, 14:20","The Avalanches","","We Will Always Love You","","Ghost Story",""
"1617718691","06 Apr 2021, 14:18","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","Walk on the Moon","2c6c11bc-66e3-3f86-b1e2-abe19c357e55"
"1617718504","06 Apr 2021, 14:15","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","Wax Paper","e34a1fc4-bce3-3b70-b560-7dfaae19f86c"
"1617718448","06 Apr 2021, 14:14","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","Greenskeeper","f1665125-87dc-3351-831b-8ddacabd5c7a"
"1617718167","06 Apr 2021, 14:09","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","The Cliff's Stare","fa935ab3-5b1b-3518-9791-edb01e5ce1ed"
"1617718021","06 Apr 2021, 14:07","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","Centrum","958c3bc0-f471-35d2-ab21-a3e296955f76"
"1617717860","06 Apr 2021, 14:04","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","Andrew Henry's Meadow","0c54314d-ecde-33ae-8bb3-2c499fa89f11"
"1617717650","06 Apr 2021, 14:00","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","Cookies for Santa","62eb14da-aae9-3fa0-afcf-47f5cf71a4be"
"1617717496","06 Apr 2021, 13:58","Buckethead","b5179744-f217-4455-9d8b-17b8d4fdeb93","Shadows Between the Sky","0e80b0ef-360d-4a2f-8426-971b4b448b2a","Sunken Statue","05b5e647-b56c-3375-b1e4-8a22acff4bda"
