uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617763243","07 Apr 2021, 02:40","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Volumina",""
"1617763000","07 Apr 2021, 02:36","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","2 Studies for Organ: II. Coulée",""
"1617762597","07 Apr 2021, 02:29","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","2 Studies for Organ: I. Harmonies",""
"1617762324","07 Apr 2021, 02:25","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Musica ricercata: No. 11, Omaggio a Girolamo Frescobaldi. Andante misurato e tranquillo",""
"1617762108","07 Apr 2021, 02:21","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Continuum",""
"1617761800","07 Apr 2021, 02:16","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Hungarian Rock (Chaconne)",""
"1617761498","07 Apr 2021, 02:11","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Passacaglia ungherese",""
"1617761237","07 Apr 2021, 02:07","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","3 Pieces for 2 Pianos: III. In zart fließender Bewegung",""
"1617760738","07 Apr 2021, 01:58","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","3 Pieces for 2 Pianos: II. Selbstportrait mit Reich und Riley",""
"1617760475","07 Apr 2021, 01:54","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","3 Pieces For 2 Pianos: I. Monument",""
"1617760368","07 Apr 2021, 01:52","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","2 Capricci: No. 2, Allegro robusto",""
"1617760296","07 Apr 2021, 01:51","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Invention",""
"1617760143","07 Apr 2021, 01:49","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","2 Capricci: No. 1, Allegretto capriccioso",""
"1617760101","07 Apr 2021, 01:48","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Allegro for piano 4 hands",""
"1617760022","07 Apr 2021, 01:47","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Sonatina for Piano 4 Hands: III. Vivace",""
"1617759923","07 Apr 2021, 01:45","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Sonatina for Piano 4 Hands: II. Andante",""
"1617759851","07 Apr 2021, 01:44","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Sonatina for Piano 4 Hands: I. Allegro",""
"1617759791","07 Apr 2021, 01:43","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","3 Lakodalmi tánc: No. 3, Csángó forgós",""
"1617759720","07 Apr 2021, 01:42","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","3 Lakodalmi tánc: No. 2, Hopp ide tisztán",""
"1617759563","07 Apr 2021, 01:39","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Polifón etüd",""
"1617759439","07 Apr 2021, 01:37","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Induló",""
"1617759276","07 Apr 2021, 01:34","Luciano Berio","d61e77cc-80b3-4586-bf4e-91fe7f13165e","Berio: Piano Music","","Six Encores: Wasserklavier",""
"1617759179","07 Apr 2021, 01:32","György Ligeti","","György Ligeti Edition, Vol. 6: Keyboard Works","","Sonatina for Piano 4 Hands: II. Andante",""
"1617759093","07 Apr 2021, 01:31","Meredith Monk","1efe59aa-d9fb-4293-b431-75b6c3fb9bcc","Book of Days","8e40177a-1675-4207-9715-ac287f91eb95","Early Morning Melody","97c34861-97b7-3273-a073-50057ac402d7"
"1617758604","07 Apr 2021, 01:23","Terry Riley","","Live in Köln (February 23, 1975)","","Sunrise Of The Planetary Dream Collector - Live",""
"1617758224","07 Apr 2021, 01:17","Glenn Branca","7c0735b8-6444-47a3-a244-522fa7925834","The Ascension","15eb3408-298a-4a29-be83-7397b82ce72a","Lesson No. 2","29b8224b-caff-30e0-99a3-2aac46e87ba9"
"1617758088","07 Apr 2021, 01:14","Iannis Xenakis","","Xenakis: Piano Works","","6 Chansons: No. 5. Aujourd'hui le ciel est noir… (Today the sky is black)",""
