uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617737059","06 Apr 2021, 19:24","Owl City","ad279295-653f-42e1-9aaa-b731df2e78ba","Ocean Eyes","0b750e65-9cd7-452e-82c2-38724da80c09","Fireflies","009a41f9-d8c3-4e00-87bc-e982b8e55f1a"
"1617720827","06 Apr 2021, 14:53","The Mysterines","","Love's Not Enough","","Love's Not Enough","0b5d839c-1f49-45f0-97e9-38a8adfcd44e"
"1617720649","06 Apr 2021, 14:50","Dorothy","05b4b63b-6a77-48f5-82e8-e78d5c0105d7","Raise Hell","bddcb198-fcc6-4e4f-a71d-979a2e57b9ef","Raise Hell","05956c0e-014e-4f7b-9281-a9a072f77581"
"1617720435","06 Apr 2021, 14:47","Annie Lennox","3e30aebd-0557-4cfd-8fb9-3945afa5d72b","Nostalgia","5c90cbe5-0aff-4f0c-b5ac-62b644dd8cda","I Put a Spell on You","1feb9ddc-f976-4c49-80f6-48b9aa91f155"
"1617720097","06 Apr 2021, 14:41","Fiona Apple","a9ee533f-8871-4f62-a6bb-91eb264abc90","Tidal","02580942-ea7e-4862-a8b2-a83689700fe8","Criminal","01f3760c-3a48-42a7-aba5-7d4dc6ee360b"
"1617719835","06 Apr 2021, 14:37","Hayley Williams","b4b5b5a7-feff-47d0-9458-83d0d135a692","Petals for Armor I","","Simmer","02cfb85e-f035-4905-8d30-b6431b6cd995"
"1617719608","06 Apr 2021, 14:33","Jockstrap","7230b2f8-96da-4242-8d57-2a8c1c3d71e4","Acid","20fb45a7-82e7-40e3-bf1e-b2ce2bdedbdf","Acid","78e2ca65-16b4-4f19-a2a7-9781990427bd"
"1617719389","06 Apr 2021, 14:29","Yonaka","3ae6f3b9-0cb7-4083-ab23-34847f5fcda9","Don't Wait 'Til Tomorrow","","Rockstar","083c06e2-7c62-48d0-8f05-f4ebe4b8b464"
"1617719221","06 Apr 2021, 14:27","The Ting Tings","e618770f-e994-41c3-856f-1eedf56b6d74","We Started Nothing","0617a36f-1e91-3c24-8f4b-176646d18f2a","Shut Up and Let Me Go","025d14fd-69bc-3cc7-949a-6be4f1306839"
"1617719020","06 Apr 2021, 14:23","Patti Smith","d135874d-9cae-4fef-97e3-36acbd9f5a26","Easter","024adfe9-ce11-4fbc-9d86-0d31d988f2d0","Because the Night","014fb60d-6f25-45e9-b2b1-db30a5eec002"
"1617718028","06 Apr 2021, 14:07","HAIM","aef06569-098f-4218-a577-b413944d9493","Days Are Gone","0c44d4f7-c9cd-4f9d-8e64-4a6677f85145","The Wire","081d1ae2-5d82-4327-b483-8c3a06a9a143"
"1617717799","06 Apr 2021, 14:03","Alabama Shakes","40419b33-18e9-4d5a-a674-30b4bb14bac2","Sound & Color","0d8034c4-98e5-4f94-83fc-ef0bd5aa1151","Don't Wanna Fight","16b582fb-08ab-4e42-98fc-c50a06b1a9ca"
"1617717547","06 Apr 2021, 13:59","LP","","Lost on You","32c6e0c7-a0c0-45ba-8368-a80e492545bd","Other People","03a92414-a36d-401b-80fa-20b9486d8bed"
"1617717140","06 Apr 2021, 13:52","LP","","Lost on You (Deluxe Edition)","","When We're High","0856a225-2948-47d9-83e0-aed9b9e6827e"
"1617716876","06 Apr 2021, 13:47","LP","","Death Valley","04cd4d41-bdbc-4746-b5a2-710b91420c91","Lost on You","18f17de5-43a4-46a8-b819-7b483dede9d9"
"1617716674","06 Apr 2021, 13:44","The Cardigans","3e55d51d-687f-4a9d-af96-2fabccf802e5","First Band On The Moon","1aa990c7-1fe9-4f98-b14f-45614f6a1678","Lovefool","00fe4160-5b71-3d33-b545-e07b754e29d7"
"1617716474","06 Apr 2021, 13:41","Phantogram","dfe78af2-779e-4137-826a-3073a16e3278","In a Spiral","","In a Spiral","3bbba0ca-8b10-456a-bd05-82cc3dc21c44"
"1617716334","06 Apr 2021, 13:38","Pretenders","","Hate for Sale","","I Didn't Know When to Stop",""
"1617716158","06 Apr 2021, 13:35","Deap Vally","6f794982-c5f3-462c-ad0e-9319f43c7a8e","Sistrionix","0661128e-f6a0-4752-9385-e4d83f74352f","Baby I Call Hell","223e2379-0f77-43f2-ad69-af1823790461"
"1617715904","06 Apr 2021, 13:31","Fleetwood Mac","","Rumours (Super Deluxe)","1877489f-c305-4939-b626-505f316e7c12","Dreams - 2004 Remaster",""
"1617715694","06 Apr 2021, 13:28","The Breeders","667e856e-f3a7-42e9-8244-95422ef31321","Last Splash","0123d225-e035-3728-ac3a-3758c9d4edad","Cannonball","085a6023-f9c7-4e83-a4e4-95d885f37952"
"1617715508","06 Apr 2021, 13:25","Paramore","44cf61b8-5197-448a-b82b-cef6ee89fac5","RIOT!","04fb7d1f-7011-4253-8de6-a776fa6f80aa","crushcrushcrush","0facba75-66c6-34b7-a88e-15f68173e73a"
"1617714897","06 Apr 2021, 13:14","Elle King","","Drunk (And I Don't Wanna Go Home)","","Drunk (And I Don't Wanna Go Home)",""
"1617714699","06 Apr 2021, 13:11","Elle King","e7287972-ca8d-4133-a1d6-5446486ed075","Love Stuff","0182cc8b-50a8-48b9-afce-5b1cc744680c","Ex's & Oh's","05e52c0e-89a3-465e-b9d1-1c3f1148c633"
"1617714514","06 Apr 2021, 13:08","K.Flay","d1fc999f-6184-41a6-bcb1-7c59bf74a6e1","Crush Me","493533b4-54a1-476a-9088-98ab5fa4812e","Blood In The Cut","07b20526-4001-4d53-be5c-3788a24fb5ba"
"1617713832","06 Apr 2021, 12:57","No Doubt","fbd2a255-1d57-4d31-ac11-65b671c19958","The Singles Collection","","Just a Girl","07359cc0-e1da-3dba-b691-6086bedd0994"
"1617713665","06 Apr 2021, 12:54","Pat Benatar","6bc658ea-005f-486b-8f94-33a2e40f7a72","Synchronistic Wanderings","3e04fbcb-6465-4e36-8908-e3cefdbfabdc","Hit Me With Your Best Shot","02b2ad67-356a-40b5-970f-6bb8bda9ce31"
"1617713477","06 Apr 2021, 12:51","Brittany Howard","03eda2c4-a2b3-4a4e-9527-6791b0ed9d2d","Jaime","3758412b-c9bc-4104-87fb-2e466c280142","Stay High","189d1f8f-eae1-4142-84b6-69388494c126"
"1617712910","06 Apr 2021, 12:41","Alanis Morissette","","Jagged Little Pill (2015 Remaster)","","You Oughta Know - 2015 Remaster",""
"1617712587","06 Apr 2021, 12:36","Tina Turner","9072df14-b61e-42e2-b4f4-6bbb7fdb5586","What's Love Got To Do With It?","","Proud Mary","01633615-ef40-4d67-8f28-f261e03c2a0c"
"1617711985","06 Apr 2021, 12:26","Big Brother & The Holding Company","3cf5a3be-25ef-4408-98fe-e66fee536be1","Janis","05ebfb8b-750c-4160-8268-d1b2692df1ed","Piece of My Heart","0158de7d-5255-484a-b168-d1468b09b701"
"1617711636","06 Apr 2021, 12:20","Hole","","Celebrity Skin","1194c9bb-abd6-4d4f-aa1e-07f1ae59d4a2","Celebrity Skin","049b2b15-d063-3f30-9c70-7be3a96536a8"
"1617711152","06 Apr 2021, 12:12","4 Non Blondes","efef848b-63e4-4323-8ef7-69a48fbdd51d","Bigger, Better, Faster, More !","","What's Up?","0006c301-9657-4904-8f89-ee8ffc574ed5"
