uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617752484","06 Apr 2021, 23:41","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","The Seven Planetary Heavens","9c40d84d-c8ee-43d6-95e3-a0370a243cf7"
"1617752209","06 Apr 2021, 23:36","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","Lifeforce Part II","1ec9217f-f131-4d11-a4ae-813ad6b44058"
"1617751976","06 Apr 2021, 23:32","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","Lifeforce Part I","bd2ea23a-feae-4ccb-93ce-1a00f0161f12"
"1617751582","06 Apr 2021, 23:26","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","The Afterlife","0948e2be-68c5-447f-a5c9-ffd9d1581e27"
"1617751397","06 Apr 2021, 23:23","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","The Softness of the Present","692d3591-89e7-482b-ac9a-ea0b75377927"
"1617749476","06 Apr 2021, 22:51","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","All That Matters Is The Moments",""
"1617749084","06 Apr 2021, 22:44","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","The Seven Planetary Heavens","9c40d84d-c8ee-43d6-95e3-a0370a243cf7"
"1617748809","06 Apr 2021, 22:40","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","Lifeforce Part II","1ec9217f-f131-4d11-a4ae-813ad6b44058"
"1617748576","06 Apr 2021, 22:36","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","Lifeforce Part I","bd2ea23a-feae-4ccb-93ce-1a00f0161f12"
"1617748182","06 Apr 2021, 22:29","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","The Afterlife","0948e2be-68c5-447f-a5c9-ffd9d1581e27"
"1617747936","06 Apr 2021, 22:25","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","The Softness of the Present","692d3591-89e7-482b-ac9a-ea0b75377927"
"1617747473","06 Apr 2021, 22:17","The Comet Is Coming","2b82372f-8c85-4b47-a9fc-36fe4d4df5b4","The Afterlife","0668fbe6-6a93-4d60-828c-e59c40dda99e","All That Matters Is The Moments",""
"1617747157","06 Apr 2021, 22:12","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Whole Life","798d8e15-87f0-4518-929b-266dba6e4179"
"1617746954","06 Apr 2021, 22:09","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Borrowed Light","8a3d5b71-f0fa-45bb-a291-d3532c18fcda"
"1617746696","06 Apr 2021, 22:04","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Some Dream","61f85477-2c6c-4572-8f91-93e6bd8853eb"
"1617746514","06 Apr 2021, 22:01","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","One More Try","752cb47f-11fd-4278-a694-dae114b26c27"
"1617746247","06 Apr 2021, 21:57","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Nothing at All","025a15e6-3384-4d99-ac39-a26237ea0703"
"1617746038","06 Apr 2021, 21:53","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Just a Touch","825ac7d2-0dc3-4c64-be6f-93720b27c444"
"1617745717","06 Apr 2021, 21:48","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Moonbend","647131ea-4322-4c10-a227-7f13e082776e"
"1617745463","06 Apr 2021, 21:44","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Your Body Changes Everything","00d30143-875d-435a-bf86-c5d4ffdfed56"
"1617745160","06 Apr 2021, 21:39","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","On the Floor","3e0a08f1-50fd-4f96-a572-e8aa7969e08d"
"1617744973","06 Apr 2021, 21:36","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Leave","51d87a7f-389d-42e1-903e-cb5c17819783"
"1617741892","06 Apr 2021, 20:44","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Jason","58332d33-7646-4e03-9fbd-3956c7f44374"
"1617741736","06 Apr 2021, 20:42","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Without You","2633edd8-948c-42b4-96b5-1eaa8d1e6e97"
"1617741452","06 Apr 2021, 20:37","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Describe","1d6acd3b-068a-48ae-ba58-96b7296df175"
"1617741220","06 Apr 2021, 20:33","Perfume Genius","c4ff10e0-ae5a-467d-a409-6e0b4bf241eb","Set My Heart On Fire Immediately","19a16ab7-0853-4572-b9dc-70c3a18fda7e","Whole Life","798d8e15-87f0-4518-929b-266dba6e4179"
"1617740931","06 Apr 2021, 20:28","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Punisher","02ebd58b-2e50-4f02-9191-795d7fdc6295","Garden Song","2d157b9d-d4f3-4354-a575-dd43d9429033"
"1617740861","06 Apr 2021, 20:27","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Punisher","02ebd58b-2e50-4f02-9191-795d7fdc6295","DVD Menu","20d69824-a223-401c-ba4b-13ccb3ac42b9"
"1617740516","06 Apr 2021, 20:21","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Punisher","02ebd58b-2e50-4f02-9191-795d7fdc6295","I Know the End","1bdb6f30-2dc5-4640-ac04-cdaa9ae455c3"
"1617740280","06 Apr 2021, 20:18","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Punisher","02ebd58b-2e50-4f02-9191-795d7fdc6295","Graceland Too","2d55f1e1-bf0c-4625-b015-dbc1daf8bd08"
"1617740090","06 Apr 2021, 20:14","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Punisher","02ebd58b-2e50-4f02-9191-795d7fdc6295","ICU","5d17984e-559f-4317-91d0-ece5a906dad7"
"1617739848","06 Apr 2021, 20:10","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Punisher","02ebd58b-2e50-4f02-9191-795d7fdc6295","Savior Complex","18cbec5d-f36f-4e92-b38c-6443a33b342a"
"1617739570","06 Apr 2021, 20:06","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Punisher","02ebd58b-2e50-4f02-9191-795d7fdc6295","Moon Song","21966d55-6e8d-4627-b986-d60d4200a76b"
