uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617765184","07 Apr 2021, 03:13","Café Tacvba","c2b37a39-c66a-44b2-b190-a69485ae5d95","Café Tacvba","","Rarotonga",""
"1617764995","07 Apr 2021, 03:09","El Gran Silencio","62b6875e-f507-4f32-9e61-61e8eabc8877","Libres Y Locos","1980ab0c-21a3-4acc-97fa-6b8a771fd88c","Con Sangre Del Norte","0e76bb8e-a81b-313e-aa20-55f68bbdac88"
"1617764792","07 Apr 2021, 03:06","Legião Urbana","47685be0-926f-4be9-b1ae-e32da47a3b99","O Descobrimento Do Brasil","315d1ba0-63a1-4fc2-906c-2658e3110140","Do espírito","aad52c2e-e204-43ef-ba87-c9326590c7fc"
"1617764607","07 Apr 2021, 03:03","Fabiana Cantilo","d3b2527a-bb31-4237-bccb-99b28d3fb57d","Información Celeste","c8ffe717-7ca6-4cd6-9707-b1b489dc05b7","Celofán","9fd0698c-e7ed-3cdf-8340-bbbf3e680954"
"1617764356","07 Apr 2021, 02:59","Los Amigos Invisibles","c694bf65-83e9-47d5-aeb3-bb68f78ef981","Arepa 3000","","Si Estuvieras Aquí","5e05970c-f7da-318e-a1c7-d42defd6961c"
"1617764150","07 Apr 2021, 02:55","Soda Stereo","3f8a5e5b-c24b-4068-9f1c-afad8829e06b","Dynamo (Remastered)","","Secuencia Inicial - Remasterizado 2007",""
"1617763941","07 Apr 2021, 02:52","Los Hermanos","","""4""","","Condicional","142815c4-c500-3954-b1aa-ff0425208c48"
"1617763808","07 Apr 2021, 02:50","No lo soporto","58ff6009-4ee6-42f8-bbed-6f0d7c1bf17d","Avión","5d21fc80-132c-4d04-8c02-e4dab848d674","Avión","b2633adb-3b8a-3e26-a233-ec0800a293bb"
"1617763559","07 Apr 2021, 02:45","La Gusana Ciega","4db93f32-5462-4fdd-8046-aa925efc5a61","Correspondencia Interna","8e30db6a-97bb-47da-ac94-c9046302eb2d","Gorila","11399d45-d0e7-3413-9b1c-dac4988b4d49"
"1617763411","07 Apr 2021, 02:43","Plastilina Mosh","9ff60a50-6288-4b46-8b69-75877450d282","Hola Chicuelos","15cf1e26-2f3c-4f26-ac5a-6c380f158404","Oxidados","4e5fc81c-cecd-38fe-9eaf-6c9a2c1379df"
"1617763186","07 Apr 2021, 02:39","Peligrosos Gorriones","8b6dc1fc-8aa2-4e37-afba-c532cacb4969","Peligrosos Gorriones","f301758a-130a-4688-953b-efea2471233c","Siempre Acampa","92413f6b-4895-3e2a-b189-9ebbf76b4c50"
"1617762972","07 Apr 2021, 02:36","Pato Fu","e6abe447-5f3c-4133-81b6-1cd4f0ba09dc","Gol de Quem?","1a23ba21-ebaa-46e8-ae56-38b3b480b876","Qualquer Bobagem","196f3606-a551-39bf-ab0a-2dc219327995"
"1617762634","07 Apr 2021, 02:30","Picassos Falsos","","Supercarioca","8482368c-5b70-4f43-a0d4-70fccf1703d9","Marlene","b49a46d3-b50e-3d49-b22f-c985717656da"
"1617762408","07 Apr 2021, 02:26","Nenhum de Nós","3a4be717-ade6-499d-a553-ddd7ab70b28b","Mundo Diablo","567dda38-cf51-4ba1-bc51-ce6e396b315d","O argonauta","2af5e0a6-25c1-44db-bd91-d0c3d950f279"
"1617762159","07 Apr 2021, 02:22","Gustavo Cerati","979d01bc-a4da-4c80-8cc1-be40bd35cd5e","Amor Amarillo","08befe75-b00c-42ca-b9a1-f48ffb56fe96","Bajan","13b2f552-d111-433a-ab76-b42f4108dff0"
"1617761898","07 Apr 2021, 02:18","Pescado Rabioso","ff401398-6d43-4e91-8f87-33fe19aafd84","Artaud","049d254c-5ead-4099-888f-ae02f11b6c8a","Las habladurías del mundo","241aa147-1f8b-4315-b7b7-617ce84d7605"
"1617761636","07 Apr 2021, 02:13","Lô Borges","","Muito Além do Fim","","Piano Cigano",""
"1617761432","07 Apr 2021, 02:10","Legião Urbana","47685be0-926f-4be9-b1ae-e32da47a3b99","O Descobrimento Do Brasil","315d1ba0-63a1-4fc2-906c-2658e3110140","Giz","18187bbe-2c5f-3ba1-b1df-3a7d10910c03"
"1617761247","07 Apr 2021, 02:07","Fother Muckers","f4a75bfe-3f62-4ffa-af71-5b166dff8884","Justo y Necesario","0e818b70-ebf9-4030-a429-d6942b8f6152","Gran Puente",""
"1617760997","07 Apr 2021, 02:03","Los Hermanos","","Bloco do Eu Sozinho","f70805ee-f3f5-4453-a344-eef3ad5f7e85","Fingi na Hora Rir","1c0fe0f9-7256-4a58-b167-80f02220d3fe"
"1617760737","07 Apr 2021, 01:58","Mundo Livre S/A","cafd8dd0-500e-4d87-938f-2c9dae2a6ef1","Por Pouco","62f05db4-ba60-40c9-a7e6-2b901bdff7a7","Meu Esquema","07a9fb2e-8398-3a5f-8ca8-74d2fa68cf6d"
"1617760488","07 Apr 2021, 01:54","Las Pelotas","4e8b94a4-081c-4093-b906-35f4bc0c0148","Máscaras De Sal","c06b460a-7d1a-42ae-b8bd-454ab023167e","Si supieras","2777b138-2c70-385f-832d-cfe2b4612254"
"1617760230","07 Apr 2021, 01:50","Los Hermanos","","""4""","","Primeiro Andar","09399018-8739-45c9-a0bf-287d0b1d40b9"
"1617760004","07 Apr 2021, 01:46","No lo soporto","58ff6009-4ee6-42f8-bbed-6f0d7c1bf17d","Avión","5d21fc80-132c-4d04-8c02-e4dab848d674","Nunca iré","f06ff45f-4ff4-37b1-86f7-968a00bb7a8a"
"1617759740","07 Apr 2021, 01:42","Azul Violeta","","America","e75952ca-6b3d-4806-b261-9e50356c1a0c","Sólo Por Hoy",""
"1617759542","07 Apr 2021, 01:39","Ira!","1ccd14d3-c66e-4949-9308-655b8df1a523","Isso é amor","","Minha Gente Amiga","8dee0cee-80a8-3e1f-8e47-2b66e0dbaa30"
"1617759293","07 Apr 2021, 01:34","Los Amigos Invisibles","c694bf65-83e9-47d5-aeb3-bb68f78ef981","Arepa 3000","","Mujer Policía","0905cce0-4d9d-4b1d-a319-1c7e43772f03"
"1617759027","07 Apr 2021, 01:30","Jennifer Lopez","f0602f55-1770-483d-89bd-4bae0d0ac086","On the 6","198181a6-b28e-4f7a-8d6b-6515623690b8","If You Had My Love","00004863-4632-4cec-bac4-6a5e4d3359b0"
"1617758853","07 Apr 2021, 01:27","Pato Fu","e6abe447-5f3c-4133-81b6-1cd4f0ba09dc","Rotomusic de Liquidificapum","88503bdb-4ac7-4909-bff3-de9de44e5a43","Meu coração é uma privada","2c2e9416-15fc-3558-81af-86e860491bf7"
