uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617461087","03 Apr 2021, 14:44","$NOT","d993169f-2033-4810-bae8-564d4aab89cd","GOSHA","","GOSHA","90768329-dfc1-444f-9b56-f0220c9e490b"
"1617460923","03 Apr 2021, 14:42","Headie One","2e2c71a6-1ac8-4442-ba00-c4dea71abd64","18HUNNA (feat. Dave) [Four Tet Remix]","","18HUNNA (feat. Dave) - Four Tet Remix",""
"1617460671","03 Apr 2021, 14:37","Na-Kel Smith","","Twothousand Nakteen","","Vinny Chase",""
"1617460265","03 Apr 2021, 14:31","Rejjie Snow","585a4449-2a50-4fc9-910d-e76b46c22718","The Moon & You","7cf84a01-778b-4670-b305-495b0402bab0","Sunny California","4c51141e-8f45-46ad-aff5-aa26621d389f"
"1617459882","03 Apr 2021, 14:24","Kiiara","dbc26631-5e61-4ba2-84ff-e1423a1c288a","Feels (Jai Wolf Remix)","","Feels - Jai Wolf Remix",""
"1617459623","03 Apr 2021, 14:20","Jai Wolf","4e65e361-e974-4c9f-a368-970d69b1c93b","The Cure to Loneliness","191026c6-673c-431f-9a1c-deba6bb1199b","Lose My Mind (feat. Mr Gabriel)",""
"1617459349","03 Apr 2021, 14:15","Wolf Alice","3547f34a-db02-4ab7-b4a0-380e1ef951a9","Visions Of A Life","a32aca75-248f-4497-8812-f9170f74ab28","Don't Delete The Kisses","023632c1-3fcb-4d38-8061-4f6df768e120"
"1617459105","03 Apr 2021, 14:11","21 Savage","","Savage Mode II","","Said N Done",""
"1617458748","03 Apr 2021, 14:05","Roddy Ricch","5721c227-4caf-48b1-bbfc-1a4ed3276963","Feed Tha Streets II","6cd894fa-faa0-4803-a3fa-e3c8f7e1a370","Down Below","e6465fd2-d986-4d2a-a1a5-a9f23572ecbb"
"1617458633","03 Apr 2021, 14:03","$uicideboy$","ef326b3d-61f0-4379-aca0-21237d696d63","My Liver Will Handle What My Heart Can't","ce800124-3330-4e6d-b1c2-f94751f11897","KILL YOURSELF (Part III)",""
"1617458401","03 Apr 2021, 14:00","Ne-Yo","a4a01f5d-18e7-4571-8c3a-76ec0e24e2d7","Year of the Gentleman (Bonus Track Edition)","2bd12a5a-9d31-4f37-ba65-251c3716fef0","Miss Independent","d43980ee-8f41-4b50-b1c6-347ca5e53aa8"
"1617405889","02 Apr 2021, 23:24","Gorillaz","e21857d5-3256-4547-afb3-4b6ded592596","Song Machine, Season One: Strange Timez (Deluxe)","","Friday 13th (feat. Octavian)",""
"1617405567","02 Apr 2021, 23:19","Bon Iver","437a0e49-c6ae-42f6-a6c1-84f25ed366bc","For Emma, Forever Ago","0270cde6-6b5b-31fa-b04b-d8b68ff612d4","The Wolves (Act I and II)","0144144f-3b9f-33ac-b1df-ca7ab7440736"
"1617405391","02 Apr 2021, 23:16","Frank Sinatra","","Songs For Swingin' Lovers! (Remastered)","","You Make Me Feel So Young - Remastered 1998",""
"1617405191","02 Apr 2021, 23:13","Lennon Stella","b7179522-d90d-4b02-8082-af4e3589f337","BITCH (takes one to know one)","","BITCH (takes one to know one)","10138282-865a-473c-8181-d2b42dac25eb"
"1617405064","02 Apr 2021, 23:11","The Kinks","17b53d9f-5c63-4a09-a593-dde4608e0db9","Something Else by The Kinks (Bonus Track Edition)","","Waterloo Sunset - Mono Mix",""
"1617404682","02 Apr 2021, 23:04","fun.","136c4166-85b3-4994-aa04-59857c434199","Aim and Ignite (Deluxe Version)","","Walking the Dog","1eb1907f-5645-4ceb-b895-e9873b013da0"
"1617404511","02 Apr 2021, 23:01","Na-Kel Smith","","Twothousand Nakteen","","Vinny Chase",""
"1617396510","02 Apr 2021, 20:48","Westside Boogie","","Outside (with Joey Bada$$)","","Outside (with Joey Bada$$)",""
"1617396377","02 Apr 2021, 20:46","Westside Boogie","","Everythings For Sale","","Soho (feat. Jid)",""
"1617396147","02 Apr 2021, 20:42","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","The Slow Rush","3a12923d-97cd-4e87-8cfd-fb67be970974","Borderline","028ddea9-a969-443a-afae-ff9a62a2a51c"
"1617395952","02 Apr 2021, 20:39","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","The Slow Rush","3a12923d-97cd-4e87-8cfd-fb67be970974","Instant Destiny","0edb5efc-91f0-414c-81af-9cafe7b327ef"
"1617395619","02 Apr 2021, 20:33","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","The Slow Rush","3a12923d-97cd-4e87-8cfd-fb67be970974","One More Year","5f0e8b66-d09f-4826-898a-28d97636935e"
"1617389266","02 Apr 2021, 18:47","Glass Animals","20395131-fbde-43ce-b141-b700cfdae99c","Dreamland","496cd243-5003-4f11-bfe3-d094fb545750","Heat Waves","01d68f97-0c5b-4df9-8ae2-249bde7bc5c6"
"1617383265","02 Apr 2021, 17:07","Glass Animals","20395131-fbde-43ce-b141-b700cfdae99c","Dreamland","496cd243-5003-4f11-bfe3-d094fb545750","Heat Waves","01d68f97-0c5b-4df9-8ae2-249bde7bc5c6"
"1617383114","02 Apr 2021, 17:05","Glass Animals","20395131-fbde-43ce-b141-b700cfdae99c","Dreamland","496cd243-5003-4f11-bfe3-d094fb545750","Heat Waves","01d68f97-0c5b-4df9-8ae2-249bde7bc5c6"
"1617382240","02 Apr 2021, 16:50","Glass Animals","20395131-fbde-43ce-b141-b700cfdae99c","Dreamland","496cd243-5003-4f11-bfe3-d094fb545750","Heat Waves","01d68f97-0c5b-4df9-8ae2-249bde7bc5c6"
"1617319557","01 Apr 2021, 23:25","KOTA The Friend","","To Kill A Sunrise","","Day Glow",""
"1617319192","01 Apr 2021, 23:19","Cordae","","The Lost Boy","","We Gon Make It (feat. Meek Mill)",""
"1617318938","01 Apr 2021, 23:15","Greentea Peng","2443a94a-03a6-4f0e-a369-ecda74af1c9f","Downers","","Downers",""
"1617318802","01 Apr 2021, 23:13","YNW Melly","59d6cea7-3771-4ce6-8c02-395ac5ba927a","772 Love","","772 Love",""
"1617318569","01 Apr 2021, 23:09","Beast Coast","","Escape From New York","","One More Round (feat. Meechy Darko, Erick The Architect & Nyck Caution)",""
