uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617415429","03 Apr 2021, 02:03","BTS","","Film out","","Film Out",""
"1617415213","03 Apr 2021, 02:00","BTS","","Film out","","Film Out",""
"1617414515","03 Apr 2021, 01:48","BTS","","Film out","","Film Out",""
"1617399704","02 Apr 2021, 21:41","Niki","","NIKI Acoustic Sessions: Head In The Clouds II","","La La Lost You - Acoustic Version",""
"1617399491","02 Apr 2021, 21:38","V","","ITAEWON CLASS (Original Television Soundtrack) Pt. 12","df8f227b-db0b-4017-9963-c10c1100081a","Sweet Night","1af9e4cf-cd57-4869-a8ef-d24a5d05ee67"
"1617399276","02 Apr 2021, 21:34","BTS","","Film out","","Film Out",""
"1617399117","02 Apr 2021, 21:31","BTS","","Film out","","Film Out",""
"1617398835","02 Apr 2021, 21:27","BTS","","Film out","","Film Out",""
"1617374863","02 Apr 2021, 14:47","John Ofa Rhee","","bleeding in","","GONE BY THE MORNING",""
"1617373780","02 Apr 2021, 14:29","권결","","Flashback","","Flashback",""
"1617373574","02 Apr 2021, 14:26","ROSÉ","","R","","Gone",""
"1617373415","02 Apr 2021, 14:23","Motte","","Walk","","Walk",""
"1617373249","02 Apr 2021, 14:20","Roomer","","In My Room : Vol.5 (Our Diary)","","circle",""
"1617373060","02 Apr 2021, 14:17","Jimmy Brown","","Let Me Know","","Let Me Know",""
"1617372737","02 Apr 2021, 14:12","Hyungoo","","Vicente Amigo","","Vicente Amigo",""
"1617372508","02 Apr 2021, 14:08","IU","","IU 5th Album 'LILAC'","","Epilogue",""
"1617372077","02 Apr 2021, 14:01","Youha","","zzz","","zzz",""
"1617309887","01 Apr 2021, 20:44","MAMAMOO","fb588f59-af1a-493a-9508-ed487caa2a11","reality in BLACK","2043e23b-5ec1-49ab-86e4-b2b6778bcb15","HIP","1c7d1e24-9d88-4de9-bc07-af617b6cc758"
"1617309664","01 Apr 2021, 20:41","Kiana Ledé","e0122b5e-5aa7-4d61-822a-e14ab72b4c84","Selfless","68111112-bbe7-4856-9d26-814a7f97c946","EX","293ef93f-1cab-4e20-8474-0d83a630df96"
"1617309479","01 Apr 2021, 20:37","DaniLeigh","cf34ed84-a52f-46a1-b45a-096b1ba5e3a2","Easy (Remix)","3d61141c-803a-4443-ba6c-e4e89de8ad6c","Easy","01d1125e-c50f-4d49-9374-7c56b4bf25d3"
"1617309274","01 Apr 2021, 20:34","Destiny Rogers","b200a863-cd09-4716-b146-f523a81a4de3","Tomboy","fb9a90f6-496f-4f6c-aca3-1d2878815bc1","Tomboy","5b620860-bd13-4e55-85e3-d0fc1603f45c"
"1617309072","01 Apr 2021, 20:31","Destiny Rogers","b200a863-cd09-4716-b146-f523a81a4de3","Tomboy","fb9a90f6-496f-4f6c-aca3-1d2878815bc1","Tomboy","5b620860-bd13-4e55-85e3-d0fc1603f45c"
