uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617763268","07 Apr 2021, 02:41","Crosby, Stills, Nash & Young","46a782ea-4308-476b-abd1-a91b197f3037","Deja Vu","","Our House","0632dd1e-357e-499e-bfd0-d297c56a606d"
"1617763078","07 Apr 2021, 02:37","Death Cab for Cutie","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","Plans","01a59ee9-4988-44ec-9b20-0d411b3137b9","I Will Follow You Into The Dark","05ea95e1-1c21-34a5-af8d-fa65952fba8e"
"1617762944","07 Apr 2021, 02:35","Crosby, Stills & Nash","cfafad90-b736-4c74-8ded-f3f4d7b2c792","CSN","1edbf582-ce47-3f32-b02c-802532dcc701","Just a Song Before I Go","0232fa4e-911f-43f6-a384-2623c7ab0470"
"1617762749","07 Apr 2021, 02:32","Crumb","b747dabe-b66c-48f6-bae6-b5e16d86b9ab","Crumb","962d1ba6-0d76-451a-9a80-8378141c86ed","Bones","dd22b204-2cf8-4bd5-ba58-e3040597fc47"
"1617762463","07 Apr 2021, 02:27","Built to Spill","3ac482b8-1494-4071-a0e9-f192f9d2c2b0","Keep It Like a Secret","0d2ecad7-9768-4a7a-900e-ced257290963","You Were Right","01d5ce1f-a38d-3e3a-8bb1-17248d37c716"
"1617762164","07 Apr 2021, 02:22","The Microphones","","The Glow, Pt. 2","","the Glow, pt. 2",""
"1617761869","07 Apr 2021, 02:17","Pavement","36bfa85f-737b-41db-a8fc-b8825850ffc3","Crooked Rain, Crooked Rain: LA's Desert Origins","0753cf54-f1b7-3a89-8317-9a2a38bb6460","Range Life","0d6b3a18-abad-384d-81dd-2d20f59b55ac"
"1617761537","07 Apr 2021, 02:12","Counting Crows","a0327dc2-dc76-44d5-aec6-47cd2dff1469","August and Everything After","0201c645-c8fe-46b0-b785-815a617a1136","Round Here","014563f1-dae1-3ffc-981a-5e1bc8e4fc55"
"1617761332","07 Apr 2021, 02:08","Elvis Costello","8a338e06-d182-46f2-bd16-30a09bc840ba","My Aim Is True","09dbdfda-0342-491b-89d1-4200513eee83","Alison","01a6c1be-605e-3de9-bfdc-c2b8e769fdd2"
"1617761129","07 Apr 2021, 02:05","Modest Mouse","a96ac800-bfcb-412a-8a63-0a98df600700","Interstate 8","5f52d3ff-74dd-460d-a627-4d54f0f7eff6","Sleepwalking (Couples Only Dance Prom Night)","3984884e-db2f-3563-9e27-9ffe94fa6971"
"1617760979","07 Apr 2021, 02:02","The Beatles","b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d","A Hard Day's Night (Remastered)","","And I Love Her - Remastered 2009",""
"1617760812","07 Apr 2021, 02:00","The Byrds","2819834e-4e08-47b0-a2c4-b7672318e8f0","Younger Than Yesterday","150c0d2d-1c57-37a9-b95b-84c4964fb950","Why","0730e758-557d-3e1d-a3ed-38f40be6d63d"
"1617760663","07 Apr 2021, 01:57","The Young Rascals","219ce30a-0f3a-468c-9a13-55ee358ac0f0","Rhino Hi-Five: The Rascals","","Good Lovin' - Single Version","44a43ac5-5579-3dfc-a764-484bf1008735"
"1617760489","07 Apr 2021, 01:54","San Diego Chamber Orchestra","","Bloch: Concerto Grosso No. 1; Concerto Grosso No. 2","","Concerto Grosso No. I For String Orchestra With Piano Obbligato - Prelude: Allegro Energicio E Pesante",""
"1617750236","06 Apr 2021, 23:03","Yes","","Fragile (Deluxe Edition)","","America - 2003 Remaster",""
"1617750071","06 Apr 2021, 23:01","blink-182","0743b15a-3c32-48c8-ad58-cb325350befa","Dude Ranch","153fc8b2-29c1-4b22-80c6-63b84074da67","Dammit","032ca326-e72a-3b4a-a455-e15a36817fe9"
"1617749927","06 Apr 2021, 22:58","Flume","","Hi This Is Flume (Mixtape)","","Amber","16e2d29c-81bd-4e07-ba9b-ec391adfd38c"
"1617748194","06 Apr 2021, 22:29","Steve Anderson","","Sleep, Volume 2","","Suite Bergamasque, L. 75: III. Clair De Lune",""
"1617747946","06 Apr 2021, 22:25","Cole Porter","","Éxitos Inolvidables De Cole Porter","","From This Moment On",""
"1617747743","06 Apr 2021, 22:22","Simon & Garfunkel","","Live 1969","6e6154ce-3305-4146-a659-4dfcd1111762","Old Friends / Bookends Theme - Live in Toledo, OH - November 1969",""
"1617747583","06 Apr 2021, 22:19","The Byrds","2819834e-4e08-47b0-a2c4-b7672318e8f0","Younger Than Yesterday","150c0d2d-1c57-37a9-b95b-84c4964fb950","Have You Seen Her Face","0725552c-dc98-3600-b3c4-7aaa0507e3b4"
