uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617757858","07 Apr 2021, 01:10","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","The Heretics","47c4cf07-4dc8-487c-b952-ce6762c64233","Vetry Zlye",""
"1617757663","07 Apr 2021, 01:07","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","The Heretics","47c4cf07-4dc8-487c-b952-ce6762c64233","Vetry Zlye",""
"1617749815","06 Apr 2021, 22:56","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","The Heretics","47c4cf07-4dc8-487c-b952-ce6762c64233","Vetry Zlye",""
"1617749620","06 Apr 2021, 22:53","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","The Heretics","47c4cf07-4dc8-487c-b952-ce6762c64233","Vetry Zlye",""
"1617744969","06 Apr 2021, 21:36","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","The Heretics","47c4cf07-4dc8-487c-b952-ce6762c64233","Vetry Zlye",""
"1617744774","06 Apr 2021, 21:32","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","The Heretics","47c4cf07-4dc8-487c-b952-ce6762c64233","Vetry Zlye",""
"1617744444","06 Apr 2021, 21:27","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","Fire and Flame","b5cb9562-d995-402d-bc4c-6ada09d57a4a","Fire and Flame","e068b228-24f1-471d-be44-93330e4eaf01"
"1617744259","06 Apr 2021, 21:24","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","Fire and Flame","b5cb9562-d995-402d-bc4c-6ada09d57a4a","Fire and Flame","e068b228-24f1-471d-be44-93330e4eaf01"
"1617744073","06 Apr 2021, 21:21","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","Fire and Flame","b5cb9562-d995-402d-bc4c-6ada09d57a4a","Fire and Flame","e068b228-24f1-471d-be44-93330e4eaf01"
"1617743888","06 Apr 2021, 21:18","Rotting Christ","2d576cfe-7669-4af0-a66a-86c8362f47c5","Fire and Flame","b5cb9562-d995-402d-bc4c-6ada09d57a4a","Fire and Flame","e068b228-24f1-471d-be44-93330e4eaf01"
