uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617764280","07 Apr 2021, 02:58","Wolf Parade","b7ddce8b-9e5c-46bd-9d33-41b134ce1a7f","Apologies to the Queen Mary","03f7f036-31b2-34a2-96cc-7e33f2c55ccf","Grounds for Divorce","0f09f4c8-4634-4a77-b23b-746a4d87d89e"
"1617763948","07 Apr 2021, 02:52","Spencer Krug","","","","Serious Times in The Waiting Room",""
"1617763686","07 Apr 2021, 02:48","Wolf Parade","b7ddce8b-9e5c-46bd-9d33-41b134ce1a7f","Expo 86","63fa7b76-6f87-3d0a-b8d8-b0a0aaa2667d","Cloud Shadow on the Mountain","05dbf82b-5ed8-3ef0-8ce6-19110a86f2c3"
"1617763380","07 Apr 2021, 02:43","Moonface","","Heartbreaking Bravery","446386dd-786a-4047-b7a6-8f27afdade3e","Yesterday's Fire","0b96bc4b-6a28-4eb7-a038-0fb2a117a96d"
"1617762912","07 Apr 2021, 02:35","Spencer Krug","","","","All of Cecil's Bells",""
"1617762778","07 Apr 2021, 02:32","Sunset Rubdown","9c0b1b7f-d63d-4e4f-bbec-1e7e7607dd22","Daytrotter Sessions","","They Took A Vote And Said No","1575eb44-3f4a-37c4-a8df-917204c1891d"
"1617762432","07 Apr 2021, 02:27","Wolf Parade","b7ddce8b-9e5c-46bd-9d33-41b134ce1a7f","Expo 86","63fa7b76-6f87-3d0a-b8d8-b0a0aaa2667d","In the Direction of the Moon","02a53e1f-3b29-3098-8f33-a54c69907318"
"1617762219","07 Apr 2021, 02:23","Sunset Rubdown","9c0b1b7f-d63d-4e4f-bbec-1e7e7607dd22","Sunset Rubdown Introducing Moonface","cc4d8687-b2bb-44cb-acd2-2d41bd365bd6","Insane Love is Awakening","bd1ecbc3-3a51-3bf7-b1d4-69c25c582769"
"1617761896","07 Apr 2021, 02:18","Moonface","","Heartbreaking Bravery","446386dd-786a-4047-b7a6-8f27afdade3e","Faraway Lightning","076344ac-4aa6-4b6f-8e2e-3359cb2d2551"
"1617761674","07 Apr 2021, 02:14","Sunset Rubdown","9c0b1b7f-d63d-4e4f-bbec-1e7e7607dd22","Shut Up I Am Dreaming","1009cf82-059c-32be-b2af-371cb66ca405","Swimming","1bc9d85f-4d04-3a34-ac84-5b60bf39689f"
