uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617732316","06 Apr 2021, 18:05","Morgan Wallen","","Dangerous: The Double Album","","Wonderin’ Bout the Wind",""
"1617732079","06 Apr 2021, 18:01","Caitlyn Smith","7589a5d8-6f6e-47e3-af9a-9cca2db1645c","Starfire","4a92fce1-6de7-48cf-a961-abf2fd1cb421","St. Paul","15aee130-a0cb-40f9-a81d-8e6dc5f25298"
"1617731782","06 Apr 2021, 17:56","Rascal Flatts","6e0ae159-8449-4262-bba5-18ec87fa529f","Unstoppable","8e505839-ae9b-4a12-917c-451a983f0209","Why","18364619-0e08-33ea-aecd-dd805c7b091a"
"1617731587","06 Apr 2021, 17:53","Kelsea Ballerini","779d1126-e48c-43f2-8b51-005f3b116d7e","The First Time","098009e6-3d73-4f66-bb3b-92365368dd9a","Yeah Boy","017a076f-a152-4c38-b2d8-6767699bd612"
"1617731369","06 Apr 2021, 17:49","Brett Young","2ec5396e-4fe9-4918-867f-34370e012093","Here Tonight","9bb863d1-9d89-4d9a-9510-be041a01427f","Here Tonight","500902e6-71be-459a-ada1-ca7fc6d32ad0"
"1617731155","06 Apr 2021, 17:45","Brothers Osborne","7a502bfc-4cab-4dc8-a618-b12aca7258e7","Pawn Shop","b9e7eaf9-72c3-41cc-bcaa-e45e54f29034","Rum","11104d96-40a8-4bf8-aabd-067013f7165a"
"1617730928","06 Apr 2021, 17:42","Rascal Flatts","6e0ae159-8449-4262-bba5-18ec87fa529f","Feels Like Today","1e6af493-cf52-4f08-9cf2-5d915e1032d6","Bless the Broken Road","026bd498-7095-381d-9275-1c5013c00f15"
"1617730711","06 Apr 2021, 17:38","Caitlyn Smith","7589a5d8-6f6e-47e3-af9a-9cca2db1645c","Supernova","8ae8c7b2-3be7-48c3-8bbe-00d935b05666","I Can't","b007f1df-5027-4310-b5c7-0b75b683cad1"
"1617730489","06 Apr 2021, 17:34","Jason Aldean","f24df11a-7e35-4979-a4db-a3b2a170ce27","Relentless","3bd4fb5c-583e-481d-a185-2cf7ec1dc0ba","Relentless","34d74898-7703-459f-89aa-afe4a2f76d07"
"1617730245","06 Apr 2021, 17:30","Maggie Rose","67270a0f-4a3c-471c-a728-67d65147b8ad","Cut To Impress","79902395-c322-42f1-bc02-cde30d5316ab","Better","deec4d4e-2c85-3424-8e40-b1bdbcc625f5"
"1617730035","06 Apr 2021, 17:27","Brett Eldredge","46510d46-ce20-4dde-b9ea-207e474353f4","Brett Eldredge","3d9b5f19-80b3-4672-85c5-82c272108847","Cycles","765ca6fe-caf3-4746-80c4-bb9ee72915f7"
"1617729820","06 Apr 2021, 17:23","Lindsay Ell","735f2b10-a267-4cd2-990f-f91702be9130","heart theory","7fba5177-58b5-42fd-9e8e-a741c4235ffb","I Don't Love You","0c0132b2-afa8-4a3c-9778-e7fd40f2e939"
"1617729670","06 Apr 2021, 17:21","Florida Georgia Line","","Life Rolls On","","Eyes Closed",""
"1617729457","06 Apr 2021, 17:17","Craig Campbell","c78adef3-b5c6-4140-9816-73f8748d8a35","Never Regret","1702350e-ff5b-4dc2-9a26-39a850b66c8c","Outta My Head","10fbd118-5f43-4a46-8043-68a582e05b01"
"1617729238","06 Apr 2021, 17:13","HARDY","f4fe9be1-8e34-47c8-bf16-33d1a94a235b","A ROCK","b27d3362-3969-4f4d-8bea-e2d3636d0264","GIVE HEAVEN SOME HELL","219dace2-ea70-45fb-a94d-e53a306ef6e0"
"1617729053","06 Apr 2021, 17:10","Morgan Wallen","","Dangerous: The Double Album","","Your Bartender",""
