uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617760822","07 Apr 2021, 02:00","King Von","","","","Wayne's Story",""
"1617760559","07 Apr 2021, 01:55","King Von","","","","How It Go",""
"1617759197","07 Apr 2021, 01:33","Ecco2k","66ab36ce-8f58-46fb-9284-396c2c90ecbd","Trash Island","","You Lose",""
"1617758991","07 Apr 2021, 01:29","PUP","3165f5e0-44ff-446a-81d7-c09ec69661ae","PUP","4d863895-637b-47d7-b450-56e11feb381c","Dark Days","072cc8d0-ef66-4c2f-aa01-d74b2182801a"
"1617758907","07 Apr 2021, 01:28","Jeff Rosenstock","14892f45-a103-44f2-bb18-ee4a20d7876e","We Cool?","2050f1e3-1d45-4ec7-b48d-4b733e360a63","Nausea","29b6c75f-f726-40d9-befc-ff21e20e0564"
"1617758510","07 Apr 2021, 01:21","Weezer","","OK Human","","All My Favorite Songs",""
"1617758345","07 Apr 2021, 01:19","Pooh Shiesty","","Shiesty Season","","Back In Blood (feat. Lil Durk)",""
"1617758104","07 Apr 2021, 01:15","Playboi Carti","","Whole Lotta Red","43eb6482-3e42-4421-a134-6bdd3bb847a6","Rockstar Made",""
"1617757912","07 Apr 2021, 01:11","Pooh Shiesty","","Shiesty Season","","Back In Blood (feat. Lil Durk)",""
"1617757811","07 Apr 2021, 01:10","BabyTron","","Lewis & Clark","","Dog Shit Militia",""
"1617757643","07 Apr 2021, 01:07","Almighty Suspect","","Trump Hat","","Trump Hat",""
"1617757379","07 Apr 2021, 01:02","Death Cab for Cutie","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","We Have the Facts and We're Voting Yes","6ad8e46b-7259-4038-ae3a-74bf1c02c78c","Company Calls Epilogue","1929d4e2-9719-4326-91f4-67d405750ec1"
"1617757195","07 Apr 2021, 00:59","Pooh Shiesty","","Shiesty Season","","Back In Blood (feat. Lil Durk)",""
"1617757057","07 Apr 2021, 00:57","Team600","","In LA We Trust","","Wildin Out",""
"1617756966","07 Apr 2021, 00:56","King Von","a542a08c-9434-4028-8da5-3120c4fdd3fb","Welcome to O'Block","","Why He Told","e1d1ab34-8d09-4157-9a9a-3c643feb521b"
"1617756843","07 Apr 2021, 00:54","King Von","","Welcome to O'Block","","Armed & Dangerous",""
"1617756648","07 Apr 2021, 00:50","Chief Keef","9118f524-be76-4eaf-875c-ccf15e2a2ad6","Bang 3, Pt. 2","6083b54d-08ce-45a5-8ef4-96139e92cedd","Bouncin","39aab1bc-e22b-4078-85aa-bbdbf5c76c8d"
"1617756507","07 Apr 2021, 00:48","SICKBOYRARI","","skullhead","","skullhead",""
"1617756303","07 Apr 2021, 00:45","RondoNumbaNine","","Rn4l","e09c4278-fcc7-434a-a074-2807e4e48e6f","Play For Keeps (feat. LA Capone)",""
"1617746714","06 Apr 2021, 22:05","King Von","a542a08c-9434-4028-8da5-3120c4fdd3fb","Why He Told","","Why He Told","e1d1ab34-8d09-4157-9a9a-3c643feb521b"
"1617746175","06 Apr 2021, 21:56","Team600","","In LA We Trust","","Wildin Out",""
"1617745973","06 Apr 2021, 21:52","Team600","","In LA We Trust","","Zzz",""
"1617745840","06 Apr 2021, 21:50","Team600","","In LA We Trust","","Competition",""
"1617745662","06 Apr 2021, 21:47","Team600","","In LA We Trust","","Squad Shit",""
"1617745647","06 Apr 2021, 21:47","King Von","","","","Armed & Dangerous",""
"1617745469","06 Apr 2021, 21:44","King Von","","","","Armed & Dangerous",""
"1617745342","06 Apr 2021, 21:42","Team600","","In LA We Trust","","Monsters",""
"1617745205","06 Apr 2021, 21:40","King Von","","","","Wayne's Story",""
"1617744998","06 Apr 2021, 21:36","Team600","","In LA We Trust","","Go Crazy, Pt. 2",""
"1617744873","06 Apr 2021, 21:34","Team600","","In LA We Trust","","Danny Glover",""
"1617744831","06 Apr 2021, 21:33","Team600","","In LA We Trust","","Free Rondo (Skit)",""
"1617744610","06 Apr 2021, 21:30","Team600","","In LA We Trust","","Just to Let U Know",""
"1617744416","06 Apr 2021, 21:26","Team600","","In LA We Trust","","Ridin in a Coupe: L.A.",""
"1617744239","06 Apr 2021, 21:23","Team600","","In LA We Trust","","OG Bobby Johnson",""
"1617744097","06 Apr 2021, 21:21","Team600","","In LA We Trust","","Koopa da King",""
"1617743852","06 Apr 2021, 21:17","Team600","","In LA We Trust","","Othashit",""
"1617743642","06 Apr 2021, 21:14","Team600","","In LA We Trust","","Got Shooters",""
"1617743417","06 Apr 2021, 21:10","Team600","","In LA We Trust","","Six0",""
"1617743349","06 Apr 2021, 21:09","Lil Mister","","No Lackin","","Kickin Like Tybo",""
"1617743075","06 Apr 2021, 21:04","Team600","","In LA We Trust","","Six Double 0, Pt. 1",""
"1617742875","06 Apr 2021, 21:01","Team600","","In LA We Trust","","War",""
"1617742155","06 Apr 2021, 20:49","Pooh Shiesty","","","","Back In Blood (feat. Lil Durk)",""
"1617741077","06 Apr 2021, 20:31","LIL MISTER x P.RICO","","","","No Lackin",""
"1617734352","06 Apr 2021, 18:39","SICKBOYRARI","","skullhead","","skullhead",""
"1617734080","06 Apr 2021, 18:34","Chief Keef","9118f524-be76-4eaf-875c-ccf15e2a2ad6","Bang 3, Pt. 2","6083b54d-08ce-45a5-8ef4-96139e92cedd","Bouncin","39aab1bc-e22b-4078-85aa-bbdbf5c76c8d"
"1617733931","06 Apr 2021, 18:32","SICKBOYRARI","","skullhead","","skullhead",""
"1617733727","06 Apr 2021, 18:28","RondoNumbaNine","","Rn4l","e09c4278-fcc7-434a-a074-2807e4e48e6f","Play For Keeps (feat. LA Capone)",""
"1617733169","06 Apr 2021, 18:19","Rico Recklezz","","Realer Than Wordz","","Like We Do (feat. Mally Stackz)",""
"1617732974","06 Apr 2021, 18:16","Rico Recklezz","","Realer Than Wordz","","Kno Bout Me",""
"1617732783","06 Apr 2021, 18:13","Rico Recklezz","","Realer Than Wordz","","I Do It (Feat. Esteban)",""
"1617732734","06 Apr 2021, 18:12","Rico Recklezz","","Realer Than Wordz","","Interlude",""
"1617732493","06 Apr 2021, 18:08","Rico Recklezz","","Realer Than Wordz","","Water (Feat. Boss Shorty)",""
"1617732264","06 Apr 2021, 18:04","Rico Recklezz","","Realer Than Wordz","","911 Emergency",""
"1617732055","06 Apr 2021, 18:00","Rico Recklezz","","Realer Than Wordz","","I Dont Want Yo Thot",""
"1617731895","06 Apr 2021, 17:58","Rico Recklezz","","Realer Than Wordz","","Rock The Bitch",""
"1617731769","06 Apr 2021, 17:56","Rico Recklezz","","Realer Than Wordz","","Cautious",""
"1617731540","06 Apr 2021, 17:52","Rico Recklezz","","Realer Than Wordz","","Middle Fingaz (Feat. Stain)",""
"1617731358","06 Apr 2021, 17:49","Rico Recklezz","","Realer Than Wordz","","Haunted House",""
"1617731214","06 Apr 2021, 17:46","Rico Recklezz","","Realer Than Wordz","","How Im Rocking",""
"1617731075","06 Apr 2021, 17:44","Rico Recklezz","","Realer Than Wordz","","Hood Nigga Shit",""
