uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617638787","05 Apr 2021, 16:06","Yung Lean","757ed661-fbad-4e45-b1cd-a6b09f06f54a","Unknown Death 2002","3d5edf7c-f630-4ad2-a76b-e6a4a0ca9a36","Gatorade","0bbde5d3-8e8e-44d1-88cd-9d7d6f33f388"
"1617638572","05 Apr 2021, 16:02","Unusual Demont","1f1c6c96-0953-46d1-9ad6-e2e339e8ed3d","Amber","","Amber","cb3044d5-f86a-4712-820e-38b543333a17"
"1617638313","05 Apr 2021, 15:58","Sammy Virji","","Find My Way Home","","Find My Way Home",""
"1617638155","05 Apr 2021, 15:55","Chloe x Halle","65dc16f0-2573-4747-ae7b-a7a2ff4dab8f","Ungodly Hour","1f1ab7c3-69b3-4b93-83f2-5cb101511309","Forgive Me","4ace13cc-db64-442b-a090-e2fc9fcf85c2"
"1617637929","05 Apr 2021, 15:52","Doja Cat","5df62a88-cac9-490a-b62c-c7c88f4020f4","Hot Pink","63ce2c2e-a121-4f77-a909-531116b56fa0","Streets","3c81b84d-66e1-4c7f-908d-c7ce0c9af724"
"1617637688","05 Apr 2021, 15:48","Doja Cat","5df62a88-cac9-490a-b62c-c7c88f4020f4","Hot Pink","63ce2c2e-a121-4f77-a909-531116b56fa0","Streets","3c81b84d-66e1-4c7f-908d-c7ce0c9af724"
"1617637470","05 Apr 2021, 15:44","Chloe x Halle","65dc16f0-2573-4747-ae7b-a7a2ff4dab8f","Ungodly Hour","1f1ab7c3-69b3-4b93-83f2-5cb101511309","Forgive Me","4ace13cc-db64-442b-a090-e2fc9fcf85c2"
"1617637243","05 Apr 2021, 15:40","Doja Cat","5df62a88-cac9-490a-b62c-c7c88f4020f4","Hot Pink","63ce2c2e-a121-4f77-a909-531116b56fa0","Streets","3c81b84d-66e1-4c7f-908d-c7ce0c9af724"
"1617637104","05 Apr 2021, 15:38","24kGoldn","","El Dorado","","Love Or Lust",""
"1617636957","05 Apr 2021, 15:35","24kGoldn","","El Dorado","","Outta Pocket",""
"1617636789","05 Apr 2021, 15:33","$NOT","","Beautiful Havoc","","Like Me (feat. iann dior)",""
"1617636590","05 Apr 2021, 15:29","Yung Lean","757ed661-fbad-4e45-b1cd-a6b09f06f54a","Unknown Death 2002","3d5edf7c-f630-4ad2-a76b-e6a4a0ca9a36","Gatorade","0bbde5d3-8e8e-44d1-88cd-9d7d6f33f388"
"1617636332","05 Apr 2021, 15:25","Sammy Virji","","Find My Way Home","","Find My Way Home",""
"1617636101","05 Apr 2021, 15:21","Doja Cat","5df62a88-cac9-490a-b62c-c7c88f4020f4","Hot Pink","63ce2c2e-a121-4f77-a909-531116b56fa0","Streets","3c81b84d-66e1-4c7f-908d-c7ce0c9af724"
"1617635868","05 Apr 2021, 15:17","$NOT","","Beautiful Havoc","","Like Me (feat. iann dior)",""
"1617635668","05 Apr 2021, 15:14","Yung Lean","757ed661-fbad-4e45-b1cd-a6b09f06f54a","Unknown Death 2002","3d5edf7c-f630-4ad2-a76b-e6a4a0ca9a36","Gatorade","0bbde5d3-8e8e-44d1-88cd-9d7d6f33f388"
"1617635409","05 Apr 2021, 15:10","Sammy Virji","","Find My Way Home","","Find My Way Home",""
"1617635250","05 Apr 2021, 15:07","Chloe x Halle","65dc16f0-2573-4747-ae7b-a7a2ff4dab8f","Ungodly Hour","1f1ab7c3-69b3-4b93-83f2-5cb101511309","Forgive Me","4ace13cc-db64-442b-a090-e2fc9fcf85c2"
"1617635025","05 Apr 2021, 15:03","Doja Cat","5df62a88-cac9-490a-b62c-c7c88f4020f4","Hot Pink","63ce2c2e-a121-4f77-a909-531116b56fa0","Streets","3c81b84d-66e1-4c7f-908d-c7ce0c9af724"
"1617559663","04 Apr 2021, 18:07","Yung Lean","757ed661-fbad-4e45-b1cd-a6b09f06f54a","Unknown Death 2002","3d5edf7c-f630-4ad2-a76b-e6a4a0ca9a36","Gatorade","0bbde5d3-8e8e-44d1-88cd-9d7d6f33f388"
"1617559462","04 Apr 2021, 18:04","Wett Brain","dc4b2d03-d71a-478e-bd70-171ecb79e3a9","Angeldust","3ea46244-ae55-43e3-99cf-0662ad3fe8c4","Angeldust","a0c9ad3b-76c9-46c1-8eb2-1cb95aa24e1d"
"1617559286","04 Apr 2021, 18:01","24kGoldn","","El Dorado","","Breath Away",""
"1617559070","04 Apr 2021, 17:57","24kGoldn","","El Dorado","","Company (feat. Future)",""
"1617558886","04 Apr 2021, 17:54","24kGoldn","","El Dorado","","Love Or Lust",""
"1617558607","04 Apr 2021, 17:50","Curren$y","","The Stoned Immaculate","5d683ddd-6402-4080-a226-7fbab8f626d1","Sunroof (feat. Corner Boy P)",""
"1617558459","04 Apr 2021, 17:47","Juice WRLD","4e4ebde4-0c56-4dec-844b-6c73adcdd92d","Legends Never Die","16b5e8b0-8b47-4f4d-9c5c-03ed42a5479b","Up Up And Away","001898a9-ec64-458c-8b95-02c3419db9e2"
"1617558312","04 Apr 2021, 17:45","24kGoldn","","El Dorado","","Outta Pocket",""
"1617558141","04 Apr 2021, 17:42","$NOT","","Beautiful Havoc","","Like Me (feat. iann dior)",""
"1617557945","04 Apr 2021, 17:39","Yung Lean","757ed661-fbad-4e45-b1cd-a6b09f06f54a","Unknown Death 2002","3d5edf7c-f630-4ad2-a76b-e6a4a0ca9a36","Gatorade","0bbde5d3-8e8e-44d1-88cd-9d7d6f33f388"
"1617557682","04 Apr 2021, 17:34","Sammy Virji","","Find My Way Home","","Find My Way Home",""
"1617557445","04 Apr 2021, 17:30","Chloe x Halle","65dc16f0-2573-4747-ae7b-a7a2ff4dab8f","Ungodly Hour","1f1ab7c3-69b3-4b93-83f2-5cb101511309","Forgive Me","4ace13cc-db64-442b-a090-e2fc9fcf85c2"
"1617557337","04 Apr 2021, 17:28","Chloe x Halle","65dc16f0-2573-4747-ae7b-a7a2ff4dab8f","Ungodly Hour","1f1ab7c3-69b3-4b93-83f2-5cb101511309","Forgive Me","4ace13cc-db64-442b-a090-e2fc9fcf85c2"
"1617556595","04 Apr 2021, 17:16","24kGoldn","","El Dorado","","Breath Away",""
"1617556381","04 Apr 2021, 17:13","24kGoldn","","El Dorado","","Company (feat. Future)",""
"1617556204","04 Apr 2021, 17:10","24kGoldn","","El Dorado","","Love Or Lust",""
"1617556057","04 Apr 2021, 17:07","24kGoldn","","El Dorado","","Outta Pocket",""
"1617555889","04 Apr 2021, 17:04","$NOT","","Beautiful Havoc","","Like Me (feat. iann dior)",""
"1617555690","04 Apr 2021, 17:01","Yung Lean","757ed661-fbad-4e45-b1cd-a6b09f06f54a","Unknown Death 2002","3d5edf7c-f630-4ad2-a76b-e6a4a0ca9a36","Gatorade","0bbde5d3-8e8e-44d1-88cd-9d7d6f33f388"
"1617555475","04 Apr 2021, 16:57","Unusual Demont","1f1c6c96-0953-46d1-9ad6-e2e339e8ed3d","Amber","","Amber","cb3044d5-f86a-4712-820e-38b543333a17"
"1617555365","04 Apr 2021, 16:56","KT6900","","DEMON II","","Dark Knights",""
"1617555166","04 Apr 2021, 16:52","Yung Lean","757ed661-fbad-4e45-b1cd-a6b09f06f54a","Unknown Death 2002","3d5edf7c-f630-4ad2-a76b-e6a4a0ca9a36","Gatorade","0bbde5d3-8e8e-44d1-88cd-9d7d6f33f388"
"1617554908","04 Apr 2021, 16:48","Sammy Virji","","Find My Way Home","","Find My Way Home",""
"1617554570","04 Apr 2021, 16:42","Sammy Virji","","Find My Way Home","","Find My Way Home",""
"1617554413","04 Apr 2021, 16:40","Chloe x Halle","65dc16f0-2573-4747-ae7b-a7a2ff4dab8f","Ungodly Hour","1f1ab7c3-69b3-4b93-83f2-5cb101511309","Forgive Me","4ace13cc-db64-442b-a090-e2fc9fcf85c2"
"1617496169","04 Apr 2021, 00:29","Curren$y","","The Stoned Immaculate","5d683ddd-6402-4080-a226-7fbab8f626d1","Sunroof (feat. Corner Boy P)",""
"1617492196","03 Apr 2021, 23:23","JermLean","","Noluck!","","Raindance",""
"1617492058","03 Apr 2021, 23:20","Huron John","","Apocalypse Wow","","Motocross",""
