uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617760667","07 Apr 2021, 01:57","Kevin Morby","","Sundowner","","Brother, Sister",""
"1617760415","07 Apr 2021, 01:53","Kevin Morby","","Sundowner","","Valley",""
"1617759971","07 Apr 2021, 01:46","Kevin Morby","","Sundowner","","Provisions",""
"1617759771","07 Apr 2021, 01:42","Kevin Morby","","Sundowner","","Velvet Highway",""
"1617759519","07 Apr 2021, 01:38","Kevin Morby","","Sundowner","","Jamie",""
"1617758106","07 Apr 2021, 01:15","Kevin Morby","","Sundowner","","A Night At The Little Los Angeles",""
"1617757784","07 Apr 2021, 01:09","Kevin Morby","","Sundowner","","Don't Underestimate Midwest American Sun",""
"1617757515","07 Apr 2021, 01:05","Kevin Morby","","Sundowner","","Wander",""
"1617757196","07 Apr 2021, 00:59","Kevin Morby","","Sundowner","","Campfire",""
"1617756886","07 Apr 2021, 00:54","Kevin Morby","","Sundowner","","Sundowner",""
"1617756609","07 Apr 2021, 00:50","Kevin Morby","","Sundowner","","Brother, Sister",""
"1617756272","07 Apr 2021, 00:44","Kevin Morby","","Sundowner","","Valley",""
"1617755117","07 Apr 2021, 00:25","Kevin Morby","","Sundowner","","Provisions",""
"1617754916","07 Apr 2021, 00:21","Kevin Morby","","Sundowner","","Velvet Highway",""
"1617754611","07 Apr 2021, 00:16","Kevin Morby","","Sundowner","","Jamie",""
"1617753090","06 Apr 2021, 23:51","Kevin Morby","","Sundowner","","A Night At The Little Los Angeles",""
"1617752764","06 Apr 2021, 23:46","Kevin Morby","","Sundowner","","Don't Underestimate Midwest American Sun",""
"1617750669","06 Apr 2021, 23:11","Kevin Morby","","Sundowner","","Wander",""
"1617750350","06 Apr 2021, 23:05","Kevin Morby","","Sundowner","","Campfire",""
"1617750040","06 Apr 2021, 23:00","Kevin Morby","","Sundowner","","Sundowner",""
"1617749537","06 Apr 2021, 22:52","Kevin Morby","","Sundowner","","Brother, Sister",""
"1617749113","06 Apr 2021, 22:45","Kevin Morby","","Sundowner","","Brother, Sister",""
"1617748866","06 Apr 2021, 22:41","Kevin Morby","","Sundowner","","Valley",""
"1617748577","06 Apr 2021, 22:36","Death Cab for Cutie","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","Plans","01a59ee9-4988-44ec-9b20-0d411b3137b9","Stable Song","1da875a5-8df4-3d28-a8a1-e39156503a73"
"1617748371","06 Apr 2021, 22:32","Death Cab for Cutie","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","Plans","01a59ee9-4988-44ec-9b20-0d411b3137b9","Stable Song","1da875a5-8df4-3d28-a8a1-e39156503a73"
"1617746665","06 Apr 2021, 22:04","Death Cab for Cutie","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","Plans","01a59ee9-4988-44ec-9b20-0d411b3137b9","Brothers on a Hotel Bed","02b77670-4947-3bfe-9e1f-88d7cbcbae34"
"1617746285","06 Apr 2021, 21:58","Death Cab for Cutie","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","Plans","01a59ee9-4988-44ec-9b20-0d411b3137b9","What Sarah Said","0017e78c-97b8-4b34-941e-f6f75dc79a2f"
