uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617637884","05 Apr 2021, 15:51","Weeekly","","We play","","After School",""
"1617637564","05 Apr 2021, 15:46","IU","","IU 5th Album 'LILAC'","","Troll (Feat. DEAN)",""
"1617602313","05 Apr 2021, 05:58","SZA","","Good Days","","Good Days",""
"1617601949","05 Apr 2021, 05:52","SZA","","Good Days","","Good Days",""
"1617560211","04 Apr 2021, 18:16","Calvin Harris","8dd98bdc-80ec-4e93-8509-2f46bafc09a7","Slide (feat. Frank Ocean & Migos)","","Slide (feat. Frank Ocean & Migos)",""
"1617559842","04 Apr 2021, 18:10","Poolside","dbfbd2a1-3f61-40b9-9558-21a96e32f721","Pacific Standard Time","061998a8-07e7-49ea-905b-c4e784aeb00d","Harvest Moon","0b3de587-9d48-3d3d-92c0-128f14cc9ac6"
"1617559602","04 Apr 2021, 18:06","Sam Kim","9d4916df-1f64-4469-824c-926817c32bc2","Boys And Girls Music, Vol. 1","","Think About' Chu",""
"1617559420","04 Apr 2021, 18:03","GoldLink","7cb6e306-a75b-48b4-be00-2c4aa6bbe3a8","Rough Soul (feat. April George)","","Rough Soul (feat. April George)",""
"1617559154","04 Apr 2021, 17:59","Bruno Mars","","Leave the Door Open","","Leave the Door Open",""
"1617559041","04 Apr 2021, 17:57","UMI","29037fbf-ca05-4819-9f2b-de685b5b26b0","Pretty Girl hi!","","Pretty Girl hi!","97a18b14-b42a-4735-9afc-0abd27d521fd"
"1617558880","04 Apr 2021, 17:54","Lennon Stella","","Summer Feelings (feat. Charlie Puth)","","Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album",""
"1617558645","04 Apr 2021, 17:50","Jungle","6bbb3983-ce8a-4971-96e0-7cae73268fc4","For Ever","71f14f0d-9b50-4e90-bdfa-5737df92fca8","Casio","4de58a55-ce44-4d07-92ef-e9675c8eed82"
"1617558474","04 Apr 2021, 17:47","Justin Bieber","e0140a67-e4d1-4f13-8a01-364355bee46e","Hold On","","Hold On","0b90af7b-d999-43cd-9330-db6973dc6bfa"
"1617558315","04 Apr 2021, 17:45","Kali Uchis","","Sin Miedo (del Amor y Otros Demonios) ∞","","telepatía",""
"1617557983","04 Apr 2021, 17:39","SAYGRACE","1ec7db1c-2205-4080-8141-440a4dcaaee1","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)","","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)",""
"1617557802","04 Apr 2021, 17:36","Jenevieve","","Baby Powder","","Baby Powder",""
"1617557702","04 Apr 2021, 17:35","Justin Bieber","","Justice","","Peaches (feat. Daniel Caesar & Giveon)",""
"1617557575","04 Apr 2021, 17:32","Justin Bieber","","Justice","","Peaches (feat. Daniel Caesar & Giveon)",""
"1617557428","04 Apr 2021, 17:30","Giveon","","TAKE TIME","0141b328-6ea3-4010-869e-a29ec7ca12d8","Favorite Mistake","44b78c4b-5621-41a2-a5ff-3ce326964793"
"1617487354","03 Apr 2021, 22:02","Saweetie","","Best Friend (feat. Doja Cat)","","Best Friend (feat. Doja Cat)",""
"1617482792","03 Apr 2021, 20:46","SZA","","Good Days","","Good Days",""
"1617396269","02 Apr 2021, 20:44","Weeekly","","We play","","After School",""
"1617396082","02 Apr 2021, 20:41","SAYGRACE","1ec7db1c-2205-4080-8141-440a4dcaaee1","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)","","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)",""
"1617395926","02 Apr 2021, 20:38","Saweetie","","Best Friend (feat. Doja Cat)","","Best Friend (feat. Doja Cat)",""
"1617391061","02 Apr 2021, 19:17","SZA","","Good Days","","Good Days",""
"1617390799","02 Apr 2021, 19:13","SZA","","Good Days","","Good Days",""
"1617390566","02 Apr 2021, 19:09","Weeekly","","We play","","After School",""
"1617390379","02 Apr 2021, 19:06","Saweetie","","Best Friend (feat. Doja Cat)","","Best Friend (feat. Doja Cat)",""
"1617390223","02 Apr 2021, 19:03","SZA","","Good Days","","Good Days",""
"1617323089","02 Apr 2021, 00:24","SAYGRACE","1ec7db1c-2205-4080-8141-440a4dcaaee1","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)","","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)",""
"1617323002","02 Apr 2021, 00:23","Saweetie","","Best Friend (feat. Doja Cat)","","Best Friend (feat. Doja Cat)",""
"1617322741","02 Apr 2021, 00:19","SZA","","Good Days","","Good Days",""
"1617321187","01 Apr 2021, 23:53","SZA","","Good Days","","Good Days",""
"1617320893","01 Apr 2021, 23:48","SZA","","Good Days","","Good Days",""
"1617320360","01 Apr 2021, 23:39","SZA","","Good Days","","Good Days",""
"1617305438","01 Apr 2021, 19:30","Weeekly","","We play","","After School",""
"1617303084","01 Apr 2021, 18:51","Red Velvet","4f0cb3b7-6c06-4317-ae35-ddf3106a17ee","‘The ReVe Festival’ Day 2","","Umpah Umpah","436bec7e-fe46-4033-93c3-1a305f57674d"
"1617302482","01 Apr 2021, 18:41","DPR IAN","","Moodswings In This Order","","Nerves",""
"1617302287","01 Apr 2021, 18:38","IU","","IU 5th Album 'LILAC'","","Troll (Feat. DEAN)",""
"1617301306","01 Apr 2021, 18:21","Ariana Grande","f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387","Positions (Deluxe)","","love language","14a37af0-3622-4332-9b98-79f925660adb"
"1617301106","01 Apr 2021, 18:18","ØFFSHORE","f5d771a0-56a3-4e5a-bf07-700503525d5e","Cut #1 (feat. Def.)","","Just Stay (feat. Def. & JUNNY)",""
"1617300812","01 Apr 2021, 18:13","Saweetie","","Best Friend (feat. Doja Cat)","","Best Friend (feat. Doja Cat)",""
"1617300352","01 Apr 2021, 18:05","Weeekly","","We play","","After School",""
"1617300148","01 Apr 2021, 18:02","Saweetie","","Best Friend (feat. Doja Cat)","","Best Friend (feat. Doja Cat)",""
"1617295639","01 Apr 2021, 16:47","SAYGRACE","1ec7db1c-2205-4080-8141-440a4dcaaee1","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)","","Boys Ain't Shit (feat. Tate McRae & Audrey Mika)",""
"1617295178","01 Apr 2021, 16:39","Weeekly","","We play","","After School",""
"1617261698","01 Apr 2021, 07:21","Weeekly","","We play","","After School",""
"1617261485","01 Apr 2021, 07:18","Weeekly","","We play","","After School",""
"1617260724","01 Apr 2021, 07:05","Weeekly","","We play","","After School",""
"1617260412","01 Apr 2021, 07:00","Weeekly","","We play","","After School",""
"1617260154","01 Apr 2021, 06:55","Weeekly","","We play","","After School",""
"1617259949","01 Apr 2021, 06:52","Weeekly","","We play","","After School",""
"1617256295","01 Apr 2021, 05:51","Weeekly","","We play","","After School",""
"1617254969","01 Apr 2021, 05:29","K/DA","","ALL OUT","","THE BADDEST",""
"1617254892","01 Apr 2021, 05:28","K/DA","","ALL OUT","","I'LL SHOW YOU",""
"1617253170","01 Apr 2021, 04:59","TWICE","8da127cc-c432-418f-b356-ef36210d82ac","&TWICE","633e97ea-33c8-4cad-a274-d735a8fb03e8","FAKE & TRUE","0f0b50df-de69-42d5-8327-b7da44e296e8"
"1617252889","01 Apr 2021, 04:54","Red Velvet","4f0cb3b7-6c06-4317-ae35-ddf3106a17ee","‘The ReVe Festival’ Day 2","","Umpah Umpah","436bec7e-fe46-4033-93c3-1a305f57674d"
