uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617752227","06 Apr 2021, 23:37","888","d4c78ca5-e89e-42f4-906a-8fe9bb30cbfe","Critical Mistakes","c42930f4-c57f-4a64-9dc7-ae5137a6a874","Seattle Rain","98db2b8e-31f9-48fc-8a4f-3c504d480b18"
"1617752010","06 Apr 2021, 23:33","Smallpools","91db24e6-1c28-4761-b829-838e3c9155bc","LOVETAP!","00ff7453-db46-4cfb-b99e-b7b0a816113d","Dreaming","16056165-9387-4b30-825a-f75133934277"
"1617751783","06 Apr 2021, 23:29","Foster the People","e0e1a584-dd0a-4bd1-88d1-c4c62895039d","Torches","041a07bf-55df-48fc-80a8-7924f5d01f0a","Miss You","03a2fb78-c161-3713-a6fa-ea251330c450"
"1617746594","06 Apr 2021, 22:03","Fabich","","Slow Burn","","Slow Burn",""
"1617746389","06 Apr 2021, 21:59","Mehari","","Fame (BLV Remix)","","Fame - BLV Remix",""
"1617746160","06 Apr 2021, 21:56","The Mermaids","","L'auntre","","L'auntre",""
"1617744950","06 Apr 2021, 21:35","Jaguar Jaguar","","Pink Lies","","Exit",""
"1617744747","06 Apr 2021, 21:32","Sean Koch","","Heartbreaker (Phil Soda Remix)","","Heartbreaker (Phil Soda Remix)",""
"1617744435","06 Apr 2021, 21:27","BLOWSOM","","Breathin","","Breathin",""
"1617744235","06 Apr 2021, 21:23","Ezra Jordan","","Cougars (It Don't Matter)","","Cougars (It Don't Matter)",""
"1617743986","06 Apr 2021, 21:19","5 Reasons","","Hideaway","","Hideaway",""
"1617743761","06 Apr 2021, 21:16","Soundsuality","","Mirage","","Mirage",""
"1617743400","06 Apr 2021, 21:10","Purple Disco Machine","","Hypnotized (Roosevelt Remix)","","Hypnotized - Roosevelt Remix",""
"1617743140","06 Apr 2021, 21:05","Parov Stelar","","Voodoo Sonic (The Trilogy, Pt. 3)","","Crush & Crumble",""
"1617742933","06 Apr 2021, 21:02","Odd Chap","8f84b4b4-4ac0-46b3-ba03-cd00b1b5901b","The Little Man Who Wasn't There","","The Little Man Who Wasn't There",""
"1617742069","06 Apr 2021, 20:47","Steve ´n´ Seagulls","c463f1c4-d19f-420f-ac88-a7b5afabeeb9","Farm Machine","","Thunderstruck","382c57a9-125a-438d-8972-729a13db2da6"
"1617741788","06 Apr 2021, 20:43","Ely Jaffe","48631637-8a38-4e7d-b283-e3c888dd27b4","On the Voice of Guitar, Vol. 1","2ffb14e8-c59e-44e5-af30-5fa108885dc6","Paradise",""
"1617741619","06 Apr 2021, 20:40","Ely Jaffe","48631637-8a38-4e7d-b283-e3c888dd27b4","The Guitar Covers","","Coming Home",""
"1617741357","06 Apr 2021, 20:35","Ely Jaffe","48631637-8a38-4e7d-b283-e3c888dd27b4","On the Voice of Guitar, Vol. II","","Wagon Wheel",""
"1617741248","06 Apr 2021, 20:34","Ely Jaffe","48631637-8a38-4e7d-b283-e3c888dd27b4","On the Voice of Guitar, Vol. II","","I Will Wait",""
"1617740987","06 Apr 2021, 20:29","Ely Jaffe","48631637-8a38-4e7d-b283-e3c888dd27b4","On the Voice of Guitar, Vol. II","","I Knew You Were Trouble",""
"1617740692","06 Apr 2021, 20:24","Kfir Ochaion","","I","","7 Years",""
"1617740436","06 Apr 2021, 20:20","Kfir Ochaion","","I","","Counting Stars",""
"1617740078","06 Apr 2021, 20:14","Kfir Ochaion","","I","","Faded",""
"1617739617","06 Apr 2021, 20:06","Kfir Ochaion","","III","","Ride",""
"1617738967","06 Apr 2021, 19:56","Kfir Ochaion","","III","","Don't Let Me Down",""
"1617738779","06 Apr 2021, 19:52","Kfir Ochaion","","III","","Radioactive",""
"1617738549","06 Apr 2021, 19:49","Kfir Ochaion","","IV","","Waiting For Love",""
"1617738323","06 Apr 2021, 19:45","Kfir Ochaion","","IV","","Cheap Thrills",""
"1617738090","06 Apr 2021, 19:41","Kfir Ochaion","","IV","","In The End",""
"1617737888","06 Apr 2021, 19:38","Kfir Ochaion","","IV","","Believer",""
"1617737652","06 Apr 2021, 19:34","Kfir Ochaion","","V","","River Flows In You",""
"1617737044","06 Apr 2021, 19:24","Kfir Ochaion","","V","","Sweet Child O' Mine",""
"1617736856","06 Apr 2021, 19:20","Kfir Ochaion","","V","","Numb",""
"1617736572","06 Apr 2021, 19:16","Kfir Ochaion","","VI","","Take On Me (Instrumental)",""
"1617736291","06 Apr 2021, 19:11","Kfir Ochaion","","VI","","Titanium (Instrumental)",""
"1617735930","06 Apr 2021, 19:05","Kfir Ochaion","","VI","","Bohemian Rhapsody (Instrumental)",""
"1617735696","06 Apr 2021, 19:01","Jamie Berry","956b1fa3-e244-4e33-903f-4c834ead136e","Light up the Night","5c2e4665-69ca-44f9-9f53-6cb2410468d8","Light up the Night","696a01e9-90b4-477e-899b-f502be7a1658"
