uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617639867","05 Apr 2021, 16:24","Yaw Tog","","Sore","","Sore",""
"1617638962","05 Apr 2021, 16:09","Upsahl","","Young Life Crisis","","Young Life Crisis",""
"1617638790","05 Apr 2021, 16:06","V9","","Do It","","Do It",""
"1617624874","05 Apr 2021, 12:14","Suspect","","Dug Out","","Dug Out",""
"1617624645","05 Apr 2021, 12:10","No Remorse","","Dunkin Donuts","","Dunkin Donuts",""
"1617624501","05 Apr 2021, 12:08","Buni","","No Respawn","","No Respawn",""
"1617592152","05 Apr 2021, 03:09","Pouya","cae09884-f473-460a-a04a-4dd3fc69cf6e","Who Am I to Blame?","","Who Am I to Blame?",""
"1617591845","05 Apr 2021, 03:04","Bloo","","Bloo Story","","Bloo Story",""
"1617591672","05 Apr 2021, 03:01","Tommy Cash","","Zuccenberg","","Zuccenberg",""
"1617591561","05 Apr 2021, 02:59","Matias Candia","","Iowa on Trip","","ASTROBOY",""
"1617591331","05 Apr 2021, 02:55","Sus","","Who's Bad?","","Who's Bad?",""
"1617591170","05 Apr 2021, 02:52","TOO YUGAN","","Monoblock","","MONOBLOCK",""
"1617590902","05 Apr 2021, 02:48","Yaw Tog","","TIME","","Sore - Remix",""
"1617590728","05 Apr 2021, 02:45","FREE FLOW FLAVA","","MADARA","","MADARA",""
"1617590553","05 Apr 2021, 02:42","Vadestine","","miss the rage","","Luv the Rage",""
"1617590334","05 Apr 2021, 02:38","HIYADAM","","Honey","","Honey",""
"1617590156","05 Apr 2021, 02:35","FREE FLOW FLAVA","","Midnight XIII","","Never Too Far",""
"1617589970","05 Apr 2021, 02:32","TPL","","In Da Trap","","In Da Trap",""
"1617585725","05 Apr 2021, 01:22","DJ Snake","31445b1e-96f3-4c7f-84ec-dd02e647e690","Encore","02edfa2e-6022-4e2f-9fe5-b6b542466b70","Middle","d02d805b-28b1-4e52-9f8a-fb41914ab30a"
"1617585185","05 Apr 2021, 01:13","Ghetts","62ffd9ee-13a1-49ed-8721-d07fd0b2f07d","Conflict Of Interest","","Mozambique (feat. Jaykae & Moonchild Sanelly)",""
"1617585038","05 Apr 2021, 01:10","Kid Milli","767638aa-d3f1-49ab-8112-348ac99b82eb","AI, THE PLAYLIST","28b808ac-0ddb-433b-8a97-145140d2d0a4","WHY DO FUCKBOIS HANG OUT ON THE NET","a8d9a1c5-400b-467a-8495-c7cc128f009c"
"1617584825","05 Apr 2021, 01:07","The Manor","","SWAZZ","088373e3-2fb2-43e5-8eb0-26502ab54495","SWAZZ","11691c05-a3fc-467d-a60f-7d8f12905d2a"
"1617584632","05 Apr 2021, 01:03","Jaden","166cb987-3156-4166-b0d3-f1ad5a6c514c","GOKU","4a459ee9-aed6-42c6-a929-9898bf13ab96","GOKU",""
"1617584492","05 Apr 2021, 01:01","BRENNAN SAVAGE","","Belly of the Beast","","Belly of the Beast",""
