uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617426019","03 Apr 2021, 05:00","BROCKHAMPTON","3ac96b4c-4f42-48c8-b793-84dbf54d7ac6","SATURATION II","b6a34a28-e92a-48a1-93b5-9995b0c05b04","SUMMER","2a1a411a-322d-4e97-a5dd-39f5b4f6183b"
"1617425800","03 Apr 2021, 04:56","BØRNS","","Dopamine","","Electric Love",""
"1617425532","03 Apr 2021, 04:52","Rex Orange County","883cbf1f-dcaa-4d17-b9ed-394e1fdabc87","Pluto Projector","","Pluto Projector","1233ca76-52ff-4d47-b0c6-43ffafd00e83"
"1617425384","03 Apr 2021, 04:49","UMI","29037fbf-ca05-4819-9f2b-de685b5b26b0","Interlude","8a955df7-b90f-4233-8d47-06580787f914","Midnight Blues","189ee24b-89f6-4490-8bc1-ec7574af79d4"
"1617425193","03 Apr 2021, 04:46","UMI","29037fbf-ca05-4819-9f2b-de685b5b26b0","Love Language","edf35a55-2d55-43a6-879d-a6f502b762d0","Love Affair","fc66392c-4636-4e93-a9e2-98d49fc1600d"
"1617425020","03 Apr 2021, 04:43","MAX","8ce77888-cd3b-4014-b710-88f83ec93633","Blueberry Eyes (feat. SUGA of BTS)","","Blueberry Eyes (feat. SUGA of BTS)",""
"1617424815","03 Apr 2021, 04:40","Lauv","c0ef2ba5-a7b7-40ea-bd27-30acccfcac11","I met you when I was 18. (the playlist)","91fa6b52-3373-42c7-9c7b-d73df10fdbea","Paris in the Rain","13ad1a5c-458a-47d3-aba6-0d2e6727fac0"
"1617424566","03 Apr 2021, 04:36","Frank Ocean","e520459c-dff4-491d-a6e4-c97be35e0044","Blonde","08f54f68-7c89-4e22-8a0f-ac2b06e48568","White Ferrari","1515aef6-311f-404b-83aa-83d104745380"
"1617424364","03 Apr 2021, 04:32","Raveena","85eb147f-012f-4584-9fa7-c8c384354db1","If Only","","If Only",""
"1617423894","03 Apr 2021, 04:24","Jaden","166cb987-3156-4166-b0d3-f1ad5a6c514c","SYRE","","Ninety",""
"1617423536","03 Apr 2021, 04:18","Tom Misch","fc3e8983-1f51-4c80-b2b5-146bf2162dc2","Geography","39435342-ad91-48ea-b75b-f7167c605418","Movie","0480cdfd-6ec1-417c-a09b-a1e94664a174"
"1617423274","03 Apr 2021, 04:14","Rex Orange County","883cbf1f-dcaa-4d17-b9ed-394e1fdabc87","Best Friend","7779e3ef-8c2a-418e-9a80-80a2034ed391","Best Friend","332463e8-406e-4e48-ad55-cf5bfdfa3b64"
"1617423031","03 Apr 2021, 04:10","offonoff","a3656c7a-5a7c-4e68-a903-5fcabcf36481","boy.","a838485d-a014-4711-aa19-eece82c1e484","Cigarette (Feat. Tablo, MISO)",""
"1617422822","03 Apr 2021, 04:07","Niki","","NIKI Acoustic Sessions: Head In The Clouds II","","La La Lost You - Acoustic Version",""
"1617422698","03 Apr 2021, 04:04","Peachy!","","Falling for U","3bac8da4-3ae9-4122-8827-a535cd2f51e3","Falling for U","a140d6af-f130-4da6-bf0e-04e9b97834de"
"1617422467","03 Apr 2021, 04:01","Dijon","cceea21d-f3ec-4586-be7a-d2e939c15c78","Skin","","Skin",""
"1617422265","03 Apr 2021, 03:57","UMI","29037fbf-ca05-4819-9f2b-de685b5b26b0","River","05796b74-93e3-4bad-9207-f9693339fa14","river","7249ddcb-3ed7-42ba-b0bc-b30c82e4d5c8"
"1617422058","03 Apr 2021, 03:54","Snoh Aalegra","636e0fb6-f2ad-45fc-b385-4d994665e7e3","DYING 4 YOUR LOVE","0098a7ae-32d0-438d-9962-b51265a9301c","DYING 4 YOUR LOVE","8a1fc4f3-6ee2-4369-90ef-85e95fe8bf2b"
"1617421877","03 Apr 2021, 03:51","Tyler, The Creator","f6beac20-5dfe-4d1f-ae02-0b0a740aafd6","Flower Boy","523f5e88-9988-436d-ab60-6d514c1f0e15","See You Again (feat. Kali Uchis)",""
"1617421658","03 Apr 2021, 03:47","Rini","bc8e20de-b670-4530-a443-519f5c8e74af","Camped","dd0fbb91-8188-4a95-9f4e-0bf05f620f5e","Camped","63d68a11-12ab-4b5d-9694-1c32a5ae43ce"
"1617420839","03 Apr 2021, 03:33","Sophia Kao","","Songkites: Season of Love","","Hell",""
"1617418970","03 Apr 2021, 03:02","The Seatbelts","","COWBOY BEBOP (Original Motion Picture Soundtrack)","","Space Lion","15c46624-0d73-4c7d-9fe5-e9837ac56d00"
"1617418799","03 Apr 2021, 02:59","Rihanna","73e5e69d-3554-40d8-8516-00cb38737a1c","Good Girl Gone Bad: Reloaded","1de12505-ac7b-49ab-a0ab-2aa189f0bf99","Take a Bow","00719883-183f-3d60-bff1-77adc7d76bb0"
"1617418524","03 Apr 2021, 02:55","Of Monsters and Men","9e103f85-7af7-41d7-b83b-49ba8f0c5abf","My Head Is an Animal","255c3fd4-156e-4a2b-81cc-0aa632d8efad","Little Talks","0031fba1-dde0-3755-bcb2-63b2544159f8"
"1617418397","03 Apr 2021, 02:53","iann dior","","Holding On","","Holding On",""
"1617418021","03 Apr 2021, 02:47","ORANGE RANGE","fee8e811-a2dc-4c09-8484-3c2aca38c3f9","ALL the SINGLES","6a41f5c1-321d-42e8-a9fd-cdc222787466","*〜アスタリスク〜",""
"1617413832","03 Apr 2021, 01:37","Cat Trumpet","","Parasyte (Piano Collection)","","Next to You",""
"1617413232","03 Apr 2021, 01:27","Daniel Caesar","b46e298d-d3a5-4695-a03e-63e8c523b23e","Freudian","209ad4ec-df53-4667-b45f-38413802b94b","Get You (feat. Kali Uchis)",""
