uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617633328","05 Apr 2021, 14:35","Glass Animals","20395131-fbde-43ce-b141-b700cfdae99c","Quarantine Covers","7c8401f0-a413-40c0-b1a4-4201394c0570","Young and Beautiful","a24d7a7b-2eea-43cf-a80c-f6ddf2d9d30a"
"1617598510","05 Apr 2021, 04:55","Juice WRLD","4e4ebde4-0c56-4dec-844b-6c73adcdd92d","Legends Never Die","16b5e8b0-8b47-4f4d-9c5c-03ed42a5479b","Wishing Well","23561af9-6718-4ba2-8be4-98042acf337e"
"1617598218","05 Apr 2021, 04:50","Jason Derülo","6de0f914-3e60-4418-be3b-42e0feb6eb4d","Watcha Say: Modern Bangers","","Whatcha Say","00f19b74-d03e-3ee9-9bf2-de4b293aaf25"
"1617597958","05 Apr 2021, 04:45","H.E.R.","93998e01-ff53-4af7-ba2a-5674adcdf21e","H.E.R.","49a3acff-3aff-46a5-bc91-aacd1348df2d","Jungle","0349cb55-4796-4480-8220-c3574dd3a235"
"1617597581","05 Apr 2021, 04:39","H.E.R.","93998e01-ff53-4af7-ba2a-5674adcdf21e","H.E.R.","49a3acff-3aff-46a5-bc91-aacd1348df2d","Jungle","0349cb55-4796-4480-8220-c3574dd3a235"
"1617597353","05 Apr 2021, 04:35","Between Friends","77ec6c49-66f9-46ff-9179-a63511e345d8","we just need some time together","1a3e533b-0869-4a8e-a950-ca0460b4ed3b","affection","cf308eb4-1f4b-4084-85aa-fb057c56c377"
"1617597046","05 Apr 2021, 04:30","Ralph Castelli","","Morning Sex","","Morning Sex",""
"1617596824","05 Apr 2021, 04:27","Juice WRLD","4e4ebde4-0c56-4dec-844b-6c73adcdd92d","Legends Never Die","16b5e8b0-8b47-4f4d-9c5c-03ed42a5479b","Wishing Well","23561af9-6718-4ba2-8be4-98042acf337e"
"1617596675","05 Apr 2021, 04:24","Billie Eilish","f4abc0b5-3f7a-4eff-8f78-ac078dbce533","everything i wanted","19a54c1f-07af-48db-8990-62a2208e18d4","everything i wanted","0a1ee416-3b05-4dd0-938f-14ea5e2f70bb"
"1617596481","05 Apr 2021, 04:21","Juice WRLD","4e4ebde4-0c56-4dec-844b-6c73adcdd92d","Legends Never Die","16b5e8b0-8b47-4f4d-9c5c-03ed42a5479b","Wishing Well","23561af9-6718-4ba2-8be4-98042acf337e"
"1617596233","05 Apr 2021, 04:17","Juice WRLD","4e4ebde4-0c56-4dec-844b-6c73adcdd92d","Legends Never Die","16b5e8b0-8b47-4f4d-9c5c-03ed42a5479b","Wishing Well","23561af9-6718-4ba2-8be4-98042acf337e"
"1617596059","05 Apr 2021, 04:14","Lord Huron","51c76d97-0635-433c-b26d-66beb81657f8","Strange Trails","05bbbba9-1ddf-401b-a41c-3d0a8dc805bd","The Night We Met","20b0cbf8-12bd-4b69-a089-de2994b5a6d5"
"1617595775","05 Apr 2021, 04:09","Kina Grannis","7a1766ba-3d50-428f-b6f5-4d267248c744","Crazy Rich Asians (Original Motion Picture Soundtrack)","","Can't Help Falling In Love","0bbbde42-f0cd-4ab5-a48b-de8d16bb6c38"
"1617595592","05 Apr 2021, 04:06","NoMBe","a588237b-c9ee-49c5-b254-cb670cce3b2b","They Might've Even Loved Me","d16155c3-c7de-4e86-9500-651395ece8e0","Young Hearts","2f80d8ef-67f2-4edb-a601-040a10098bc9"
"1617595295","05 Apr 2021, 04:01","Danny Wright","79ddcfab-f507-4f44-9d2f-1b296ad06f23","Healer of Hearts","cd6fcbac-1f3d-4b35-967f-1b9050b65481","Pachelbel's Cannon in D","9ce0fffb-0dba-3084-997d-db03fc74bee3"
"1617595042","05 Apr 2021, 03:57","Johann Pachelbel","","Chilled Piano Vol.3","","Canon in D Major, P.37",""
"1617594815","05 Apr 2021, 03:53","Johann Pachelbel","","Mozart: Academy in Concert","","Pachelbel: Canon and Gigue in D Major, P. 37: I. Canon",""
"1617594561","05 Apr 2021, 03:49","Johann Pachelbel","","Chilled Piano Vol.3","","Canon in D Major, P.37",""
"1617594341","05 Apr 2021, 03:45","Johann Pachelbel","","Mozart: Academy in Concert","","Pachelbel: Canon and Gigue in D Major, P. 37: I. Canon",""
"1617594252","05 Apr 2021, 03:44","Flume","","The Difference","0df24489-5e92-458f-adde-159699828176","The Difference",""
"1617594056","05 Apr 2021, 03:40","NoMBe","a588237b-c9ee-49c5-b254-cb670cce3b2b","They Might've Even Loved Me","d16155c3-c7de-4e86-9500-651395ece8e0","Young Hearts","2f80d8ef-67f2-4edb-a601-040a10098bc9"
"1617593842","05 Apr 2021, 03:37","The xx","c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6","Coexist","3e203ab7-f242-49cd-a817-9901eb87ba74","Angels","0f622aae-501e-49c3-a6d6-fe7802a7fe3a"
