uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617760239","07 Apr 2021, 01:50","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Rainbow","05a9f3ba-f9ae-4b03-8930-72321eb1e523"
"1617760041","07 Apr 2021, 01:47","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Golden Hour","0b6022a7-3b49-423b-9e7e-daad59f39950"
"1617759827","07 Apr 2021, 01:43","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","High Horse","0dcbf51f-d8d9-4104-8836-4e6b9e27a08b"
"1617759586","07 Apr 2021, 01:39","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Wonder Woman","3b4d1f92-fb9f-441a-a919-e90be2f627f4"
"1617759432","07 Apr 2021, 01:37","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Velvet Elvis","248cbc21-95a7-4079-9fc4-dae9ad893fbd"
"1617759189","07 Apr 2021, 01:33","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Happy & Sad","05820d1b-0002-4360-a793-2be766f4ff0b"
"1617758973","07 Apr 2021, 01:29","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Space Cowboy","04686ab2-44c5-4584-a82b-38bfa6ec077a"
"1617758717","07 Apr 2021, 01:25","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Love Is a Wild Thing","06c07e50-f230-4f46-b325-b7012bcd4772"
"1617758639","07 Apr 2021, 01:23","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Mother","30d0df2c-5c0a-4ea0-b017-b306d2a0d443"
"1617758397","07 Apr 2021, 01:19","Kacey Musgraves","d1393ecb-431b-4fde-a6ea-d769f2f040cb","Golden Hour","03689b03-1e15-4315-9693-9d7136754d61","Oh, What a World","24e2375e-8bef-49c1-ae53-ff18e0e87e3a"
