uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617582092","05 Apr 2021, 00:21","Bob Marley & The Wailers","c296e10c-110a-4103-9e77-47bfebb7fb2e","Kaya","08bdcc50-79b5-476a-8523-c8d8de8e35bd","Is This Love","0004ecb7-a150-46b7-97ce-c648e8c1dd7d"
"1617581841","05 Apr 2021, 00:17","Adele","","21","29f224ac-498d-4dcb-9a07-22b1293288ae","Rolling in the Deep","01641244-1cfc-37eb-8b85-f403c7c458d4"
"1617581635","05 Apr 2021, 00:13","Giveon","","When It's All Said And Done... Take Time","","THE BEACH","a4e9fa36-7ad6-47de-b833-d0e846515dce"
"1617566234","04 Apr 2021, 19:57","Bob Marley & The Wailers","c296e10c-110a-4103-9e77-47bfebb7fb2e","Kaya","08bdcc50-79b5-476a-8523-c8d8de8e35bd","Is This Love","0004ecb7-a150-46b7-97ce-c648e8c1dd7d"
"1617565527","04 Apr 2021, 19:45","Beyoncé","","Lemonade","","Formation",""
"1617565298","04 Apr 2021, 19:41","Ariana Grande","","Stuck with U","","Stuck with U (with Justin Bieber)",""
"1617564972","04 Apr 2021, 19:36","Beyoncé","","Lemonade","","Sorry",""
"1617564734","04 Apr 2021, 19:32","Bob Marley & The Wailers","c296e10c-110a-4103-9e77-47bfebb7fb2e","Kaya","08bdcc50-79b5-476a-8523-c8d8de8e35bd","Is This Love","0004ecb7-a150-46b7-97ce-c648e8c1dd7d"
"1617564487","04 Apr 2021, 19:28","Bob Marley & The Wailers","c296e10c-110a-4103-9e77-47bfebb7fb2e","Kaya","08bdcc50-79b5-476a-8523-c8d8de8e35bd","Is This Love","0004ecb7-a150-46b7-97ce-c648e8c1dd7d"
"1617544004","04 Apr 2021, 13:46","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","Dua Lipa (Complete Edition)","","Kiss and Make Up","af5de71d-fc7a-4103-aa3a-db45903f503b"
"1617543105","04 Apr 2021, 13:31","Bob Marley & The Wailers","c296e10c-110a-4103-9e77-47bfebb7fb2e","Kaya","08bdcc50-79b5-476a-8523-c8d8de8e35bd","Is This Love","0004ecb7-a150-46b7-97ce-c648e8c1dd7d"
"1617542876","04 Apr 2021, 13:27","Ariana Grande","","Stuck with U","","Stuck with U (with Justin Bieber)",""
"1617541839","04 Apr 2021, 13:10","Giveon","","When It's All Said And Done... Take Time","","THE BEACH","a4e9fa36-7ad6-47de-b833-d0e846515dce"
"1617541495","04 Apr 2021, 13:04","Ariana Grande","","Stuck with U","","Stuck with U (with Justin Bieber)",""
"1617541294","04 Apr 2021, 13:01","Giveon","","TAKE TIME","0141b328-6ea3-4010-869e-a29ec7ca12d8","THE BEACH","a4e9fa36-7ad6-47de-b833-d0e846515dce"
"1617540976","04 Apr 2021, 12:56","Daniel Caesar","b46e298d-d3a5-4695-a03e-63e8c523b23e","Freudian","209ad4ec-df53-4667-b45f-38413802b94b","Get You (feat. Kali Uchis)",""
"1617540797","04 Apr 2021, 12:53","Shawn Mendes","","Wonder","","Monster (Shawn Mendes & Justin Bieber)",""
"1617540532","04 Apr 2021, 12:48","Ab-Soul","acc12019-10e3-40aa-b4bf-66fbb4a692af","Control SYSTEM","48b831e2-ac0f-471b-832a-012e1a0a58fe","Terrorist Threats (feat. Danny Brown & Jhene Aiko)",""
"1617540303","04 Apr 2021, 12:45","Ariana Grande","","Stuck with U","","Stuck with U (with Justin Bieber)",""
"1617507304","04 Apr 2021, 03:35","Bob Marley & The Wailers","c296e10c-110a-4103-9e77-47bfebb7fb2e","Kaya","08bdcc50-79b5-476a-8523-c8d8de8e35bd","Is This Love","0004ecb7-a150-46b7-97ce-c648e8c1dd7d"
"1617507058","04 Apr 2021, 03:30","Bob Marley & The Wailers","c296e10c-110a-4103-9e77-47bfebb7fb2e","Kaya","08bdcc50-79b5-476a-8523-c8d8de8e35bd","Is This Love","0004ecb7-a150-46b7-97ce-c648e8c1dd7d"
"1617409901","03 Apr 2021, 00:31","PARTYNEXTDOOR","f23ef341-33bd-47c1-b83c-846a78581f05","PARTYPACK","","CANDY (feat. Nipsey Hussle)",""
"1617409709","03 Apr 2021, 00:28","Pooh Shiesty","","Shiesty Season","","Back In Blood (feat. Lil Durk)",""
"1617409477","03 Apr 2021, 00:24","Marvin Gaye","afdb7919-059d-43c1-b668-ba1d265e7e42","What's Going On","0f2ab0b8-99a3-41e6-a07a-c2f506bd5e34","What's Going On","008efe1f-6cbc-33a1-9457-39ca4c50523d"
"1617409122","03 Apr 2021, 00:18","Drake","","Nothing Was The Same (Deluxe)","","Tuscan Leather","3e7f5246-3a30-4a02-a3c5-f042c2ba7470"
"1617408984","03 Apr 2021, 00:16","Jack Harlow","134cb0bc-06fa-42f7-8078-b0c858349975","Sweet Action","340264b7-bc11-44eb-b0b7-302003233a64","WHATS POPPIN","046e72c7-43a8-43e1-a75f-c199dba26798"
"1617408559","03 Apr 2021, 00:09","T.I.","f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62","No Mercy","1441e97e-d355-438e-b76f-5110e709386a","Poppin Bottles",""
"1617408258","03 Apr 2021, 00:04","T.I.","f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62","No Mercy","1441e97e-d355-438e-b76f-5110e709386a","Poppin Bottles",""
"1617407922","02 Apr 2021, 23:58","Bruno Mars","afb680f2-b6eb-4cd7-a70b-a63b25c763d5","24K Magic","36d50a3d-839b-40fb-9e94-2f665eda0c63","Versace on the Floor","05965f0d-fbfa-46be-a276-73fa5acc240b"
"1617392848","02 Apr 2021, 19:47","Drake","","So Far Gone","2f2b8cd8-1c70-48c6-bbb6-a92365d8cf75","Successful (feat. Trey Songz & Lil Wayne)",""
"1617392567","02 Apr 2021, 19:42","SOB x RBE","4072e225-336f-49f9-bac1-c94be913cb65","Black Panther the Album Music From and Inspired By","015b4017-a78f-4072-bb58-5c4638a82196","Paramedic!","593b1060-dd61-4e8e-9b75-c32ebb6917a9"
"1617387041","02 Apr 2021, 18:10","Lil Peep","92da4329-77a4-425c-8e92-4280110cace9","I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","","I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","e6cc923d-269c-4596-ba98-dc90806453e7"
"1617386518","02 Apr 2021, 18:01","Kanye West","164f0d73-1234-4e2c-8743-d77bf2191051","The Life of Pablo","03f03619-385a-4ed9-9974-cdcdf6404cf5","No More Parties In LA","06b094cb-9f0f-49a8-b83e-35cc0f07a934"
"1617386359","02 Apr 2021, 17:59","Anna Clendening","d01a2901-1b59-4d2c-b73b-b7734a0b0086","waves","a869d835-5c44-4a0f-83a2-f74e8bf9ffe7","Bend & Break","a3950f50-f8b0-4c6c-a14c-bf37fce18853"
"1617386082","02 Apr 2021, 17:54","Lil Peep","92da4329-77a4-425c-8e92-4280110cace9","I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","","I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","e6cc923d-269c-4596-ba98-dc90806453e7"
