uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617639643","05 Apr 2021, 16:20","David Shire","b2283bca-ced1-4856-9cc6-a94b271062f5","Saturday Night Fever (The Original Movie Soundtrack)","","Manhattan Skyline","05be6e35-97d7-46b0-be4d-f2a4920baff2"
"1617639318","05 Apr 2021, 16:15","Philip Bailey","","Chinese Wall (Expanded Edition)","","Easy Lover",""
"1617639172","05 Apr 2021, 16:12","Bruce Springsteen","70248960-cb53-4ea4-943a-edb18f7d336f","Born to Run","027094a4-e561-34d2-82a2-62221f4df2c7","Born to Run","0001db33-c524-44f6-96de-09cf07c41ea6"
"1617638959","05 Apr 2021, 16:09","Steve Forbert","47435d42-7f8d-4288-bdb2-985e3c7f194f","Jack Rabbit Slim","","Romeo's Tune","0a197b9d-cf02-321f-bb37-eccb5caf5457"
"1617638508","05 Apr 2021, 16:01","Teena Marie","98cb2d05-0b47-4bc6-b345-792eecbe8449","Irons In The Fire (Expanded 15 Track Version)","","I Need Your Lovin'","029e6644-fb30-485b-9e6d-8f05be1921f8"
"1617505256","04 Apr 2021, 03:00","Connie","86a96f5b-f48e-4f64-a8ae-2cbcd4711cf3","The Best Of (Funky Little Beat)","","Funky Little Beat","0679de66-cf55-3eea-b9e9-94548be6b631"
"1617504104","04 Apr 2021, 02:41","Queen","0383dadf-2a4e-4d10-a46a-e9e041da8eb3","Hot Space (Deluxe Remastered Version)","","Back Chat - Remastered 2011",""
"1617503757","04 Apr 2021, 02:35","High Fashion","","Feelin' Lucky","16088de0-a4d2-3987-be18-8a1d83a6280e","Feelin' Lucky Lately - Remastered",""
"1617503423","04 Apr 2021, 02:30","Wings","","Wings Over America (Remastered)","","Maybe I'm Amazed - Live / Remastered",""
"1617503151","04 Apr 2021, 02:25","The Cars","","Candy-O","08bce009-34de-3c27-b44e-72c3c15dacb9","Let's Go","0233ff7b-254e-3c09-b5de-b52a3f0b6e92"
"1617502916","04 Apr 2021, 02:21","Eric Clapton","618b6900-0618-4f1e-b835-bccb17f84294","Slowhand 35th Anniversary (Super Deluxe)","","Lay Down Sally","0079593b-6229-3cfb-a78f-416ac44c6c0a"
"1617502400","04 Apr 2021, 02:13","Boz Scaggs","18a33653-bbaf-4aa7-884c-73f02a7a4515","Middle Man","07ae059e-080c-40ed-9488-2fa8303a3c78","Breakdown Dead Ahead","021ea22d-0b11-4b5d-a818-4742eb9d1120"
"1617502152","04 Apr 2021, 02:09","Def Leppard","7249b899-8db8-43e7-9e6e-22f1e736024e","Pyromania","0184ee6d-2999-4a9f-a832-684505d182c1","Photograph","01d64d80-05f3-3cdf-88ba-d5714613abdd"
"1617501927","04 Apr 2021, 02:05","Bread","6fd55d12-766e-42e8-b5ae-15d4bec93935","Manna","02eb2a08-649c-4fe3-94e0-97eff58b4a39","Take Comfort","092933bb-1f3d-49d5-b49b-b41a8eba8568"
"1617501673","04 Apr 2021, 02:01","Three Dog Night","1a48176d-1414-4a18-9792-50ba585d4d59","It Ain't Easy","3d54daf8-b753-4671-97a6-b332b4db6df2","Out in the Country","3c48f3ca-aae8-3c1a-bda8-4fa4b6d7b39d"
"1617501415","04 Apr 2021, 01:56","Donna Summer","b60527cc-54f3-4bbe-a01b-dcf34c95ae14","Walk Away - Collector's Edition The Best Of 1977-1980","","Last Dance - Single Version","16afd836-9bfa-4f95-ac8c-9fe07f8ddf03"
"1617501205","04 Apr 2021, 01:53","Kate Bush","4b585938-f271-45e2-b19a-91c634b5e396","Never for Ever","003b599f-6dcc-31ce-a811-01048c1ea41a","Babooshka","04214001-05b7-4a12-9b3f-a3a935ac0349"
