uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617613951","05 Apr 2021, 09:12","mxmtoon","","dawn & dusk","","asking for a friend",""
"1617613749","05 Apr 2021, 09:09","mxmtoon","","dawn & dusk","","wallflower",""
"1617613581","05 Apr 2021, 09:06","mxmtoon","","dawn & dusk","","myrtle ave.",""
"1617613361","05 Apr 2021, 09:02","mxmtoon","","dawn & dusk","","ok on your own (feat. Carly Rae Jepsen)",""
"1617613163","05 Apr 2021, 08:59","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","bon iver","2ea8f339-5ea9-4c23-a8c9-1a9fd747823b"
"1617612954","05 Apr 2021, 08:55","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","almost home","2f59619c-d9c7-4329-99bb-33ae57b33e09"
"1617612785","05 Apr 2021, 08:53","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","no faker","53118fb6-4e95-431a-b323-6fef33e2322b"
"1617612660","05 Apr 2021, 08:51","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","1, 2","1b579b1d-30c0-49b1-9d6c-b2d8eea478fa"
"1617612497","05 Apr 2021, 08:48","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","quiet motions","84a70e5b-f49f-4943-a505-a90c4ef785f0"
"1617612285","05 Apr 2021, 08:44","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","lessons","38149d5d-cc65-479a-a3c5-b0301c1d928f"
"1617612110","05 Apr 2021, 08:41","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","used to you","2a12128b-5107-4ad7-b306-b21b636354bb"
"1617611914","05 Apr 2021, 08:38","mxmtoon","ccbced49-2689-46f8-9101-1c265d6f7b8f","dawn & dusk","","fever dream","26d3a150-fafa-47fb-88fd-c00a8bed5148"
"1617611126","05 Apr 2021, 08:25","Foster the People","e0e1a584-dd0a-4bd1-88d1-c4c62895039d","Torches","041a07bf-55df-48fc-80a8-7924f5d01f0a","Pumped Up Kicks","06fc5e0f-f4f7-4dff-a20e-c8d23eaeb34c"
"1617610617","05 Apr 2021, 08:16","Foster the People","e0e1a584-dd0a-4bd1-88d1-c4c62895039d","Torches","041a07bf-55df-48fc-80a8-7924f5d01f0a","Pumped Up Kicks","06fc5e0f-f4f7-4dff-a20e-c8d23eaeb34c"
"1617610409","05 Apr 2021, 08:13","girl in red","","Serotonin","","Serotonin",""
"1617609884","05 Apr 2021, 08:04","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","Norman Fucking Rockwell!","","Venice Bitch","0b899580-c049-4322-acfe-e4c99426bb4d"
"1617609637","05 Apr 2021, 08:00","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","Norman Fucking Rockwell!","","Mariners Apartment Complex","02c910c9-6783-48b7-acc5-344a70f5eaf8"
"1617609388","05 Apr 2021, 07:56","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","Norman Fucking Rockwell!","","Norman fucking Rockwell","0589d0d0-fae6-4fd5-90ea-dcd5a2f452d6"
"1617609230","05 Apr 2021, 07:53","Walk the Moon","","What If Nothing","8be0981e-428e-4df8-89d5-9f038fae84dc","Tiger Teeth","c526a47a-f7c7-494a-8d75-ac2dd8de2f73"
"1617608994","05 Apr 2021, 07:49","Walk the Moon","","What If Nothing","8be0981e-428e-4df8-89d5-9f038fae84dc","Press Restart","066178f7-e451-4931-8822-51e33b115ae1"
"1617608813","05 Apr 2021, 07:46","United States Army Band","","50 Patriotic Songs Music For The 4th Of July","","National Emblem March",""
"1617608423","05 Apr 2021, 07:40","Paramore","44cf61b8-5197-448a-b82b-cef6ee89fac5","After Laughter","1080af22-6a39-45a0-9762-b1e9dfcfe642","Rose-Colored Boy","9212e40c-a378-46d9-9f33-0ba2355e6b5a"
"1617608242","05 Apr 2021, 07:37","Paramore","44cf61b8-5197-448a-b82b-cef6ee89fac5","After Laughter","1080af22-6a39-45a0-9762-b1e9dfcfe642","Hard Times","1295ef5a-3f6a-441b-a496-f393f3a3f792"
"1617608023","05 Apr 2021, 07:33","BØRNS","","Dopamine","","Electric Love",""
"1617607821","05 Apr 2021, 07:30","The Weeknd","c8b03190-306c-4120-bb0b-6f2ebfc06ea9","After Hours","","Blinding Lights","0977f91e-036a-48f5-856b-cfd3ce4eead4"
"1617607614","05 Apr 2021, 07:26","Olivia Rodrigo","6925db17-f35e-42f3-a4eb-84ee6bf5d4b0","drivers license","","drivers license","1b51a2cb-33db-44b8-9513-c91e73c55f45"
"1617607372","05 Apr 2021, 07:22","Olivia Rodrigo","6925db17-f35e-42f3-a4eb-84ee6bf5d4b0","drivers license","","drivers license","1b51a2cb-33db-44b8-9513-c91e73c55f45"
"1617607137","05 Apr 2021, 07:18","Kanye West","164f0d73-1234-4e2c-8743-d77bf2191051","My Beautiful Dark Twisted Fantasy","0fb96892-3890-40d8-b374-43b7e5c67d27","Dark Fantasy","02a4b4ec-38c7-45c9-85fa-d003ee69f4f5"
"1617606985","05 Apr 2021, 07:16","The Weeknd","c8b03190-306c-4120-bb0b-6f2ebfc06ea9","Starboy","08791ceb-9f2a-4f48-9fb7-9eab2df6fc6e","I Feel It Coming","283cff51-d87f-49e4-b5c6-181aebdfed21"
"1617606787","05 Apr 2021, 07:13","The Weeknd","c8b03190-306c-4120-bb0b-6f2ebfc06ea9","Beauty Behind the Madness","0e6bd297-d1b2-4386-8c0a-8d50eb2a33a1","Can't Feel My Face","03c837b4-6abe-4cd2-a30e-bfb6559251db"
"1617605568","05 Apr 2021, 06:52","Olivia Rodrigo","6925db17-f35e-42f3-a4eb-84ee6bf5d4b0","drivers license","","drivers license","1b51a2cb-33db-44b8-9513-c91e73c55f45"
"1617581924","05 Apr 2021, 00:18","dodie","70c5a8f1-5c53-4e1c-a90a-461e11e799c1","Sick of Losing Soulmates","","Sick Of Losing Soulmates","a8ed4e6c-7f52-49ed-ab43-9872148f7dee"
"1617577747","04 Apr 2021, 23:09","The Weeknd","c8b03190-306c-4120-bb0b-6f2ebfc06ea9","Beauty Behind the Madness","0e6bd297-d1b2-4386-8c0a-8d50eb2a33a1","Can't Feel My Face","03c837b4-6abe-4cd2-a30e-bfb6559251db"
"1617568415","04 Apr 2021, 20:33","Olivia Rodrigo","6925db17-f35e-42f3-a4eb-84ee6bf5d4b0","drivers license","","drivers license","1b51a2cb-33db-44b8-9513-c91e73c55f45"
"1617531033","04 Apr 2021, 10:10","The Chainsmokers","91a81925-92f9-4fc9-b897-93cf01226282","Memories...Do Not Open","","Something Just Like This","17f0b876-49e8-4be9-9688-816235167810"
"1617531029","04 Apr 2021, 10:10","The Chainsmokers","91a81925-92f9-4fc9-b897-93cf01226282","Memories...Do Not Open","","Something Just Like This","17f0b876-49e8-4be9-9688-816235167810"
"1617530939","04 Apr 2021, 10:08","Bill Wurtz","f96c1cd3-bbe9-4686-bbd1-0b226ebc79d5","Just Did a Bad Thing","f66b5ac4-2a17-4794-9d8d-f338b853bb5e","Just Did a Bad Thing","8fe68152-3c05-483d-8544-d0da6c1aa477"
"1617530938","04 Apr 2021, 10:08","Bill Wurtz","f96c1cd3-bbe9-4686-bbd1-0b226ebc79d5","Just Did a Bad Thing","f66b5ac4-2a17-4794-9d8d-f338b853bb5e","Just Did a Bad Thing","8fe68152-3c05-483d-8544-d0da6c1aa477"
"1617530701","04 Apr 2021, 10:05","BØRNS","","Dopamine","","Electric Love",""
