uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617630434","05 Apr 2021, 13:47","The White Stripes","11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5","Get Behind Me Satan","66a69cc2-3c1d-403b-bd06-2c7b23de135f","Blue Orchid","1cb0d566-a7f7-3334-8304-b1dbc578b130"
"1617630274","05 Apr 2021, 13:44","Toby Fox","1c26f82c-b35d-4c8e-a1f4-9c20747495c9","UNDERTALE Soundtrack","43cd19c0-0f8c-49d1-aac0-b096d48749c6","MEGALOVANIA","06518844-857e-4ba2-92ca-418979268093"
"1617630111","05 Apr 2021, 13:41","Aymee Nuviola","","Donde Estabas Anoche","fe2e1d8b-9b2c-4b6d-a7f2-2d754273a64a","Donde Estabas Anoche",""
"1617629878","05 Apr 2021, 13:37","Danny Brown","960afc67-9c21-46dd-9c7f-ff2b509e3150","Atrocity Exhibition","042714b3-04fa-42eb-976a-84e69fc632d5","Ain't it Funny","35fc1f8b-ad11-4b04-970b-0a6ed4c3ccef"
"1617629878","05 Apr 2021, 13:37","Aymee Nuviola","","Donde Estabas Anoche","fe2e1d8b-9b2c-4b6d-a7f2-2d754273a64a","Donde Estabas Anoche",""
"1617629700","05 Apr 2021, 13:35","Moe Shop","726da046-0cec-4920-974c-89e087d7ed8a","Moe Moe","06c4d9f9-9824-4ee4-a5c9-d5ad2d236a91","Notice",""
"1617629510","05 Apr 2021, 13:31","DANGERDOOM","be0cb2f2-71c3-4e95-a584-c19248951ff4","The Mouse & The Mask","a8185e3b-47fe-4fd0-a567-167bf3423386","Sofa King","1d407de5-dd42-33a3-afe2-6a83cabe5c78"
"1617629510","05 Apr 2021, 13:31","Moe Shop","726da046-0cec-4920-974c-89e087d7ed8a","Moe Moe","06c4d9f9-9824-4ee4-a5c9-d5ad2d236a91","Notice",""
"1617629328","05 Apr 2021, 13:28","Kero Kero Bonito","5e284bdc-3774-41dc-b5e2-b125d0349acf","Time 'n' Place","b45bea4b-6b84-4dd3-af37-f7ac174e42c8","Only Acting","0ad275c4-1a39-405e-a74b-b179b0c465b5"
"1617629103","05 Apr 2021, 13:25","Kero Kero Bonito","5e284bdc-3774-41dc-b5e2-b125d0349acf","Bonito Generation","2777cea6-dcd4-47a7-8540-a3042fe0c636","Lipslap","3b46a132-0727-48d5-99fe-5aab566537e9"
"1617628882","05 Apr 2021, 13:21","Kero Kero Bonito","5e284bdc-3774-41dc-b5e2-b125d0349acf","Bonito Generation","2777cea6-dcd4-47a7-8540-a3042fe0c636","Lipslap","3b46a132-0727-48d5-99fe-5aab566537e9"
"1617628882","05 Apr 2021, 13:21","DEAN","2b983abf-ef53-483e-a5f0-356e745008bd","limbo","3f0c3a58-da81-41ae-b620-78024495b975","Come Over",""
"1617628616","05 Apr 2021, 13:16","THE ORAL CIGARETTES","","FIXION","233a32b2-21be-4fce-8cdb-c097dfa7b51d","Kyouran Hey Kids!!",""
"1617628363","05 Apr 2021, 13:12","Hippo Campus","cf9655a8-ce1e-414e-9843-de1c4a60830d","Bambi","0c578a51-48cd-41ae-b131-8dd297c88034","Golden","1502c748-fc78-4044-928c-18b73473b5a0"
"1617628155","05 Apr 2021, 13:09","Denzel Curry","5f95440d-7737-4a36-9bcf-c05337f7129b","TA13OO","2da72cb7-16d4-4dca-8818-a355b074a977","BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK]",""
"1617627944","05 Apr 2021, 13:05","Carly Rae Jepsen","09887aa7-226e-4ecc-9a0c-02d2ae5777e1","Emotion","46420872-22b3-4f93-9dad-5e0ad51ea075","Making the Most of the Night","156492bf-da97-4c07-89d1-9bd42f3ebd19"
"1617627704","05 Apr 2021, 13:01","Death Grips","f9133036-ab3d-4e97-bd11-7a2c98ad148a","The Money Store","015ba8a6-97a9-4ad4-9ca4-382031177452","I've Seen Footage","0b81552c-8586-46af-968f-50bbc05b1114"
"1617627704","05 Apr 2021, 13:01","Carly Rae Jepsen","09887aa7-226e-4ecc-9a0c-02d2ae5777e1","Emotion","46420872-22b3-4f93-9dad-5e0ad51ea075","Making the Most of the Night","156492bf-da97-4c07-89d1-9bd42f3ebd19"
"1617627501","05 Apr 2021, 12:58","Kanye West","164f0d73-1234-4e2c-8743-d77bf2191051","My Beautiful Dark Twisted Fantasy","0fb96892-3890-40d8-b374-43b7e5c67d27","Power","0e3faca8-a444-36fc-918c-19a489912df2"
"1617627501","05 Apr 2021, 12:58","Death Grips","f9133036-ab3d-4e97-bd11-7a2c98ad148a","The Money Store","015ba8a6-97a9-4ad4-9ca4-382031177452","I've Seen Footage","0b81552c-8586-46af-968f-50bbc05b1114"
"1617627209","05 Apr 2021, 12:53","Kanye West","164f0d73-1234-4e2c-8743-d77bf2191051","My Beautiful Dark Twisted Fantasy","0fb96892-3890-40d8-b374-43b7e5c67d27","Power","0e3faca8-a444-36fc-918c-19a489912df2"
"1617627024","05 Apr 2021, 12:50","The White Stripes","11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5","White Blood Cells","16e8b280-eeb3-4d81-b298-dcc92abc670f","Dead Leaves and the Dirty Ground","03ac8008-1f94-4e6f-8838-30c10b2ca0af"
"1617625812","05 Apr 2021, 12:30","The White Stripes","11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5","White Blood Cells","16e8b280-eeb3-4d81-b298-dcc92abc670f","Fell in Love With a Girl","065e0a67-ee2f-42d3-bc86-5e2ade8fbfc0"
"1617589701","05 Apr 2021, 02:28","Taylor Swift","","evermore","","champagne problems",""
"1617589597","05 Apr 2021, 02:26","Kero Kero Bonito","5e284bdc-3774-41dc-b5e2-b125d0349acf","Bonito Generation","2777cea6-dcd4-47a7-8540-a3042fe0c636","Fish Bowl","1940eb09-5d0e-4fb4-bd77-2a56f5367ab1"
"1617589492","05 Apr 2021, 02:24","Kero Kero Bonito","5e284bdc-3774-41dc-b5e2-b125d0349acf","Bonito Generation","2777cea6-dcd4-47a7-8540-a3042fe0c636","Fish Bowl","1940eb09-5d0e-4fb4-bd77-2a56f5367ab1"
"1617589334","05 Apr 2021, 02:22","Hippo Campus","cf9655a8-ce1e-414e-9843-de1c4a60830d","Bambi","0c578a51-48cd-41ae-b131-8dd297c88034","Honestly","38d08ad6-21d0-4f56-95ed-a0a4faf9a284"
"1617589213","05 Apr 2021, 02:20","Neutral Milk Hotel","","In the Aeroplane Over the Sea","023fcf90-dca7-4a4e-a4e2-ed0eaba78f9e","King of Carrot Flowers Pt. 1",""
"1617589028","05 Apr 2021, 02:17","Frank Ocean","e520459c-dff4-491d-a6e4-c97be35e0044","Blonde","08f54f68-7c89-4e22-8a0f-ac2b06e48568","Skyline To","21f10687-747b-4d1a-aee4-f066b16803b1"
"1617564045","04 Apr 2021, 19:20","Childish Gambino","7fb57fba-a6ef-44c2-abab-2fa3bdee607e","3.15.20","3b4b1206-5a24-4fff-a138-e9f4d6e0ec75","53.49","04974623-a022-4aa9-b1c3-c112d7d12aa9"
"1617563684","04 Apr 2021, 19:14","Childish Gambino","7fb57fba-a6ef-44c2-abab-2fa3bdee607e","3.15.20","3b4b1206-5a24-4fff-a138-e9f4d6e0ec75","47.48","113c92cf-81be-4d04-bd2f-0eddaa3b7260"
"1617563362","04 Apr 2021, 19:09","Childish Gambino","7fb57fba-a6ef-44c2-abab-2fa3bdee607e","3.15.20","3b4b1206-5a24-4fff-a138-e9f4d6e0ec75","42.26","03357907-b835-408a-8b70-b4d41dfadfef"
"1617563183","04 Apr 2021, 19:06","Childish Gambino","7fb57fba-a6ef-44c2-abab-2fa3bdee607e","3.15.20","3b4b1206-5a24-4fff-a138-e9f4d6e0ec75","39.28","2e264c58-53bc-4eab-b2ac-809e9efde4e1"
"1617562946","04 Apr 2021, 19:02","Childish Gambino","7fb57fba-a6ef-44c2-abab-2fa3bdee607e","3.15.20","3b4b1206-5a24-4fff-a138-e9f4d6e0ec75","35.31","517a1603-edbb-41be-9142-bfe637920b08"
"1617562753","04 Apr 2021, 18:59","Childish Gambino","7fb57fba-a6ef-44c2-abab-2fa3bdee607e","3.15.20","3b4b1206-5a24-4fff-a138-e9f4d6e0ec75","32.22","08377584-2e80-4ffb-ad0c-61d3e2a71147"
