timestamp,username,date,coordinates,keywords,reflections
3/7/2021 5:31:33,aethelic,3/6/2021,"-1, 4","Tense, alert, activated, aware, some stress","Most of the music I listened to today  with the exception of aosoth) was recommended to me by friends, or listened to together with friends  Bathory, cultes des ghoules) so not much ""natural"" listening on this day."
3/8/2021 3:55:57,aethelic,3/7/2021,"0, -3"," somewhat tired, somewhat calm)",Tracks played from Evergrey through Floating Sketches were listened to with friends and not picked by me. Nigel Kennedy was recommended to me.
3/8/2021 17:02:44,aethelic,3/8/2021,"2, -1","Content, mostly relaxed, brief moments of stress, neutral but positive",Music played between lindy-fay hella and darkthrone was a Playlist with friends. Entombed and firespawn was in part due to the lead singer's death today)
3/10/2021 3:21:19,aethelic,3/9/2021,"1, 2","Okay, productive, alert, proactive",
3/11/2021 5:06:39,aethelic,3/10/2021,"4, 1","Cheerful, content, chill, motivated, happy",
3/12/2021 4:20:47,aethelic,3/11/2021,"4, -2","Happy, peaceful, sleepy, relaxed","Last 11 songs of the day, starting with JS Bach, selected by friend and listened to together."
3/12/2021 17:06:24,aethelic,3/12/2021,"3, 2","Happy, good, somewhat active, content, productive, social",The sims soundtrack listened with friends.
3/13/2021 17:06:04,aethelic,3/13/2021,"3, 3","Happy, active, motivated, social, peaceful","Adrian von Ziegler, Tyler Childers and tracks from knocked loose through wormwitch listened to with friends."
3/15/2021 6:17:45,aethelic,3/14/2021,"1, -3","Calm, sleepy, lethargic, okay, lazy, somewhat social, stagnant",A lot of the later tracks  Mindless Self Indulgence onwards) were listened to with friends while reminiscing about music we used to listen to.
3/15/2021 17:54:38,aethelic,3/15/2021,"3, -1","Content, fine, at peace, unsociable",
3/16/2021 17:07:32,aethelic,3/16/2021,"-1, 2","A bit stressed, tense, busy",
3/17/2021 18:13:47,aethelic,3/17/2021,"0, -3","Tired, sleepy, optimistic, stressed, inactive, social, unproductive",Mood probably affected by election day in my country.
3/19/2021 17:32:15,aethelic,3/18/2021,"0, -4","Exhausted, OK, productive, tired, unsociable","Hard to rate this day. I started out much higher on the activation bar and dropped down as the day went on because it was a busy day. Mood was mostly fine, perhaps a 3 at first then dropping to a 0. The 2 hours of songs  instead of albums) between 6 and 8:30 or so we're listened to with friends who dj'd."
3/19/2021 17:34:58,aethelic,3/19/2021,"-1, 2","Stressed, busy, mostly OK, preoccupied, overwhelmed",Busy day. Many albums  the death metal ones and the cure) were suggested by others but still chosen by me.
3/21/2021 5:37:28,aethelic,3/20/2021,"5, -1","Very content, at peace, happy, social, tired in a good way",Ostara celebrations influenced my choices in music. Death metal albums listened to with friends
3/22/2021 11:28:57,aethelic,3/21/2021,"-1, -5","Tired, lazy, sleepy, relaxed, zen, exhausted",
3/23/2021 4:27:55,aethelic,3/22/2021,"-2, -4","tense, stressed, anxious, worried","Mood caused by illness of cat, and care for cat  vet, etc) may have affected listening habits more than mood on this day as well as the next."
3/23/2021 11:50:05,aethelic,3/23/2021,"-4, -1","stressed  early) upset  mid), sad  late)","Received bad news about cat, been out all day too - may have affected listening habits."
3/24/2021 16:41:26,aethelic,3/24/2021,"-2, -1","Sad, sleepy, neutral, numb",Mortician listened to with friends
3/25/2021 14:50:02,aethelic,3/25/2021,"1, 3","Proactive, motivated, chill, stressed",Songs between 7 and 8  starting with Helloween) listened to with a friend
3/26/2021 18:03:31,aethelic,3/26/2021,"1, -5","Tired, calm, peaceful, sleepy, unproductive, sluggish, zen",
3/28/2021 5:38:51,aethelic,3/27/2021,"3, -1","Content, peaceful, relaxed",Last series of songs was shared with friends  infant annihilator onwards)
3/29/2021 3:30:46,aethelic,3/28/2021,"0, -2","Tired, sleepy, worn, calm, chill, at peace",
3/30/2021 3:14:50,aethelic,3/29/2021,"4, -1","Chill, peaceful, happy, sleepy, tired, content",
3/30/2021 15:24:27,aethelic,3/30/2021,"4, 2","Happy, energetic, productive, chill, sleepy",
3/31/2021 16:53:48,aethelic,3/31/2021,"3, 1","Happy, lazy, sleepy, content, proactive, social",Most of my tracks today were listened to with or suggested by friends
4/2/2021 7:12:19,aethelic,4/1/2021,"4, 3","Happy, energetic, motivated, social, active, curious",Lots of music listened to today was shared with friends. Not sure if it's worth separating since I think my tendency to listen with others or take recommendations is also rooted in my mood and therefore relevant? 
4/3/2021 5:43:26,aethelic,4/2/2021,"4, -1","content, peaceful, relaxed, happy",
4/4/2021 5:24:34,aethelic,4/3/2021,"4, 1","Good, happy, chill",
4/5/2021 5:38:04,aethelic,4/4/2021,"4, 3","Happy, active, cheerful, lazy, social",
3/7/2021 8:41:29,ajrogers25,3/6/2021,"5, -1",Content,
3/7/2021 8:42:27,ajrogers25,3/7/2021,"-4, -4",Bored,
3/9/2021 7:18:52,ajrogers25,3/8/2021,"-3, -5","Tired, bored, uncertain",
3/9/2021 7:19:17,ajrogers25,3/9/2021,"5, -1","Content, calm, at ease",
3/10/2021 11:14:14,ajrogers25,3/10/2021,"-3, -5","Tired, relaxed",
3/13/2021 1:05:12,ajrogers25,3/11/2021,"3, 5, -3, -5","alert, tired",
3/13/2021 1:06:23,ajrogers25,3/12/2021,"4, -4",Relaxed,
3/13/2021 1:07:16,ajrogers25,3/13/2021,"-6, -1, 4, -4","sad, relaxed",
3/19/2021 1:59:46,ajrogers25,3/18/2021,"6, -1","Content, hyped",
3/19/2021 2:00:25,ajrogers25,3/19/2021,"3, -6","calm, annoyed about this survey filling up my emails",
3/7/2021 0:47:39,akeijimo,3/6/2021,"3, 1","Alert, dazed, attentive,","I felt agitated, alert, and afraid in the morning over something that I thought happened. But as the day went on, I felt pretty calm but still attentive at my surroundings."
3/7/2021 23:33:27,akeijimo,3/7/2021,"-1, -1","Drowsy, tired, reflective, withdrawn, numb",It wasn't a completely bad day. I just felt pretty numb and yet a little agitated over school work.
3/8/2021 23:32:06,akeijimo,3/8/2021,"-3, 3","Tense, distracted, frustrated, jumpy","I felt really distracted and tense during the morning. Due to some issues, I felt slightly more tense and frustrated during the afternoon."
3/10/2021 1:37:10,akeijimo,3/9/2021,"-2, 4","stressed, anxious, very tense, alert",I had a lot of school work today and my day didn't go as planned.
3/11/2021 9:52:31,akeijimo,3/10/2021,"-1, -5","Exhausted, mentally drained, content, restless",I was busy all day and got stuff done but I felt restless and desperately needed to take a break.
3/12/2021 9:50:03,akeijimo,3/11/2021,"2, 3","content, fortunate, joyful, blessed",I received some uplifting news and spent some time reflecting on the future.
3/13/2021 12:02:41,akeijimo,3/12/2021,"-2, 4","focused, calm, comfortable, happy","Today, although things didn't go to plan, I ended up finishing a lot of work for school."
3/15/2021 1:06:33,akeijimo,3/13/2021,"4, -1","nostalgiac, emotional, reflective",I was very thoughtful and reflective on this day
3/15/2021 1:08:47,akeijimo,3/14/2021,"-1, -4","tense, relieved, bored, impatient",I got all of my school work done in time for spring break so I felt like a lot of weight was lost today but I also feel exhausted after a really busy semester so far.
3/15/2021 23:56:23,akeijimo,3/15/2021,"5, -3","Confident, relaxed, ""hyped up""",Twas a good day today
