uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617632863","05 Apr 2021, 14:27","Céline Dion","847e8a0c-cc20-4213-9e16-975515c2a926","The Colour of My Love","117839b8-31db-4125-8899-df82c1cb24f8","The Power of Love","00b43b3f-4cba-3318-aa68-3f5e757aef74"
"1617632695","05 Apr 2021, 14:24","The Pretty Reckless","54f8c12e-571c-4c5a-9f79-5336b39e84b0","Light Me Up","2ae39845-0b63-4970-ae74-7ec05151faa2","Just Tonight","12d3ae1a-bc74-3ff0-9d45-587fc5ec16fb"
"1617632458","05 Apr 2021, 14:20","Ariana Grande","f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387","Dangerous Woman","071ee15e-e25f-4324-a13b-a2cd5f9099bf","Dangerous Woman","0787f5f5-83cd-4ad5-8018-88cf932fa606"
"1617632276","05 Apr 2021, 14:17","Green Day","084308bd-1654-436f-ba03-df6697104e19","Dookie","17ca17ed-f061-4d5b-97e2-848d85e47d95","Basket Case","063f0360-343c-3c53-9c3c-6ec16359282d"
"1617631903","05 Apr 2021, 14:11","Meshuggah","cf8b3b8c-118e-4136-8d1d-c37091173413","Koloss","049b8b2f-5533-41c5-92ae-9f0fdfe84069","Demiurge","224c838b-8764-4beb-ae64-70728771aab5"
"1617631663","05 Apr 2021, 14:07","Exo","b533e938-5bde-4ac6-a5d3-c46ab3e392e8","The 2nd Album ‘EXODUS’","","El Dorado","0d36e5c7-3ac2-4d0e-9b2c-9480a7c1b984"
"1617631422","05 Apr 2021, 14:03","Hozier","b4691384-50c3-4afd-9988-51d3ec5db65d","Hozier (Expanded Edition)","","Take Me to Church","0611b373-6d3f-4132-ad92-17ef7dd6c027"
"1617552475","04 Apr 2021, 16:07","Health","","VOL. 4 :: SLAVES OF FEAR","","Strange Days (1999)","57071902-a51b-424c-b4aa-1e80c3aac449"
"1617552217","04 Apr 2021, 16:03","Crystal Castles","b1570544-93ab-4b2b-8398-131735394202","Crystal Castles","101f993f-d5e1-3f14-b40b-71850f1f435a","Crimewave","003d09fc-5649-45a5-90e5-9b27c1830495"
"1617552004","04 Apr 2021, 16:00","Health","","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)","","Major Crimes",""
"1617551719","04 Apr 2021, 15:55","She Wants Revenge","f434ae2b-b203-490d-a8ac-aa9cd51c0e73","She Wants Revenge","1236b4ae-fff4-49e3-b4d1-69c56333eb9a","Tear You Apart","06cde52f-842b-3808-b60f-409ceb7d87cf"
"1617551539","04 Apr 2021, 15:52","Health","","VOL. 4 :: SLAVES OF FEAR","","Feel Nothing","7253f5ce-6fdc-4bfa-ab3e-bf03ee4b1cfe"
"1617551347","04 Apr 2021, 15:49","Health","","DISCO4 :: PART I","","HARD TO BE A GOD",""
"1617551101","04 Apr 2021, 15:45","The Limousines","b4aa081c-e13e-4e9c-8fbc-f313cace0f01","Very Busy People","","Very Busy People","08690155-8d26-38bc-907a-a3cb9356884b"
"1617550888","04 Apr 2021, 15:41","Jazmin Bean","2bb53341-da20-465a-9eee-06e389ed9fc1","Worldwide Torture","07d7fd83-288c-4fbf-b2fc-f6ab2190b42c","Worldwide Torture","4c9a0646-8e6a-4928-bc09-760e92912d0e"
"1617550601","04 Apr 2021, 15:36","Metric","4449ccf6-c948-4d33-aa97-b6ad98ce4b5b","Fantasies","11b58ffb-1b0e-3bae-a969-baa106727be3","Collect Call","2193026b-9f1a-4530-a097-dbd929830257"
"1617550350","04 Apr 2021, 15:32","School of Seven Bells","57843aed-c1c1-4f45-9859-478dd999bc18","Ghostory","2c39993e-54e8-4727-adb1-93a5240f3f16","Love Play","0f033919-813c-4033-80fe-03036b778eac"
"1617550194","04 Apr 2021, 15:29","Luna Aura","","HONEY","","HONEY",""
"1617549949","04 Apr 2021, 15:25","Health","","DISCO4 :: PART I","","COLORS",""
"1617549685","04 Apr 2021, 15:21","Electric Six","54b0584e-4e5e-4976-80d4-eea7a82a7213","Switzerland","05321781-6e9a-35e9-adb4-36cb35f88ad6","There''s Something Very Wrong With Us, So Let's Go Out Tonight",""
"1617549438","04 Apr 2021, 15:17","Purity Ring","fdb53441-e5e6-4657-9aad-8dab672e1cdc","WOMB","08c118b4-0bb7-4411-96a8-c58e5d2fbef8","stardew","0fd23ed1-5493-4569-bec6-f8b75eec5421"
"1617497247","04 Apr 2021, 00:47","My Chemical Romance","c07f0676-9143-4217-8a9f-4c26bd636f13","The Black Parade","16eb8908-7d05-48b9-af7f-cb017302482a","Welcome to the Black Parade","16655f6a-e5ef-4afc-998e-0a97415a14cc"
"1617497014","04 Apr 2021, 00:43","Fall Out Boy","516cef4d-0718-4007-9939-f9b38af3f784","From Under the Cork Tree","0fe68756-b05e-43da-a702-b450e897e5d6","Sugar, We're Goin Down","077bb94b-af51-3bef-8dfa-1afa201e1d08"
"1617496835","04 Apr 2021, 00:40","Good Charlotte","b267ca80-034e-4dc1-9ed4-ec45f1fed41d","The Young and the Hopeless","1e299415-55ef-466a-b096-5b71d158e06c","Girls & Boys","00b12cd2-4cce-3800-8785-c61dcd39c252"
"1617487685","03 Apr 2021, 22:08","Green Day","084308bd-1654-436f-ba03-df6697104e19","Dookie","17ca17ed-f061-4d5b-97e2-848d85e47d95","Basket Case","063f0360-343c-3c53-9c3c-6ec16359282d"
"1617487516","03 Apr 2021, 22:05","Lit","5ccb9a53-092d-4806-b337-470a582893d7","A Place in the Sun","13061c2c-21b0-4d43-99ab-7a0262322a4f","My Own Worst Enemy","05504740-5651-3246-bb52-894390683be5"
"1617486992","03 Apr 2021, 21:56","My Chemical Romance","c07f0676-9143-4217-8a9f-4c26bd636f13","The Black Parade","16eb8908-7d05-48b9-af7f-cb017302482a","Welcome to the Black Parade","16655f6a-e5ef-4afc-998e-0a97415a14cc"
"1617486820","03 Apr 2021, 21:53","blink-182","0743b15a-3c32-48c8-ad58-cb325350befa","blink-182","a661a067-9abc-4372-a8c1-f2dccc449801","Feeling This","0f6bfa22-ba9c-3085-ba34-30afb4b4f061"
"1617486637","03 Apr 2021, 21:50","Good Charlotte","b267ca80-034e-4dc1-9ed4-ec45f1fed41d","The Young and the Hopeless","1e299415-55ef-466a-b096-5b71d158e06c","Girls & Boys","00b12cd2-4cce-3800-8785-c61dcd39c252"
