uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617750579","06 Apr 2021, 23:09","Tweets From the Class #22","","","","Parler Tricks",""
"1617723236","06 Apr 2021, 15:33","Binging with Babish","","","","Inferno Wing Challenge from Regular Show",""
"1617712968","06 Apr 2021, 12:42","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","Samurai Sword","05323326-5e51-45ac-8e9c-49707889d998"
"1617712853","06 Apr 2021, 12:40","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","I Felt Your Shape","1a3359c1-a048-40de-9425-6b5732647a26"
"1617712623","06 Apr 2021, 12:37","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","I Felt My Size","0b338093-996b-4548-a04f-dfa3e526dd46"
"1617712540","06 Apr 2021, 12:35","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","I Am Bored","3a0c8b54-968d-3553-9389-193dc88dd8e8"
"1617712437","06 Apr 2021, 12:33","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","I Want to Be Cold","3b532208-f4b8-3484-907a-e36241e9136b"
"1617712272","06 Apr 2021, 12:31","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","You'll Be in the Air","193c1ecd-dcd5-4fee-8ccb-c6331a7a7707"
"1617711974","06 Apr 2021, 12:26","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","Map","3915153a-f098-4e9d-a0d7-c77496a86bdd"
"1617711856","06 Apr 2021, 12:24","The Microphones","","The Glow, Pt. 2","","The Gleam, Pt. 2",""
"1617711685","06 Apr 2021, 12:21","The Microphones","6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26","The Glow, Pt. 2","","I'll Not Contain You","20abad51-57c0-4a9d-832d-0418fd1f582d"
"1617707712","06 Apr 2021, 11:15","Father John Misty","","Pure Comedy","340de01f-c2b0-4024-ac5e-ec1b6cc4788b","Things It Would Be Helpful to Know Before the Revolution",""
"1617707412","06 Apr 2021, 11:10","Wendover Productions","","","","Why China Is so Good at Building Railways",""
"1617699111","06 Apr 2021, 08:51","Death Grips","f9133036-ab3d-4e97-bd11-7a2c98ad148a","The Money Store","015ba8a6-97a9-4ad4-9ca4-382031177452","Double Helix","8eb86166-9062-4eb9-8cc6-9cd7dc077ae7"
"1617698914","06 Apr 2021, 08:48","Kyudo","","","","the sound of an arrow being released from bow",""
"1617661009","05 Apr 2021, 22:16","Drew Gooden","","","","What is Rick Lax doing?",""
"1617651641","05 Apr 2021, 19:40","Leonz","","Among Us (Trap Remix)","","Among Us - Trap Remix",""
"1617650563","05 Apr 2021, 19:22","Car Seat Headrest","","","","Uncontrollable Urge",""
"1617650310","05 Apr 2021, 19:18","Lil Nas X","","","","Montero (Call Me By Your Name)",""
"1617629834","05 Apr 2021, 13:37","Jockstrap","7230b2f8-96da-4242-8d57-2a8c1c3d71e4","","","Robert","922df920-9498-407a-9bbf-8de78433943d"
"1617629549","05 Apr 2021, 13:32","Jockstrap","7230b2f8-96da-4242-8d57-2a8c1c3d71e4","Wicked City","9c381d50-6f18-48fb-9754-258fb48b96cc","The City","caf21ebb-b608-4025-ae46-808bca0df5e0"
"1617629397","05 Apr 2021, 13:29","I'm Thinking of Ending Things","","","","a film by Charlie Kaufman",""
"1617629355","05 Apr 2021, 13:29","Car Noise","","","","how it feels listening to gy!be",""
"1617621010","05 Apr 2021, 11:10","M.I.A.","","/\/\ /\ Y /\","2e0b79e5-7ece-4899-9f90-732fda5bbfec","Story to Be Told","0ebe57e7-5163-395a-a483-b30606989265"
"1617620840","05 Apr 2021, 11:07","M.I.A.","","/\/\ /\ Y /\","2e0b79e5-7ece-4899-9f90-732fda5bbfec","Lovalot","66505cb7-5beb-3a13-b563-fc86d604232f"
"1617620460","05 Apr 2021, 11:01","M.I.A.","","/\/\ /\ Y /\","2e0b79e5-7ece-4899-9f90-732fda5bbfec","Teqkilla","5386a465-a46a-31ec-a439-e99edd7c3cc0"
"1617620285","05 Apr 2021, 10:58","M.I.A.","","/\/\ /\ Y /\","2e0b79e5-7ece-4899-9f90-732fda5bbfec","XXXO","826e20bc-c196-3ac0-a053-79d0b8d58476"
"1617620045","05 Apr 2021, 10:54","M.I.A.","","/\/\ /\ Y /\","2e0b79e5-7ece-4899-9f90-732fda5bbfec","Steppin Up","2c3cc10a-d220-3a8b-bee2-7c0fde7531fe"
"1617619989","05 Apr 2021, 10:53","M.I.A.","","/\/\ /\ Y /\","2e0b79e5-7ece-4899-9f90-732fda5bbfec","The Message","49999790-4084-3103-b8a0-e4a1013ae222"
"1617619792","05 Apr 2021, 10:49","Psychedelic Porn Crumpets","","SHYGA! The Sunlight Mound","","Sawtooth Monkfish",""
"1617619591","05 Apr 2021, 10:46","Psychedelic Porn Crumpets","","SHYGA! The Sunlight Mound","","Tally-Ho",""
"1617619526","05 Apr 2021, 10:45","Psychedelic Porn Crumpets","","SHYGA! The Sunlight Mound","","Big Dijon",""
"1617616025","05 Apr 2021, 09:47","Kimya Dawson","ba99a190-6065-4930-be3d-55ecc48e365d","Juno - Music From The Motion Picture","","Tire Swing","05b1011a-df0e-3736-b743-977b09409135"
"1617615971","05 Apr 2021, 09:46","Mateo Messina","6cc14953-8882-4197-8c3d-3bb9dd929be6","Juno - Music From The Motion Picture","","Up The Spout","2c819d5f-0dc7-32c6-9b8d-371f6be68904"
"1617615808","05 Apr 2021, 09:43","The Kinks","17b53d9f-5c63-4a09-a593-dde4608e0db9","Juno - Music From The Motion Picture","","A Well Respected Man","0012cb94-2377-32b0-bf45-8fa6e56aedc3"
"1617615755","05 Apr 2021, 09:42","Kimya Dawson","ba99a190-6065-4930-be3d-55ecc48e365d","Juno - Music From The Motion Picture","","My Rollercoaster [Juno Film Version]","439e1954-c835-47d3-b0f6-f9eb1d989f50"
"1617615599","05 Apr 2021, 09:39","Barry Louis Polisar","d2c2af59-e511-475d-a7c3-4707644df8f9","Juno - Music From The Motion Picture","","All I Want Is You","14d3e60f-f160-36d6-959f-5ae20ae3903e"
"1617614584","05 Apr 2021, 09:23","Rural Internet","","BREAKING UP","","Infested",""
"1617614239","05 Apr 2021, 09:17","Rural Internet","","BREAKING UP","","Chains",""
"1617614015","05 Apr 2021, 09:13","Rural Internet","","BREAKING UP","","starving...",""
"1617613656","05 Apr 2021, 09:07","Rural Internet","","BREAKING UP","","huh???",""
"1617613656","05 Apr 2021, 09:07","Rural Internet","","BREAKING UP","","Government",""
"1617613231","05 Apr 2021, 09:00","Rural Internet","","BREAKING UP","","BRAINWORMS",""
"1617612665","05 Apr 2021, 08:51","Black Country, New Road","e9403d9c-329b-4108-a26f-564159d441d9","For the first time","","Opus","55d7d11d-73a2-472e-b35c-430c0dfdd387"
"1617612380","05 Apr 2021, 08:46","Black Country, New Road","","For the first time","","Track X",""
"1617611790","05 Apr 2021, 08:36","Black Country, New Road","e9403d9c-329b-4108-a26f-564159d441d9","For the first time","","Sunglasses","049cf7ef-9ebf-461f-8eb5-c97d9060de3e"
"1617611409","05 Apr 2021, 08:30","Black Country, New Road","e9403d9c-329b-4108-a26f-564159d441d9","For the first time","","Science Fair","37deb98d-5860-4639-b221-c08ab18c9d34"
"1617611027","05 Apr 2021, 08:23","Black Country, New Road","e9403d9c-329b-4108-a26f-564159d441d9","For the first time","","Athens, France","6ad969d5-66f0-40ef-83ca-f12214aa49af"
"1617610702","05 Apr 2021, 08:18","Black Country, New Road","e9403d9c-329b-4108-a26f-564159d441d9","For the first time","","Instrumental","21995962-0494-4cb4-a8c4-a57aac1938b5"
"1617573365","04 Apr 2021, 21:56","Amanda the Jedi","","","","The Most Disgusting (and the best) Movies from Sundance 2021",""
"1617570196","04 Apr 2021, 21:03","Godspeed You! Black Emperor","3648db01-b29d-4ab9-835c-83f6a5068fe4","Lift Your Skinny Fists Like Antennas to Heaven","6a76904c-0caf-34e1-8cc2-7d95e86a3824","Like Antennas To Heaven…","c65d09ed-21a9-42a2-a60c-29500656f693"
"1617556613","04 Apr 2021, 17:16","After We Collided is Another Disaster","","","","Explained",""
"1617553026","04 Apr 2021, 16:17","Godspeed You! Black Emperor","3648db01-b29d-4ab9-835c-83f6a5068fe4","Lift Your Skinny Fists Like Antennas to Heaven","6a76904c-0caf-34e1-8cc2-7d95e86a3824","Static","42eb73ba-03ce-3758-9057-cad719840a6f"
"1617551501","04 Apr 2021, 15:51","Godspeed You! Black Emperor","3648db01-b29d-4ab9-835c-83f6a5068fe4","Lift Your Skinny Fists Like Antennas to Heaven","6a76904c-0caf-34e1-8cc2-7d95e86a3824","Storm","24c84123-a216-3d4f-b4d9-10bd545ecceb"
"1617526694","04 Apr 2021, 08:58","The Velvet Underground","94b0fb9d-a066-4823-b2ec-af1d324bcfcf","Juno - Music From The Motion Picture","","I'm Sticking With You","0165edd0-dbe5-3b1a-9946-d3c49c6c5b3c"
"1617526501","04 Apr 2021, 08:55","Antsy Pants","","Juno - Music From The Motion Picture","","Tree Hugger","06ae0e8c-3d9f-4c03-96d9-44e95bb30563"
"1617501002","04 Apr 2021, 01:50","Kimya Dawson","ba99a190-6065-4930-be3d-55ecc48e365d","My Cute Fiend Sweet Princess","e114bae0-205b-379c-9d07-a3d4999e5ff5","The Beer","3cc6e8e2-7fdc-40e8-aa20-3499cfc643c2"
