uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617752564","06 Apr 2021, 23:42","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Sugar Plum Fairies","e301bfa9-f713-45de-ab9b-2a5a369559f4"
"1617752305","06 Apr 2021, 23:38","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","One More Time","3197d430-f043-42e5-bcba-6648cd72218f"
"1617751917","06 Apr 2021, 23:31","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Lackluster","357aa6ec-ba88-43aa-aab2-4c096e4b538b"
"1617751541","06 Apr 2021, 23:25","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Dinner Bell","8d86b264-8182-4465-b2f2-d7130e3efae9"
"1617751182","06 Apr 2021, 23:19","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Dan Cortez","99507927-3c23-47d5-a875-25d2e37df021"
"1617750986","06 Apr 2021, 23:16","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Androgynous Love Song","bf7fbb8a-d581-49d8-8a8d-7e67ce3d2f70"
"1617750763","06 Apr 2021, 23:12","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Guilty","e8a4793e-92bd-483e-883b-9740d5720a6e"
"1617750452","06 Apr 2021, 23:07","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Red Roulette","c3e98c32-e469-4fea-bcc5-95be5e7bc117"
"1617750280","06 Apr 2021, 23:04","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Thank You Come Again","614b5644-7c40-4bc2-b48e-33383459ea18"
"1617750015","06 Apr 2021, 23:00","Dirty Dishes","16d4778a-d9c3-41bc-8b2a-c63934ebda4e","Guilty","00572583-a23b-49f4-9a45-c6ead3dd3597","Red Roulette","c3e98c32-e469-4fea-bcc5-95be5e7bc117"
