uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617615272","05 Apr 2021, 09:34","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Hong Kong",""
"1617614816","05 Apr 2021, 09:26","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Mega",""
"1617614528","05 Apr 2021, 09:22","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","The Royal Axe",""
"1617614289","05 Apr 2021, 09:18","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Nuclear Blast",""
"1617614168","05 Apr 2021, 09:16","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Lunch",""
"1617614041","05 Apr 2021, 09:14","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","The Throne",""
"1617613814","05 Apr 2021, 09:10","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Hollow Earth",""
"1617613658","05 Apr 2021, 09:07","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Antarctica",""
"1617613568","05 Apr 2021, 09:06","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Through There",""
"1617612682","05 Apr 2021, 08:51","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Tasman Sea",""
"1617612571","05 Apr 2021, 08:49","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Just Now",""
"1617612420","05 Apr 2021, 08:47","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","A New Language",""
"1617612303","05 Apr 2021, 08:45","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Apex Cybernetics",""
"1617611854","05 Apr 2021, 08:37","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Skull Island (Kong Theme)",""
"1617611713","05 Apr 2021, 08:35","Tom Holkenborg","","Godzilla vs. Kong (Original Motion Picture Soundtrack)","","Pensacola, Florida (Godzilla Theme)",""
"1617610722","05 Apr 2021, 08:18","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","101","31c218f4-d2aa-40e2-82da-4e683c2a1d00"
"1617610476","05 Apr 2021, 08:14","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","One Thing","01cee478-7e52-45c7-8ea2-795005dbb6a1"
"1617610238","05 Apr 2021, 08:10","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","Limitedless","1f7f9e6a-f8bb-44cb-adc5-7a2d57f9b0a1"
"1617609990","05 Apr 2021, 08:06","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","That's When I Knew","218c9b52-313d-4113-b29b-07e5294ae1d4"
"1617609804","05 Apr 2021, 08:03","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","Not Even the King","037ce119-bc7c-4f91-8109-4aa997ec1ba1"
"1617609567","05 Apr 2021, 07:59","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","Tears Always Win","12b3f7b1-868b-329f-b806-fe7405a72353"
"1617609244","05 Apr 2021, 07:54","Alicia Keys & Maxwell","","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","Fire We Make","0ac6802a-b7b3-4bf9-a37a-d95355c874c3"
"1617608976","05 Apr 2021, 07:49","Alicia Keys","","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","Girl on Fire (Inferno version) [feat. Nicki Minaj]",""
"1617608729","05 Apr 2021, 07:45","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","New Day","09a93999-4e4b-41ab-a68e-67474a014eef"
"1617608507","05 Apr 2021, 07:41","Alicia Keys","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","Girl on Fire","02206232-8454-4c26-b9c7-54abb3e72b42","Listen to Your Heart","0eea9938-8220-4dfc-b8b3-184b2cf4e8ee"
