uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617640069","05 Apr 2021, 16:27","Blair","2d92239c-44c5-47c5-afe0-44baf9b64629","Back To You","","Back To You",""
"1617639822","05 Apr 2021, 16:23","Bastille","","Indie Covers","","Of the Night","14e6f561-d9e2-42f2-b5b3-09993e7785f6"
"1617639630","05 Apr 2021, 16:20","Honest Men","8704998b-41a6-4e2a-97fc-a95cb9967e56","I'm Okay","","I'm Okay","fca95155-b196-40fd-ba37-9347ae9a5239"
"1617639411","05 Apr 2021, 16:16","Rivers Cuomo","87b6344f-c874-49ce-a8b3-e467ed6e05d0","Medicine For Melancholy","","Medicine For Melancholy","6c864806-11be-408a-a4d1-0313f4950e45"
"1617639144","05 Apr 2021, 16:12","Autoheart","eba72c3c-47e5-4541-ae1c-c34b217d38c4","Punch","2733e34a-8c13-4393-8a91-b4caca273c4a","Agoraphobia","9ed106b4-5ce7-4202-b140-da3118e3a378"
"1617638957","05 Apr 2021, 16:09","Flor","d762da0e-77b0-495d-9c68-c90f4864e3ee","come out. you're hiding (Deluxe)","","no more time","39c5a701-bbe5-4671-a78d-2be09aad0031"
"1617638742","05 Apr 2021, 16:05","Autoheart","eba72c3c-47e5-4541-ae1c-c34b217d38c4","Possibility","","Possibility - Video Edit",""
"1617638550","05 Apr 2021, 16:02","This Wild Life","be76cc4b-0fe7-4936-b75f-f341769ef638","Falling Down (Edit)","","Falling Down - Edit",""
"1617638324","05 Apr 2021, 15:58","Flor","d762da0e-77b0-495d-9c68-c90f4864e3ee","reimagined","2557b315-b0d5-4dbd-97ad-bd47f66379f2","Warm Blood","0c7db2c8-9187-4d4b-8b53-badefcec5c57"
"1617638119","05 Apr 2021, 15:55","Bastille","","Wild World (Complete Edition)","","Winter of Our Youth","00955647-91ad-4a3f-8437-402621debb7d"
"1617637847","05 Apr 2021, 15:50","The Band CAMINO","fb4d3639-dac0-478e-8776-4417096d8381","I Spend Too Much Time in My Room","5aee21cd-32b1-45d7-8d89-834e9ef93024","I Spend Too Much Time in My Room","ad5293ff-4b19-4f26-b69f-01559e516714"
"1617637647","05 Apr 2021, 15:47","Thomston","3a014488-74fb-40ac-9fa1-18c2358724b7","En-Route: Los Angeles","16c8d214-d3d1-471a-a807-0943aae0b344","The Heights","57755bb5-af66-4f0d-8c91-f1c88c44a26b"
"1617637380","05 Apr 2021, 15:43","Grace Mitchell","39dda82d-bdd5-4cd1-88f5-124311340661","Raceday","e36b2a32-7259-45fb-b10a-1e7238df38e4","NoLo","4ddfd5e7-e4f1-4769-8da9-18634b841808"
"1617637138","05 Apr 2021, 15:38","Vacation Manor","","Girl, Say","144d78ad-d3e8-4c81-9070-14c073f8181d","Girl, Say","6988b917-8f27-4ecb-b15e-01ebd60281b2"
"1617636937","05 Apr 2021, 15:35","The Band CAMINO","fb4d3639-dac0-478e-8776-4417096d8381","tryhard","7311f6bc-2e93-4e36-954b-7f959e7153c7","Honest","3c568373-127f-4f80-b752-efeab9dc63ba"
"1617636746","05 Apr 2021, 15:32","Camden Welles","","About You","","About You",""
"1617636533","05 Apr 2021, 15:28","Bastille","","Bad Blood","20944ad6-faea-4ee9-91cb-ed5dfee55b3e","Bad Blood","051be133-5755-47de-9877-f34dcc0bdc3c"
"1617636330","05 Apr 2021, 15:25","Autoheart","eba72c3c-47e5-4541-ae1c-c34b217d38c4","Wretch","","Wretch",""
