uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617639941","05 Apr 2021, 16:25","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Joe Goes To School","10750e89-89d8-49b3-b32b-bbeea4804665"
"1617639572","05 Apr 2021, 16:19","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Connect The Dots (The Saga of Frank Sinatra)","21c30a7f-8b7c-4c23-83b5-4bb92185bbbe"
"1617638879","05 Apr 2021, 16:07","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","The Ballad of the Costa Concordia","1ffb37af-3760-4801-80a6-15b7b30bfeb4"
"1617638365","05 Apr 2021, 15:59","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Cosmic Hero","0cc7c73c-71f2-4030-93c6-81f56ac0119a"
"1617638038","05 Apr 2021, 15:53","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Unforgiving Girl (She's Not An)","239f438f-159d-42ae-9e67-4e9b9cc1c09d"
"1617637786","05 Apr 2021, 15:49","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","1937 State Park","1243e7fa-4f00-4eff-9d2d-ad6a4f073bbf"
"1617637410","05 Apr 2021, 15:43","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Drunk Drivers/Killer Whales","18f512ba-080d-4cdd-a124-1068b8599351"
"1617637136","05 Apr 2021, 15:38","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Not What I Needed","7caaacb9-487d-4acd-a6b5-5fa803def9db"
"1617636797","05 Apr 2021, 15:33","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem)","077cc3d4-9f0b-43c1-ad29-150249aad3f2"
"1617636492","05 Apr 2021, 15:28","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Destroyed By Hippie Powers","14469fc8-72f0-4346-a65f-8223c7cbd96b"
"1617636025","05 Apr 2021, 15:20","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Vincent","0b0e9bf9-e362-4b00-8051-04af88d1984a"
"1617635745","05 Apr 2021, 15:15","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","Lonerism","0d2cb66c-3a32-4f81-b977-9231c461c34a","Feels Like We Only Go Backwards","1587517a-9b2b-385a-b044-673fddf88004"
"1617635458","05 Apr 2021, 15:10","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","Lonerism","0d2cb66c-3a32-4f81-b977-9231c461c34a","Why Won't They Talk to Me?","2268f66d-6ce6-3319-a43c-4b5251343768"
"1617635309","05 Apr 2021, 15:08","The Strokes","f181961b-20f7-459e-89de-920ef03c7ed0","The New Abnormal","23f4027a-86db-4e28-bd78-ea078dbc6068","Bad Decisions","3c0507a2-26a1-49a2-b26e-9202b6c69f6f"
"1617635144","05 Apr 2021, 15:05","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","Lonerism","0d2cb66c-3a32-4f81-b977-9231c461c34a","Music to Walk Home By","45acbdee-4cf9-3a75-985e-4d65f8d4787e"
"1617634673","05 Apr 2021, 14:57","Tame Impala","63aa26c3-d59b-4da4-84ac-716b54f1ef4d","Currents","031ecbde-35e1-4d3a-917f-f89f31aca1c9","Let It Happen","2b7f81e7-63e0-4afd-a270-89f003e47e67"
"1617633437","05 Apr 2021, 14:37","Car Seat Headrest","0fabbc1d-8d94-4a61-bd1d-1099ad1e4559","Teens Of Denial","0f46ffb8-36e6-4a0e-9ac6-beda6d5eacb1","Fill In The Blank","1c2d979a-d3a4-4012-877b-905456ef5458"
"1617630120","05 Apr 2021, 13:42","Xiu Xiu","","OH NO","","A Bottle of Rum",""
"1617629942","05 Apr 2021, 13:39","Xiu Xiu","","OH NO","","Knock Out",""
"1617629696","05 Apr 2021, 13:34","Xiu Xiu","","OH NO","","Saint Dymphna",""
"1617629367","05 Apr 2021, 13:29","Xiu Xiu","","OH NO","","It Bothers Me All The Time",""
"1617629166","05 Apr 2021, 13:26","Xiu Xiu","","OH NO","","A Classic Screw",""
"1617628779","05 Apr 2021, 13:19","Xiu Xiu","","OH NO","","One Hundred Years",""
"1617628603","05 Apr 2021, 13:16","Xiu Xiu","","OH NO","","I Dream of Someone Else Entirely",""
"1617628374","05 Apr 2021, 13:12","Xiu Xiu","","OH NO","","Fuzz Gong Fight",""
