uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617765142","07 Apr 2021, 03:12","Lullatone","","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","September Affected Disorder (Piano Version)",""
"1617764951","07 Apr 2021, 03:09","Lullatone","","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","still feeling the waves when you go to bed (piano version)",""
"1617764884","07 Apr 2021, 03:08","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","perfectly organized cleaning supplies (piano version)","7f021fa8-59b7-4d04-8271-9af8c441a354"
"1617764725","07 Apr 2021, 03:05","Lullatone","","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","The Existenstial Dilemma of a Melting Ice Cream Cone (Piano Version)",""
"1617764586","07 Apr 2021, 03:03","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","fireflies and lightning bugs (piano version)","0fbedaaa-0b06-43d2-8091-e410b122aedd"
"1617764502","07 Apr 2021, 03:01","Lullatone","","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","The Kind of Song You Make up When You Are Bored (Piano Version)",""
"1617764330","07 Apr 2021, 02:58","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","race against the sunset (piano version)","a7f1cc75-9655-4f18-ba8d-1263628c517e"
"1617764082","07 Apr 2021, 02:54","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","good morning melody (piano version)","d8204013-7d6d-4bb9-a99e-fa2826861cf6"
"1617763972","07 Apr 2021, 02:52","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","umbrella (piano version)","1bff3693-676f-4620-83ab-3352c5aa9842"
"1617763852","07 Apr 2021, 02:50","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","checking things off of a to​-​do list early in the morning (piano version)","24744b02-4432-4b1d-b3d0-41ff0d23545f"
"1617763658","07 Apr 2021, 02:47","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","little by little (piano version)","b31ac714-7083-4c81-9e18-36c5bef5d588"
"1617763506","07 Apr 2021, 02:45","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","we're better than this, were better than this (piano version)","177104e6-8b52-4237-9a4a-9a08bdb7b518"
"1617763423","07 Apr 2021, 02:43","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","make believe melody (piano version)","108652c8-615e-47f8-b7cc-30f659dcbb6b"
"1617763287","07 Apr 2021, 02:41","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","starlight (piano version)","77aded6b-12d9-4bd7-b735-d8a31de8f20c"
"1617763168","07 Apr 2021, 02:39","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","wet grass (piano version)","0ded24b5-a193-4018-8d98-0ada9e27a740"
"1617763056","07 Apr 2021, 02:37","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","Origami Tuplips (Piano Version)",""
"1617762956","07 Apr 2021, 02:35","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","a runaway kite (piano version)","703ce794-d926-4f8e-80d2-c4e8608ea614"
"1617762765","07 Apr 2021, 02:32","Lullatone","","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","Afternoon Nap for Pet (Piano Version)",""
"1617762612","07 Apr 2021, 02:30","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","gathering sticks for a nest (piano version)","77309f93-c43b-408d-b4b4-c1a9794d771d"
"1617762492","07 Apr 2021, 02:28","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","thursday inverse (piano version)","774391c5-b259-4ad9-8835-a52ac8944fc7"
"1617762296","07 Apr 2021, 02:24","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","the biggest pile of leaves you have ever seen (piano version)","9ae633a8-8b82-413d-b584-e4606911940e"
"1617762160","07 Apr 2021, 02:22","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","sad grass (piano Version)","844b551a-7123-4bcd-910b-219dfad202a4"
"1617762015","07 Apr 2021, 02:20","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","second day of school (piano version)","7b36a106-645a-4a65-a766-9757efd6b50c"
"1617761912","07 Apr 2021, 02:18","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","going to buy some strawberries (piano version)","d7ef8c91-449a-4a10-b330-02d66daf7901"
"1617761753","07 Apr 2021, 02:15","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","waking up on a picnic blanket (piano version)","ba85a3c6-89e6-46f2-a1c8-53d835826ba4"
"1617761634","07 Apr 2021, 02:13","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","another word for productivity (piano version)","313722ec-71d6-4f13-ba1e-426529a54fbd"
"1617761354","07 Apr 2021, 02:09","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","wake up wake up (piano version)","f53bda33-c09a-4c81-a637-ca741ef40ed8"
"1617761196","07 Apr 2021, 02:06","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","For All the Forgotton Resolutions (Piano Version)",""
"1617761008","07 Apr 2021, 02:03","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","icicles melting (piano version)","ff31ad73-297b-454a-b2ef-7fbaae318b1b"
"1617760847","07 Apr 2021, 02:00","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","an older couple holding hands (piano version)","0238e18d-8317-4904-96e8-e3c450980681"
"1617760724","07 Apr 2021, 01:58","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","fleeting years (piano version)","2fbfb4a9-6958-4e53-b462-336ccee43a5b"
"1617760536","07 Apr 2021, 01:55","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","morning coffee (piano version)","320ab0e1-239b-44c1-9aa6-dde250c7a8c5"
"1617760396","07 Apr 2021, 01:53","Lullatone","","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","A Blanket of Snow Piano Spotted from Under the Blankets in Bed (Piano Version)",""
"1617760326","07 Apr 2021, 01:52","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","an ode to eaten snowflakes (piano version)","6a53aaef-16ef-4a1b-bbc9-d19707e745bb"
"1617760050","07 Apr 2021, 01:47","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","my second favorite song in the world (piano version)","9523da0c-59f2-48f8-9e01-22977fb36286"
"1617759887","07 Apr 2021, 01:44","Lullatone","a49b394a-2d64-4d57-b4fe-b389a3cabafd","music for museum gift shops","694bfcb2-1ee6-478e-9dde-ef693e0ff438","trying something again again (piano version)","a126603b-f962-446c-b2c0-ae7bc5162779"
"1617759674","07 Apr 2021, 01:41","Teruyuki Nobuchika","","Sonorite","","lastly","3223d56d-344b-3e12-9c4b-8b3f7c41509d"
"1617759497","07 Apr 2021, 01:38","Teruyuki Nobuchika","","Sonorite","","water ring","030d7bfb-8c87-3be5-959a-0565215362f7"
"1617759024","07 Apr 2021, 01:30","Teruyuki Nobuchika","","Sonorite","","kokyu","8e770541-0aab-3219-900e-bc0688bcfde3"
"1617758850","07 Apr 2021, 01:27","Teruyuki Nobuchika","","Sonorite","","loop line","8cbb5dc9-1987-344f-a54c-bf342ef6fe11"
"1617758709","07 Apr 2021, 01:25","Teruyuki Nobuchika","","Sonorite","","petite etude",""
"1617758547","07 Apr 2021, 01:22","Teruyuki Nobuchika","","Sonorite","","hnappian","517ed170-0826-3c47-8173-62f726fa02fc"
"1617758282","07 Apr 2021, 01:18","Teruyuki Nobuchika","","Sonorite","","koto","57a71259-c250-3f17-b89c-3ea7dcac5484"
"1617757927","07 Apr 2021, 01:12","Teruyuki Nobuchika","","Sonorite","","requiem","872dd306-85e9-36e6-b4ca-e6530cf404d4"
"1617757767","07 Apr 2021, 01:09","Teruyuki Nobuchika","","Sonorite","","parallel","568ba61f-842c-3aaf-a21c-53764f0ba999"
"1617757609","07 Apr 2021, 01:06","Teruyuki Nobuchika","","Sonorite","","aquarelle","33192df1-e664-36d6-9fec-4a013bea2fd4"
