uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617754778","07 Apr 2021, 00:19","Sawbones: A Marital Tour of Misguided Medicine","","Sawbones: A Marital Tour of Misguided Medicine","","St John's Wort",""
"1617744987","06 Apr 2021, 21:36","Becky G","","Rotate","","Rotate",""
"1617744975","06 Apr 2021, 21:36","Burna Boy","78a19169-ac75-4868-b504-7e2e073118e0","Twice As Tall","0121c34f-8dd2-4091-9d29-84bc5420c2b0","Naughty by Nature (feat. Naughty by Nature)",""
"1617744928","06 Apr 2021, 21:35","¿Téo?","51f6028a-4da3-4c7d-a283-ddf743453796","¿Téo?","ef32a4fb-7aff-466d-9835-8191d7478c8c","Thru My Hair","6eeb22b0-d3e8-4ff1-85d4-f33c67d7b927"
"1617744900","06 Apr 2021, 21:35","Chika","","U Should","346d076c-b8ad-4152-98aa-80cc9fb91d42","U Should","006bcf94-a387-4d43-9715-6a8b8e6d6ff3"
"1617744889","06 Apr 2021, 21:34","Lil Nas X","","MONTERO (Call Me By Your Name)","","Montero (Call Me By Your Name)",""
"1617744752","06 Apr 2021, 21:32","Prince Royce","d1689304-23ac-4eae-a147-bd2e4100581a","Alter Ego","7e6f2fb7-8d2b-43a4-a1b6-cac66b12ebb7","Adicto",""
"1617744751","06 Apr 2021, 21:32","Lil Nas X","","MONTERO (Call Me By Your Name)","","Montero (Call Me By Your Name)",""
"1617744551","06 Apr 2021, 21:29","Prince Royce","d1689304-23ac-4eae-a147-bd2e4100581a","Alter Ego","7e6f2fb7-8d2b-43a4-a1b6-cac66b12ebb7","Adicto (Salsa Version)","e3030b61-183d-4039-84b3-81a355b321de"
"1617744522","06 Apr 2021, 21:28","Robin S","37a0943e-9638-48fe-9a56-7192d7efbbed","Show Me Love","182b8268-a430-49ce-b025-ccb9e555a9f3","Show Me Love","001dee8d-0c6d-40dc-9897-4e01dd230fe9"
"1617744510","06 Apr 2021, 21:28","Red Hot Chili Peppers","8bfac288-ccc5-448d-9573-c33ea2aa5c30","By the Way (Deluxe Edition)","","The Zephyr Song","04a94d4e-0a5d-3e07-b05d-717af6cb0df3"
"1617744497","06 Apr 2021, 21:28","Pixies","b6b2bb8d-54a9-491f-9607-7b546023b433","Doolittle","23110964-78bd-3b19-80e4-e99ef96f79cb","Here Comes Your Man","004c93ee-12ec-4b76-879a-a48533776b59"
"1617744397","06 Apr 2021, 21:26","Demi Lovato","","Dancing With The Devil…The Art of Starting Over","","The Art Of Starting Over",""
"1617744147","06 Apr 2021, 21:22","Demi Lovato","","Dancing With The Devil…The Art of Starting Over","","The Art Of Starting Over",""
"1617744139","06 Apr 2021, 21:22","Nick Jonas","","Spaceman","","If I Fall",""
"1617743945","06 Apr 2021, 21:19","Nick Jonas","","Spaceman","","If I Fall",""
"1617743943","06 Apr 2021, 21:19","Nick Jonas","","Spaceman","","If I Fall",""
"1617743705","06 Apr 2021, 21:15","Nick Jonas","","Spaceman","","If I Fall",""
"1617743698","06 Apr 2021, 21:14","Nick Jonas","","Spaceman","","If I Fall",""
"1617743458","06 Apr 2021, 21:10","Disclosure","","ENERGY (Special Edition)","","Tondo",""
"1617743457","06 Apr 2021, 21:10","Nick Jonas","","Spaceman","","If I Fall",""
"1617743426","06 Apr 2021, 21:10","Disclosure","","ENERGY (Special Edition)","","Ecstasy","05e6364b-1c14-44fd-8a56-8f95ecbde9aa"
"1617743197","06 Apr 2021, 21:06","Disclosure","","ENERGY (Special Edition)","","Ecstasy","05e6364b-1c14-44fd-8a56-8f95ecbde9aa"
"1617743196","06 Apr 2021, 21:06","Disclosure","","ENERGY (Special Edition)","","Birthday","2fd19794-e7d9-48ae-888c-144c734a9c13"
"1617743068","06 Apr 2021, 21:04","Disclosure","","ENERGY (Special Edition)","","Birthday","2fd19794-e7d9-48ae-888c-144c734a9c13"
"1617743055","06 Apr 2021, 21:04","Disclosure","","ENERGY (Special Edition)","","Douha (Mali Mali)","f2842355-bdc1-434c-a69f-3d3c8e51c96f"
"1617742916","06 Apr 2021, 21:01","Disclosure","","ENERGY (Special Edition)","","Who Knew?","9e5f00e5-e477-49c7-a4b2-2bee323687d6"
"1617742856","06 Apr 2021, 21:00","Disclosure","","ENERGY (Special Edition)","","My High","3fa46ae8-2bb8-4ba4-8105-a8fa2feb2303"
"1617742780","06 Apr 2021, 20:59","Disclosure","","ENERGY (Special Edition)","","Lavender","ac7e036e-5cc1-44ee-9a10-0034f30e20d6"
"1617742768","06 Apr 2021, 20:59","Disclosure","","ENERGY (Special Edition)","","Watch Your Step","5dd40331-298b-4887-acc0-b851b7c45a4d"
"1617742679","06 Apr 2021, 20:57","Sam Feldt","46a6ca47-43b3-4ac4-82ee-189cc5ad549b","Sunset Soul","","Show Me Love","0f56bce9-90e3-4702-acb9-d95eeba3e635"
"1617742620","06 Apr 2021, 20:57","John Newman","589ef702-7f3a-4a1c-8f2c-4727005cfc0e","Give Me Your Love","","Give Me Your Love",""
"1617742540","06 Apr 2021, 20:55","Calvin Harris","8dd98bdc-80ec-4e93-8509-2f46bafc09a7","This Is What You Came For","b63bc116-9787-463c-880d-318e005aaa7b","This Is What You Came For",""
"1617742455","06 Apr 2021, 20:54","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Live From The Underground","45e67430-4cbd-385c-892d-87274ad4c4ce"
"1617741455","06 Apr 2021, 20:37","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","LFU300MA",""
"1617741454","06 Apr 2021, 20:37","Big K.R.I.T.","","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Live From The Underground (Album Version Explicit)",""
"1617741321","06 Apr 2021, 20:35","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Live From The Underground (Reprise)",""
"1617741320","06 Apr 2021, 20:35","Big K.R.I.T.","","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","LFU300MA (Intro - Album Version)",""
"1617741026","06 Apr 2021, 20:30","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Praying Man",""
"1617741025","06 Apr 2021, 20:30","Big K.R.I.T.","","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Live From The Underground (Reprise) (Album Version Explicit)",""
"1617740765","06 Apr 2021, 20:26","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Rich Dad, Poor Dad","2359d61e-2aa4-3645-a258-dd0283c23a39"
"1617740763","06 Apr 2021, 20:26","Big K.R.I.T.","","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Praying Man (Album Version Explicit)",""
"1617740578","06 Apr 2021, 20:22","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","If I Fall",""
"1617740577","06 Apr 2021, 20:22","Big K.R.I.T.","","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Rich Dad, Poor Dad (Album Version Explicit)",""
"1617740402","06 Apr 2021, 20:20","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Hydroplaning",""
"1617740400","06 Apr 2021, 20:20","Big K.R.I.T.","","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","If I Fall (Album Version Explicit)",""
"1617740160","06 Apr 2021, 20:16","Big K.R.I.T.","7e966957-9b0b-4e19-b8a0-4206535d8052","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Yeah Dat's Me","54ce7299-81c0-33f5-920f-9a989928fbb1"
"1617740159","06 Apr 2021, 20:15","Big K.R.I.T.","","Live From The Underground","c1650a22-7985-47e8-99e2-54fbe5f4a5bd","Hydroplaning (Album Version Explicit)",""
