uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617765377","07 Apr 2021, 03:16","JAY-Z","","Watch The Throne (Deluxe)","","New Day",""
"1617765123","07 Apr 2021, 03:12","Phantogram","dfe78af2-779e-4137-826a-3073a16e3278","Eyelid Movies","1eab6574-ab5c-3480-a5bd-8603505a7a89","Mouthful of Diamonds","2ddc9c96-9699-485f-b674-8037307ea95e"
"1617764938","07 Apr 2021, 03:08","Carly Rae Jepsen","09887aa7-226e-4ecc-9a0c-02d2ae5777e1","EMOTION Side B","","Fever","06d76e70-a99f-49f5-ac79-51e294be39c7"
"1617764612","07 Apr 2021, 03:03","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Pop 2","5414958b-12e2-4a6e-b335-26002cd8bdee","Track 10","277994bf-f447-4ba7-87af-dc658f3b47fc"
"1617764010","07 Apr 2021, 02:53","Jamie xx","d1515727-4a93-4c0d-88cb-d7a9fce01879","In Colour","23a92dc8-d233-4f5b-96a4-a5e76000c174","Stranger in a Room (feat. Oliver Sim)","0bc7aa02-4f80-4a32-91f7-45919c113a22"
"1617763840","07 Apr 2021, 02:50","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Don't Ask","0c1c1866-6bbd-43c7-a2b0-76be4fc2b907"
"1617763662","07 Apr 2021, 02:47","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Khaos x4","78a7b8cc-e392-46b9-83ce-c3179b8b84c4"
"1617763543","07 Apr 2021, 02:45","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Bleep Bloop","0c58f739-095d-4ae4-b9a8-05a531566bf1"
"1617763383","07 Apr 2021, 02:43","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","If It Bleeds","b2097cd5-4e0f-48a0-9d5d-03ce88476fef"
"1617754738","07 Apr 2021, 00:18","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Don't Go Outside","768076b4-2632-415a-81e4-c8203da7899d"
"1617754547","07 Apr 2021, 00:15","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Sick of the Sun","79a28ff0-6340-4b4d-9dde-66028b36ad94"
"1617754384","07 Apr 2021, 00:13","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Bite Your Teeth","79e1192c-e5b7-442c-b2a5-a7b425212fea"
"1617754150","07 Apr 2021, 00:09","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Sit / Stay","34d1128d-6e64-4540-80a0-36248fcb0731"
"1617753980","07 Apr 2021, 00:06","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Nothing I Need","65937a64-0da9-499f-acd1-4e9f84ae4fba"
"1617753768","07 Apr 2021, 00:02","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Fill the Crown","015be87f-698b-4a77-8bcd-5cba51f96cf4"
"1617753568","06 Apr 2021, 23:59","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Anything Like Me","0f59f766-ec24-49ba-8664-cd0ac870590a"
"1617753385","06 Apr 2021, 23:56","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","BLOODMONEY","22daf48f-ae11-4697-9c33-d0e75c157011"
"1617753192","06 Apr 2021, 23:53","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","I Disagree","0114fc41-7dc4-46f3-871c-b2473f931a56"
"1617752992","06 Apr 2021, 23:49","Poppy","4ad8190b-d2fd-46f8-a3d9-c0f55c034976","I Disagree (more)","","Concrete","19101ad0-6709-4571-9196-4fc3a341b532"
"1617752788","06 Apr 2021, 23:46","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Meteora","01e51f7c-4b95-4ae3-a707-181b74b1ebab","Numb","025c52f2-87b5-4310-bef5-c38987f2594f"
