uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617474406","03 Apr 2021, 18:26","Tyler, The Creator","f6beac20-5dfe-4d1f-ae02-0b0a740aafd6","IGOR","4603cee3-ece6-435c-b0b7-7d9eb1842d36","EARFQUAKE","0474bafa-6ecb-4e2b-a4e5-594326f6310d"
"1617474279","03 Apr 2021, 18:24","Aminé","","Limbo (Deluxe)","","Zack & Cody (feat. Valee)",""
"1617474106","03 Apr 2021, 18:21","Pell","78cba6d7-4d7a-4c02-854f-d2ff4689f409","girasoul","287591a6-b913-43f5-977b-a98efa3407d5","throwback (feat. Saba)",""
"1617415288","03 Apr 2021, 02:01","현아","72e54f6a-baab-46e4-9b74-8b481724ac99","A Talk","7ec48672-e961-4baa-93cf-900c0637ca22","빨개요","08a004e3-b60f-452b-ab21-358cfd8565d9"
"1617415135","03 Apr 2021, 01:58","Kehlani","3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9","You Should Be Here","1f17174d-5997-4f83-b065-77b5f804c4fa","How That Taste","42290ac6-f747-4207-b69f-3d49dcc37be7"
"1617414889","03 Apr 2021, 01:54","GD X TAEYANG","b4f66d7f-3282-404e-a682-97374d63b5ab","Good Boy","609e6eeb-fa33-4cf3-9eda-19de1b889e6a","GOOD BOY","0f5af2f2-26a2-423c-ad2a-59cc20119044"
"1617414657","03 Apr 2021, 01:50","Taylor Swift","20244d07-534f-4eff-b4d4-930878889970","1989","10559073-4274-41f7-aba2-6896b36477c2","Blank Space","01236d26-9f46-435f-adc5-6c92e6e76f53"
"1617414531","03 Apr 2021, 01:48","88Rising","","Head in the Clouds II","","Breathe",""
"1617414361","03 Apr 2021, 01:46","Bazzi","edf81f9b-d3f0-4d57-9636-d08e851b1640","Cosmic","bee91394-15b3-40e9-b23a-bab47b1d3722","Star","792bfb1e-65a0-4365-9e2a-272c0ed32ada"
"1617414128","03 Apr 2021, 01:42","GB9","","I hope It's breeze","","I hope It's breeze",""
"1617413912","03 Apr 2021, 01:38","40KWETHENICEST","","My Baby","","My Baby",""
"1617413688","03 Apr 2021, 01:34","Rihanna","73e5e69d-3554-40d8-8516-00cb38737a1c","ANTI","020fd022-6d67-49bd-995e-d592a091f9df","Love on the Brain","1ee70399-6eae-4d9e-adb3-04bc6fd11453"
"1617413474","03 Apr 2021, 01:31","Kendrick Lamar","381086ea-f511-4aba-bdf9-71c753dc5077","DAMN.","503c4a0f-97b9-4d6b-9a27-52a7f6b21cc9","LOVE. FEAT. ZACARI.",""
"1617413130","03 Apr 2021, 01:25","Mac Miller","a0e8a1b1-5f8f-475a-a253-17415c17d0ff","GO:OD AM","5974fd75-ff80-449e-8a80-98ce2ed59e5f","ROS","5c116cf2-6f97-4bcf-bc77-05a4b5e40e54"
"1617412596","03 Apr 2021, 01:16","Cordae","","The Lost Boy","","RNP (feat. Anderson .Paak)",""
"1617412318","03 Apr 2021, 01:11","Troy","9ded8aa0-9ecc-46ac-8035-eb13e5b71b43","High School Musical 2 (Original Soundtrack)","","Everyday",""
"1617412135","03 Apr 2021, 01:08","One Direction","1a425bbd-cca4-4b2c-aeb7-71cb176c828a","Take Me Home: Yearbook Edition","","Kiss You","0c24b307-f683-4d47-aae0-724855dca830"
"1617411959","03 Apr 2021, 01:05","blackbear","e07d9474-00ea-4460-ac27-88b46b3d976e","everything means nothing","","i feel bad","ae63c281-24c1-4c7b-95ce-3c0573053ff0"
