uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617754079","07 Apr 2021, 00:07","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Soon Jah Due",""
"1617753926","07 Apr 2021, 00:05","DJ Muggs","d9c25451-bec6-4273-abe2-15ce0f0e0621","900K","","900K",""
"1617753846","07 Apr 2021, 00:04","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Wap Konn Jòj!","","Mittrom",""
"1617753628","07 Apr 2021, 00:00","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Wap Konn Jòj!","","Eedeot Bwoy",""
"1617753588","06 Apr 2021, 23:59","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Wap Konn Jòj!","","Time Face",""
"1617753385","06 Apr 2021, 23:56","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Wap Konn Jòj!","","Wap Konn Jòj",""
"1617753223","06 Apr 2021, 23:53","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Wap Konn Jòj!","","Mozambique Drill",""
"1617749020","06 Apr 2021, 22:43","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Wap Konn Jòj!","","Chiney Brush",""
"1617748883","06 Apr 2021, 22:41","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","NJ Ultra",""
"1617748739","06 Apr 2021, 22:38","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Squeaky Hinge",""
"1617748503","06 Apr 2021, 22:35","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Clout Dracula (Remix)",""
"1617748351","06 Apr 2021, 22:32","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Pour House",""
"1617748220","06 Apr 2021, 22:30","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Photocopy Sloppy (Dump Fraud)",""
"1617748096","06 Apr 2021, 22:28","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Smoked Maldon",""
"1617747924","06 Apr 2021, 22:25","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Marshmallow Test",""
"1617747790","06 Apr 2021, 22:23","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","Soon Jah Due",""
"1617747649","06 Apr 2021, 22:20","Mach-Hommy","b5aa7895-c9c1-4350-9f2b-b55ff085609c","Mach's Hard Lemonade","","SBTM (Sweeney Been Told Me)",""
"1617746899","06 Apr 2021, 22:08","DJ Muggs","d9c25451-bec6-4273-abe2-15ce0f0e0621","Tuez-Les Tous","","900K",""
"1617746580","06 Apr 2021, 22:03","Your Old Droog","ef39d47a-d530-4fa2-8f74-0c73ce195f02","Jewelry","6d711c67-c135-4a44-a458-9b1f83335d9f","BDE",""
"1617746428","06 Apr 2021, 22:00","DJ Muggs","d9c25451-bec6-4273-abe2-15ce0f0e0621","Tuez-Les Tous","","Mami Wata",""
"1617746285","06 Apr 2021, 21:58","DJ Muggs","d9c25451-bec6-4273-abe2-15ce0f0e0621","Tuez-Les Tous","","The Fowler's Snare",""
"1617746124","06 Apr 2021, 21:55","DJ Muggs","d9c25451-bec6-4273-abe2-15ce0f0e0621","Tuez-Les Tous","","Bón Nwit",""
"1617745964","06 Apr 2021, 21:52","DJ Muggs","d9c25451-bec6-4273-abe2-15ce0f0e0621","Tuez-Les Tous","","NTM",""
