uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617407903","02 Apr 2021, 23:58","Kendrick Lamar","","Black Panther the Album Music From and Inspired By","015b4017-a78f-4072-bb58-5c4638a82196","All the Stars (with SZA)",""
"1617250046","01 Apr 2021, 04:07","Jeremih","1c009a08-74d1-4682-bc56-8bfbe9e66b62","Late Nights: The Album","","Drank","125484c1-c4f6-412a-85db-08cf50613dfd"
"1617249752","01 Apr 2021, 04:02","SZA","272989c8-5535-492d-a25c-9f58803e027f","Ctrl","20bfc869-e36d-481f-ac9b-37f586001b9d","Broken Clocks","2d4c72dd-4fcb-4f69-b339-41846aa23a39"
"1617249586","01 Apr 2021, 03:59","Kid Cudi","","Man on the Moon III: The Chosen","","Lovin’ Me (feat. Phoebe Bridgers)",""
"1617249343","01 Apr 2021, 03:55","Dreamcatcher","","[Dystopia : Road to Utopia]","","4 Memory",""
"1617249091","01 Apr 2021, 03:51","Ricky Montgomery","c1f1cf38-1fee-4106-871d-ac392a28b91a","Montgomery Ricky","c137defa-b2b4-4bb1-86d2-aa571710d29c","Line Without A Hook","5bcff4ca-fe71-449a-bda0-a385d72acd88"
"1617248841","01 Apr 2021, 03:47","Frank Ocean","e520459c-dff4-491d-a6e4-c97be35e0044","Blonde","08f54f68-7c89-4e22-8a0f-ac2b06e48568","Self Control","09e665ad-987f-4616-9499-52fa2a32f8c3"
"1617248633","01 Apr 2021, 03:43","ROSÉ","","R","","Gone",""
"1617248396","01 Apr 2021, 03:39","Beyoncé","","Lemonade","","Formation",""
"1617248190","01 Apr 2021, 03:36","Rina Sawayama","52494f9b-789d-4467-bcaf-9915e70cc8f6","Cherry","344ea45b-b6a2-463e-944f-80085fd33bdf","Cherry","128b3518-7a2a-46ad-8728-57e8f2f51baf"
"1617247888","01 Apr 2021, 03:31","SZA","272989c8-5535-492d-a25c-9f58803e027f","Ctrl","20bfc869-e36d-481f-ac9b-37f586001b9d","Love Galore (feat. Travis Scott)",""
"1616277605","20 Mar 2021, 22:00","Bruno Mars","","Silk Sonic Intro","","Silk Sonic Intro",""
"1616034201","18 Mar 2021, 02:23","Epik High","","Epik High Is Here 上 (Part 1)","","Rosario",""
"1616033758","18 Mar 2021, 02:15","Demian","","A Blue not Blues","","LOVE% (feat. DAWN)",""
"1616033552","18 Mar 2021, 02:12","IU","","Celebrity","","Celebrity",""
"1616033262","18 Mar 2021, 02:07","Sunmi","","TAIL","","TAIL",""
"1616033055","18 Mar 2021, 02:04","Ikon","","Why Why Why","","Why Why Why",""
"1616032763","18 Mar 2021, 01:59","VERIVERY","","SERIES ‘O’ [ROUND 1 : HALL]","","Get Away",""
"1616032551","18 Mar 2021, 01:55","ROSÉ","","R","","Gone",""
"1616032291","18 Mar 2021, 01:51","Brave Girls","b197e6b9-3dd6-4bf2-80db-7c556f065399","Rollin'","b249df88-fadf-45f6-a113-aafbbc3a4d26","Rollin'","ed81e696-25c2-4f5b-9f60-abb0f20acc49"
"1616031770","18 Mar 2021, 01:42","SHINee","","Don't Call Me - The 7th Album","","Don't Call Me",""
"1616031468","18 Mar 2021, 01:37","ATEEZ","","ZERO : FEVER Part.2","","Fireworks (I'm The One)",""
"1616031266","18 Mar 2021, 01:34","Simon Dominic","","Party Forever","","Party Forever",""
"1616018158","17 Mar 2021, 21:55","Cardi B","2f3c4d70-0462-40da-bba3-0aec5772c556","Invasion of Privacy","11604d82-9ebd-47fa-b581-27ac55d22983","I Do (feat. SZA)",""
"1616017926","17 Mar 2021, 21:52","SZA","272989c8-5535-492d-a25c-9f58803e027f","Ctrl","20bfc869-e36d-481f-ac9b-37f586001b9d","Broken Clocks","2d4c72dd-4fcb-4f69-b339-41846aa23a39"
"1616017564","17 Mar 2021, 21:46","SZA","272989c8-5535-492d-a25c-9f58803e027f","Ctrl","20bfc869-e36d-481f-ac9b-37f586001b9d","Love Galore (feat. Travis Scott)",""
"1616007894","17 Mar 2021, 19:04","Kendrick Lamar","","Black Panther the Album Music From and Inspired By","015b4017-a78f-4072-bb58-5c4638a82196","All the Stars (with SZA)",""
"1616007593","17 Mar 2021, 18:59","SZA","","Hit Different","","Hit Different",""
"1616007315","17 Mar 2021, 18:55","SZA","","Good Days","","Good Days",""
"1615870066","16 Mar 2021, 04:47","San Holo","23101701-cecf-4c9b-9b4c-d6a249eac118","We Rise","afb51e9e-10f5-4ffa-9cfe-91ad38c3c933","We Rise","7f95afd2-beba-4f9f-8c01-7127a30061ad"
"1615852502","15 Mar 2021, 23:55","San Holo","23101701-cecf-4c9b-9b4c-d6a249eac118","Light","89406d90-3cce-48c2-8f48-d13aa4c90b1b","Light","022ea31e-e638-4ac7-94ad-f3a1c098bee3"
