uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617635681","05 Apr 2021, 15:14","Lil Nas X","","","","Montero (Call Me By Your Name)",""
"1617632476","05 Apr 2021, 14:21","Lana Del Rey","","","","BBM Baby",""
"1617632388","05 Apr 2021, 14:19","Lana Del Rey","","","","BBM Baby",""
"1617619393","05 Apr 2021, 10:43","The Smiths","","The Smiths","00a0179e-960f-47d1-8795-5e1568126750","This Charming Man - 2011 Remaster",""
"1617614800","05 Apr 2021, 09:26","Frank Ocean","e520459c-dff4-491d-a6e4-c97be35e0044","channel ORANGE (Explicit Version)","","Super Rich Kids","1c1dbdc6-43f1-4f50-b7c8-4a8300786b57"
"1617612784","05 Apr 2021, 08:53","Deep Cotton","8cbf480d-4e41-45e4-9e3f-0b1ea65c644a","Wondaland Presents: The Eephus","","Let's Get Caught (feat. Jidenna)",""
"1617610875","05 Apr 2021, 08:21","black midi","4afbef0a-05ee-4551-b0e0-f1f1870d8f1c","Schlagenheim","7863c059-6f65-4e4d-ac95-6651c910e241","Ducter","1d37be52-0f9d-4409-9d78-e467e1a2a7d0"
"1617610638","05 Apr 2021, 08:17","Sophie","774b02d7-5056-4b0f-9d69-a82b6ae27cde","OIL OF EVERY PEARL'S UN-INSIDES","2b94a5d9-e61d-43a3-bd82-bd3412c1384c","Faceshopping","54513082-6367-4d4d-b9f1-128a5f3bf1ce"
"1617610482","05 Apr 2021, 08:14","black midi","4afbef0a-05ee-4551-b0e0-f1f1870d8f1c","Schlagenheim","7863c059-6f65-4e4d-ac95-6651c910e241","Years Ago","4d8897aa-6b40-4b4a-be92-8288a1fac2ee"
"1617610185","05 Apr 2021, 08:09","black midi","4afbef0a-05ee-4551-b0e0-f1f1870d8f1c","Schlagenheim","7863c059-6f65-4e4d-ac95-6651c910e241","bmbmbm","46a4c918-6795-4940-aa3a-8505e3510480"
"1617609948","05 Apr 2021, 08:05","Sophie","774b02d7-5056-4b0f-9d69-a82b6ae27cde","OIL OF EVERY PEARL'S UN-INSIDES","2b94a5d9-e61d-43a3-bd82-bd3412c1384c","Faceshopping","54513082-6367-4d4d-b9f1-128a5f3bf1ce"
"1617609562","05 Apr 2021, 07:59","black midi","4afbef0a-05ee-4551-b0e0-f1f1870d8f1c","Schlagenheim","7863c059-6f65-4e4d-ac95-6651c910e241","Of Schlagenheim","005c02ad-2241-477c-857f-815595da7690"
"1617609325","05 Apr 2021, 07:55","Sophie","774b02d7-5056-4b0f-9d69-a82b6ae27cde","OIL OF EVERY PEARL'S UN-INSIDES","2b94a5d9-e61d-43a3-bd82-bd3412c1384c","Faceshopping","54513082-6367-4d4d-b9f1-128a5f3bf1ce"
"1617575176","04 Apr 2021, 22:26","Lana Del Rey","","","","BBM Baby",""
"1617573716","04 Apr 2021, 22:01","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","","","Radio","098c3147-1cc2-4b30-bb22-7b01c613b167"
"1617572737","04 Apr 2021, 21:45","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","","","Florida Kilos","1093a83e-4b8e-4b34-98f8-e8e125eb2d51"
"1617572026","04 Apr 2021, 21:33","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","","","Groupie Love",""
"1617571315","04 Apr 2021, 21:21","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","","","Cherry","00f2b38b-b732-430c-bdf6-e0dedf85a438"
"1617571156","04 Apr 2021, 21:19","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","","","13 Beaches","2ef1082d-b7fd-4539-b6e7-40d1d7da9d81"
"1617570791","04 Apr 2021, 21:13","Kali Uchis","d0c7656d-8169-4f77-9dbe-b8f24e40105d","","","Killer","0b29ad3a-74d5-4a7b-8cdb-10d3dde243b7"
"1617567871","04 Apr 2021, 20:24","black midi","4afbef0a-05ee-4551-b0e0-f1f1870d8f1c","Schlagenheim","7863c059-6f65-4e4d-ac95-6651c910e241","Western","0d589878-58c4-4b2c-b1db-6fc215e44502"
