uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1617564696","04 Apr 2021, 19:31","SZA","","Good Days","","Good Days",""
"1617564456","04 Apr 2021, 19:27","Glass Animals","20395131-fbde-43ce-b141-b700cfdae99c","Dreamland (+ Bonus Levels)","","Heat Waves","01d68f97-0c5b-4df9-8ae2-249bde7bc5c6"
"1617564246","04 Apr 2021, 19:24","Mac Miller","a0e8a1b1-5f8f-475a-a253-17415c17d0ff","Circles","b389974d-8b4f-4eea-80db-9e05a9a89dc5","Blue World","46ca2254-e831-48e6-8e10-98eee0aefb38"
"1617563905","04 Apr 2021, 19:18","Mac Miller","a0e8a1b1-5f8f-475a-a253-17415c17d0ff","Circles","b389974d-8b4f-4eea-80db-9e05a9a89dc5","Good News","50b69798-0f89-4c14-9708-9c7cf174cacc"
"1617563693","04 Apr 2021, 19:14","Beenzino","ff2f225e-a49e-47ee-866a-d4606c4e3fea","24:26 (5th Anniversary Remaster Edition)","","Boogie On & On","02dcd0f6-538a-47c6-a1f9-a0aaa10d3740"
"1617563469","04 Apr 2021, 19:11","Beenzino","ff2f225e-a49e-47ee-866a-d4606c4e3fea","24:26 (5th Anniversary Remaster Edition)","","Aqua Man","54235dd6-f250-4e82-9c11-f4e908d85b12"
"1617563307","04 Apr 2021, 19:08","Surfaces","7442fbfa-00ad-4e3b-8f45-9d2c62786eed","Where the Light Is","ded6d858-83ff-44a0-b40a-01ddfabdc6e6","Sunday Best","01a80624-1749-4fd9-8004-24b38577be66"
"1617562545","04 Apr 2021, 18:55","Olivia Rodrigo","","deja vu","","deja vu",""
"1617562300","04 Apr 2021, 18:51","Olivia Rodrigo","6925db17-f35e-42f3-a4eb-84ee6bf5d4b0","drivers license","","drivers license","1b51a2cb-33db-44b8-9513-c91e73c55f45"
"1617543269","04 Apr 2021, 13:34","The Birthday Crew","","Happy Birthday Matthew","","Happy Birthday Matthew",""
"1617542997","04 Apr 2021, 13:29","IU","","IU 5th Album 'LILAC'","","Celebrity",""
